"","FC","log2(FC)","raw.pval","-log10(p)"
"752.3291 / 19.23  M-H-",0.00037244,-11.391,1.916e-05,4.7176
"530.3178 / 15.53",0.00043716,-11.16,1.916e-05,4.7176
"688.3000 / 9.23",0.00045146,-11.113,1.916e-05,4.7176
"702.3408 / 16.75  MNa",0.00045346,-11.107,1.916e-05,4.7176
"405.2290 / 5.29",0.00046315,-11.076,1.916e-05,4.7176
"761.6869 / 19.44  M3H3",0.00055939,-10.804,1.916e-05,4.7176
"757.2987 / 18.94",0.00059466,-10.716,1.916e-05,4.7176
"457.5849 / 12.00",0.00064866,-10.59,1.916e-05,4.7176
"807.4238 / 19.41",0.00083708,-10.222,1.916e-05,4.7176
"814.4085 / 8.68",0.00085732,-10.188,1.916e-05,4.7176
"186.0560 / 3.61",5.9108,2.5633,2.0007e-05,4.6988
"327.1345 / 8.81",0.0009275,-10.074,2.046e-05,4.6891
"192.1022 / 4.97",6.7722,2.7596,2.0596e-05,4.6862
"160.1081 / 1.93",25.189,4.6547,2.1239e-05,4.6729
"234.1350 / 2.09  MCH3OHH",7.5248,2.9117,2.1402e-05,4.6695
"110.9756 / 1.86",0.29896,-1.742,2.1402e-05,4.6695
"503.1847 / 22.62",5.4217,2.4387,2.2859e-05,4.6409
"667.1906 / 22.62",5.0036,2.323,2.2859e-05,4.6409
"349.0732 / 1.53",4.3344,2.1158,2.2859e-05,4.6409
"547.0402 / 2.79  3M2Na-3H-",3.1236,1.6432,2.2859e-05,4.6409
"316.1658 / 11.89  M-H-",0.005485,-7.5103,2.2956e-05,4.6391
"314.1347 / 7.73",0.0060217,-7.3756,2.2956e-05,4.6391
"472.6863 / 11.31  MHK2",0.010455,-6.5796,2.2956e-05,4.6391
"201.1239 / 2.32",0.0010946,-9.8354,2.2983e-05,4.6386
"295.1669 / 5.71",0.001054,-9.89,2.3841e-05,4.6227
"293.1135 / 3.01",0.0021334,-8.8726,2.3841e-05,4.6227
"250.1079 / 3.59  MCH3OHH",6.2013,2.6326,2.3879e-05,4.622
"435.1982 / 21.09  M-2H2-",0.025306,-5.3044,2.3924e-05,4.6212
"293.1502 / 5.67",0.00023092,-12.08,2.4665e-05,4.6079
"360.2140 / 13.63",0.00064911,-10.589,2.4665e-05,4.6079
"292.1309 / 4.36",0.00087057,-10.166,2.4665e-05,4.6079
"290.0992 / 3.19",5.4841,2.4553,2.5323e-05,4.5965
"264.0825 / 4.80",4.4479,2.1531,2.5323e-05,4.5965
"374.0767 / 8.32",0.040262,-4.6344,2.537e-05,4.5957
"188.1293 / 2.09",7.0429,2.8162,2.5466e-05,4.594
"284.1143 / 2.28  MCH3OHH",6.1429,2.6189,2.5466e-05,4.594
"268.1186 / 3.19  MCH3OHH",5.9751,2.579,2.5466e-05,4.594
"177.9914 / 1.82",0.18325,-2.4481,2.5514e-05,4.5932
"248.0917 / 2.44",4.8836,2.2879,2.5514e-05,4.5932
"201.0061 / 1.82",0.34322,-1.5428,2.5514e-05,4.5932
"169.0585 / 1.43",2.5417,1.3458,2.5514e-05,4.5932
"809.9155 / 19.92  M2NH42",0.002211,-8.8211,2.5551e-05,4.5926
"232.0643 / 11.75  MH",9.4353,3.2381,2.65e-05,4.5768
"187.1079 / 3.27",0.013506,-6.2102,2.7357e-05,4.5629
"349.1381 / 5.09  MH",6.3248,2.661,2.7357e-05,4.5629
"611.3295 / 20.30",0.036026,-4.7948,2.8511e-05,4.545
"218.0471 / 11.45",24.65,4.6235,2.8944e-05,4.5384
"85.0652 / 8.31",0.078539,-3.6704,2.9201e-05,4.5346
"749.1940 / 22.62",4.9184,2.2982,2.9201e-05,4.5346
"347.9467 / 1.03",0.25893,-1.9494,2.9201e-05,4.5346
"211.1310 / 11.48",14.717,3.8795,2.9265e-05,4.5336
"686.2954 / 20.55  M-H-",0.00030429,-11.682,2.9684e-05,4.5275
"397.1967 / 11.44",0.0067448,-7.212,2.9684e-05,4.5275
"266.1027 / 2.44  MH",6.4316,2.6852,2.9814e-05,4.5256
"348.1069 / 3.19",5.8809,2.556,2.9869e-05,4.5248
"174.1242 / 2.46",15.045,3.9112,3.0146e-05,4.5208
"175.0486 / 7.76",9.5006,3.248,3.0314e-05,4.5184
"280.1393 / 1.62  MH",8.3358,3.0593,3.0314e-05,4.5184
"343.2267 / 22.96  MH",0.069439,-3.8481,3.037e-05,4.5176
