"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"407.2107 / 9.42  M3H3",25.385,2.2801e-05,4.6421,0.00017413,"Infected - Control"
"486.7472 / 21.49",25.379,2.2841e-05,4.6413,0.00017434,"Infected - Control"
"413.1551 / 3.34",25.374,2.2869e-05,4.6408,0.00017444,"Infected - Control"
"601.3180 / 13.93  M-H-",25.353,2.3005e-05,4.6382,0.00017538,"Infected - Control"
"373.2825 / 3.69",25.325,2.3182e-05,4.6348,0.00017663,"Infected - Control"
"641.8145 / 14.63  M-2H2-",25.319,2.3219e-05,4.6341,0.0001768,"Infected - Control"
"437.5641 / 11.56  M3H3",25.312,2.3266e-05,4.6333,0.00017705,"Infected - Control"
"344.1816 / 8.93  M-H-",25.31,2.3281e-05,4.633,0.00017706,"Infected - Control"
"429.7051 / 14.59  M2H2",25.304,2.3318e-05,4.6323,0.00017709,"Infected - Control"
"449.7179 / 12.50",25.304,2.3319e-05,4.6323,0.00017709,"Infected - Control"
"515.9557 / 16.23  M3H3",25.303,2.3326e-05,4.6322,0.00017709,"Infected - Control"
"536.2696 / 15.52  MNa-2H-",25.293,2.3389e-05,4.631,0.00017746,"Infected - Control"
"747.4083 / 11.89",25.289,2.3417e-05,4.6305,0.00017756,"Infected - Control"
"321.1561 / 3.76",25.256,2.363e-05,4.6265,0.00017908,"Infected - Control"
"823.3442 / 15.49  MNa-2H-",25.24,2.3732e-05,4.6247,0.00017973,"Infected - Control"
"343.1986 / 8.01",25.238,2.3744e-05,4.6244,0.00017973,"Infected - Control"
"536.3039 / 19.17  MNa-2H-",25.226,2.3828e-05,4.6229,0.00018017,"Infected - Control"
"391.7027 / 6.99  MH",25.225,2.3831e-05,4.6229,0.00018017,"Infected - Control"
"520.2977 / 9.86  MCH3OHH",25.22,2.3867e-05,4.6222,0.00018034,"Infected - Control"
"253.1524 / 3.08",25.214,2.3903e-05,4.6215,0.00018051,"Infected - Control"
"401.2034 / 4.46",25.202,2.3983e-05,4.6201,0.000181,"Infected - Control"
"660.3720 / 19.47",25.196,2.4021e-05,4.6194,0.00018118,"Infected - Control"
"428.7371 / 11.15",25.187,2.4083e-05,4.6183,0.00018154,"Infected - Control"
"293.1900 / 9.95  M2H2",25.165,2.423e-05,4.6156,0.00018249,"Infected - Control"
"399.2598 / 13.87",25.164,2.4237e-05,4.6155,0.00018249,"Infected - Control"
"573.8207 / 12.29  M2H2",25.157,2.4283e-05,4.6147,0.00018273,"Infected - Control"
"465.2028 / 9.41",25.151,2.4327e-05,4.6139,0.00018294,"Infected - Control"
"379.2149 / 11.25  M3H3",25.145,2.4363e-05,4.6133,0.00018311,"Infected - Control"
"494.2704 / 3.92",25.098,2.4683e-05,4.6076,0.00018536,"Infected - Control"
"354.1665 / 3.98  MNa",25.097,2.4692e-05,4.6074,0.00018536,"Infected - Control"
"555.2818 / 13.61",25.088,2.4756e-05,4.6063,0.00018566,"Infected - Control"
"531.2421 / 12.57  MFA-H-",25.085,2.4773e-05,4.606,0.00018566,"Infected - Control"
"505.3393 / 20.01",25.085,2.4775e-05,4.606,0.00018566,"Infected - Control"
"264.0535 / 10.39",25.077,2.483e-05,4.605,0.00018596,"Control - Infected"
"580.7930 / 16.88  M2H2",25.074,2.4851e-05,4.6047,0.00018601,"Infected - Control"
"409.2088 / 3.47  M2H2",25.067,2.4901e-05,4.6038,0.00018628,"Infected - Control"
"570.7836 / 12.15  M2H2",25.058,2.4962e-05,4.6027,0.00018662,"Infected - Control"
"132.0737 / 8.30",25.05,2.5019e-05,4.6017,0.00018694,"Infected - Control"
"349.1381 / 5.09  MH",25.024,2.5196e-05,4.5987,0.00018815,"Control - Infected"
"554.2923 / 11.49",25.013,2.5275e-05,4.5973,0.00018864,"Infected - Control"
"300.1922 / 8.15",25.01,2.5294e-05,4.597,0.00018866,"Infected - Control"
"407.2301 / 10.78",24.999,2.5373e-05,4.5956,0.00018912,"Infected - Control"
"402.1985 / 1.86  MH",24.997,2.5385e-05,4.5954,0.00018912,"Infected - Control"
"539.6301 / 19.42  M3H3",24.99,2.5438e-05,4.5945,0.00018941,"Infected - Control"
"332.1249 / 6.11",24.986,2.5462e-05,4.5941,0.00018948,"Infected - Control"
"601.7981 / 15.86",24.982,2.5494e-05,4.5936,0.0001896,"Infected - Control"
"617.7358 / 20.11",24.979,2.5518e-05,4.5931,0.00018967,"Infected - Control"
"749.1940 / 22.62",24.972,2.5567e-05,4.5923,0.00018992,"Control - Infected"
"735.3169 / 18.94  M-2H2-",24.968,2.5592e-05,4.5919,0.00019,"Infected - Control"
"420.1800 / 19.05  MH",24.958,2.5664e-05,4.5907,0.00019043,"Infected - Control"
"348.1557 / 8.33  MFA-H-",24.933,2.5841e-05,4.5877,0.00019163,"Infected - Control"
"595.3062 / 19.40  MNa",24.91,2.6012e-05,4.5848,0.00019278,"Infected - Control"
"493.2103 / 10.49  2MH",24.89,2.6151e-05,4.5825,0.00019359,"Infected - Control"
"464.2187 / 7.33",24.89,2.6153e-05,4.5825,0.00019359,"Infected - Control"
"425.2388 / 20.11  M-H-",24.888,2.6167e-05,4.5822,0.00019359,"Infected - Control"
"419.1552 / 10.46",24.848,2.6463e-05,4.5774,0.00019567,"Infected - Control"
"234.1350 / 2.09  MCH3OHH",24.829,2.6602e-05,4.5751,0.00019659,"Control - Infected"
"599.3534 / 9.69  M-H-",24.823,2.665e-05,4.5743,0.00019682,"Infected - Control"
"236.1133 / 3.76",24.818,2.6684e-05,4.5737,0.00019696,"Control - Infected"
"714.3449 / 19.99  M3H3",24.815,2.671e-05,4.5733,0.00019696,"Infected - Control"
"425.7245 / 12.95",24.814,2.6715e-05,4.5732,0.00019696,"Infected - Control"
"642.3452 / 1.96",24.809,2.6754e-05,4.5726,0.00019714,"Infected - Control"
"357.2126 / 9.66",24.8,2.6818e-05,4.5716,0.0001975,"Infected - Control"
"571.6128 / 14.92  M3H3",24.779,2.698e-05,4.569,0.00019858,"Infected - Control"
"675.2903 / 19.42  MNa-2H-",24.759,2.7125e-05,4.5666,0.00019953,"Infected - Control"
"194.9866 / 1.50",24.732,2.7337e-05,4.5633,0.00020097,"Control - Infected"
"183.1140 / 6.85  M-H-",24.727,2.7372e-05,4.5627,0.00020101,"Infected - Control"
"258.1454 / 1.88  M-H-",24.726,2.7377e-05,4.5626,0.00020101,"Infected - Control"
"719.6715 / 19.66  M3H3",24.725,2.7389e-05,4.5624,0.00020101,"Infected - Control"
"605.1546 / 22.51",24.695,2.7614e-05,4.5589,0.00020254,"Infected - Control"
"470.2707 / 1.94",24.639,2.8052e-05,4.552,0.00020556,"Infected - Control"
"630.3131 / 15.43  MH",24.639,2.8057e-05,4.552,0.00020556,"Infected - Control"
"674.3706 / 12.82",24.627,2.8149e-05,4.5505,0.00020611,"Infected - Control"
"455.1763 / 8.61",24.622,2.819e-05,4.5499,0.00020629,"Infected - Control"
"407.0977 / 8.29",24.611,2.8272e-05,4.5486,0.00020677,"Infected - Control"
"443.2497 / 14.03  M-H-",24.594,2.841e-05,4.5465,0.00020766,"Infected - Control"
"257.1027 / 3.23  2MNa-2H-",24.589,2.8449e-05,4.5459,0.00020783,"Control - Infected"
"644.7694 / 17.70",24.578,2.8538e-05,4.5446,0.00020836,"Infected - Control"
"152.0569 / 12.00",24.56,2.868e-05,4.5424,0.00020917,"Infected - Control"
"398.2026 / 13.21",24.56,2.8681e-05,4.5424,0.00020917,"Infected - Control"
"575.3034 / 2.12",24.532,2.8907e-05,4.539,0.00021069,"Infected - Control"
"372.1669 / 15.31",24.509,2.9097e-05,4.5362,0.00021196,"Infected - Control"
"242.0335 / 8.34",24.499,2.918e-05,4.5349,0.00021233,"Control - Infected"
"399.2082 / 8.85  M2H2",24.497,2.9191e-05,4.5347,0.00021233,"Infected - Control"
"339.1670 / 2.25",24.496,2.9198e-05,4.5346,0.00021233,"Infected - Control"
"417.2047 / 1.99",24.487,2.9276e-05,4.5335,0.00021278,"Infected - Control"
"839.4036 / 12.80",24.48,2.933e-05,4.5327,0.00021305,"Infected - Control"
"485.2716 / 11.23",24.474,2.9381e-05,4.5319,0.00021329,"Infected - Control"
"707.3349 / 18.05  MNa-2H-",24.469,2.9422e-05,4.5313,0.00021347,"Infected - Control"
"203.1402 / 2.35  MNH4",24.462,2.9482e-05,4.5304,0.00021379,"Infected - Control"
"374.2294 / 7.59",24.454,2.9548e-05,4.5295,0.00021414,"Infected - Control"
"790.8568 / 15.55  M-2H2-",24.44,2.9664e-05,4.5278,0.00021486,"Infected - Control"
"493.2299 / 10.76",24.404,2.9962e-05,4.5234,0.0002169,"Infected - Control"
"748.3196 / 10.68  M-H-",24.392,3.0065e-05,4.5219,0.00021752,"Infected - Control"
"485.2373 / 12.08  M-H-",24.387,3.0111e-05,4.5213,0.00021773,"Infected - Control"
"263.1432 / 4.51",24.376,3.02e-05,4.52,0.00021825,"Infected - Control"
"564.2857 / 17.13",24.366,3.0293e-05,4.5187,0.0002188,"Infected - Control"
"513.3040 / 14.98",24.361,3.0335e-05,4.5181,0.00021897,"Infected - Control"
"345.2033 / 22.29",24.353,3.0403e-05,4.5171,0.00021935,"Control - Infected"
"547.2842 / 1.93",24.343,3.0483e-05,4.5159,0.0002198,"Infected - Control"
"690.3837 / 18.93",24.326,3.063e-05,4.5138,0.00022074,"Infected - Control"
"493.2671 / 12.31",24.324,3.0651e-05,4.5135,0.00022076,"Infected - Control"
"221.0036 / 1.80",24.316,3.0715e-05,4.5126,0.0002211,"Control - Infected"
"369.1762 / 10.14",24.313,3.0744e-05,4.5122,0.00022118,"Infected - Control"
"477.2701 / 14.91",24.257,3.1238e-05,4.5053,0.00022461,"Infected - Control"
"705.8567 / 19.59  M-2H2-",24.226,3.151e-05,4.5016,0.00022643,"Infected - Control"
"273.1570 / 1.81",24.218,3.1576e-05,4.5006,0.00022678,"Infected - Control"
"527.2790 / 15.36",24.214,3.1619e-05,4.5,0.00022697,"Infected - Control"
"391.1881 / 10.50",24.207,3.1675e-05,4.4993,0.00022712,"Infected - Control"
"446.2628 / 1.83",24.207,3.1676e-05,4.4993,0.00022712,"Infected - Control"
"421.1816 / 22.62",24.205,3.1694e-05,4.499,0.00022712,"Control - Infected"
"426.2056 / 15.17",24.202,3.1721e-05,4.4986,0.00022719,"Infected - Control"
"705.3661 / 9.94",24.193,3.1807e-05,4.4975,0.00022768,"Infected - Control"
"549.1954 / 14.09  MNa-2H-",24.148,3.2206e-05,4.4921,0.0002304,"Infected - Control"
"584.2492 / 8.32",24.146,3.2231e-05,4.4917,0.00023045,"Infected - Control"
"428.9070 / 13.11  M3H3",24.122,3.2446e-05,4.4888,0.00023186,"Infected - Control"
"181.0089 / 1.43",24.106,3.2592e-05,4.4869,0.00023277,"Control - Infected"
"634.3441 / 18.82",24.103,3.2625e-05,4.4865,0.00023288,"Infected - Control"
"540.2774 / 8.48",24.062,3.3005e-05,4.4814,0.00023546,"Infected - Control"
"500.2779 / 13.59",24.038,3.3226e-05,4.4785,0.0002369,"Infected - Control"
"490.2668 / 15.08",24.017,3.3428e-05,4.4759,0.00023809,"Infected - Control"
"723.3703 / 18.88",24.017,3.3431e-05,4.4759,0.00023809,"Infected - Control"
"484.7337 / 21.47  M-2H2-",24.012,3.3476e-05,4.4753,0.00023828,"Infected - Control"
"553.2998 / 20.02",24.002,3.3572e-05,4.474,0.00023884,"Infected - Control"
"534.2907 / 16.44",23.984,3.3741e-05,4.4718,0.00023984,"Infected - Control"
"393.1415 / 12.98  M-H-",23.983,3.3751e-05,4.4717,0.00023984,"Infected - Control"
"346.1399 / 14.75",23.98,3.3779e-05,4.4713,0.00023991,"Infected - Control"
"537.2724 / 19.18",23.978,3.3801e-05,4.4711,0.00023993,"Infected - Control"
"528.3027 / 15.55",23.976,3.3819e-05,4.4708,0.00023993,"Infected - Control"
"177.0506 / 8.32",23.971,3.3862e-05,4.4703,0.0002401,"Infected - Control"
"913.5134 / 20.11",23.937,3.419e-05,4.4661,0.00024229,"Infected - Control"
"522.2921 / 8.76",23.933,3.4234e-05,4.4655,0.00024234,"Infected - Control"
"558.2790 / 17.79  M2",23.933,3.4236e-05,4.4655,0.00024234,"Infected - Control"
"628.3309 / 19.82  MNa",23.915,3.4405e-05,4.4634,0.0002434,"Infected - Control"
"643.2607 / 20.14",23.91,3.4462e-05,4.4627,0.00024367,"Infected - Control"
"504.2771 / 2.37",23.9,3.4553e-05,4.4615,0.00024418,"Infected - Control"
"412.2187 / 6.08",23.877,3.4778e-05,4.4587,0.00024564,"Infected - Control"
"659.3643 / 14.80",23.875,3.4804e-05,4.4584,0.00024569,"Infected - Control"
"726.3471 / 18.94  M2H2",23.862,3.4935e-05,4.4567,0.00024648,"Infected - Control"
"515.2827 / 9.73  M-H-",23.837,3.5184e-05,4.4537,0.00024809,"Infected - Control"
"631.2819 / 7.49",23.815,3.5402e-05,4.451,0.00024941,"Infected - Control"
"457.1808 / 21.09",23.814,3.5416e-05,4.4508,0.00024941,"Infected - Control"
"619.3560 / 11.82  M-H-",23.812,3.543e-05,4.4506,0.00024941,"Infected - Control"
"146.0604 / 11.12",23.794,3.5611e-05,4.4484,0.00025043,"Control - Infected"
"572.1134 / 10.47",23.794,3.5613e-05,4.4484,0.00025043,"Infected - Control"
"548.7876 / 17.84  M2H2",23.779,3.577e-05,4.4465,0.00025139,"Infected - Control"
"642.8422 / 19.65  M2H2",23.773,3.583e-05,4.4458,0.00025167,"Infected - Control"
"562.3090 / 13.62",23.767,3.5884e-05,4.4451,0.00025192,"Infected - Control"
"267.1458 / 1.54",23.696,3.6619e-05,4.4363,0.00025694,"Infected - Control"
"446.2032 / 11.47  MH",23.692,3.6668e-05,4.4357,0.00025714,"Infected - Control"
"529.2863 / 14.99  M2H2",23.684,3.6749e-05,4.4348,0.00025757,"Infected - Control"
"238.1080 / 2.28",23.661,3.6994e-05,4.4319,0.00025914,"Control - Infected"
"383.1942 / 8.71  M2",23.605,3.7583e-05,4.425,0.00026312,"Infected - Control"
"297.1276 / 8.79  MH",23.599,3.7656e-05,4.4242,0.00026349,"Infected - Control"
"580.2190 / 20.77  MNa-2H-",23.583,3.7829e-05,4.4222,0.00026456,"Infected - Control"
"244.1659 / 1.03",23.58,3.7861e-05,4.4218,0.00026464,"Infected - Control"
"350.1712 / 9.57",23.56,3.8075e-05,4.4194,0.00026597,"Infected - Control"
"213.0738 / 8.33",23.558,3.8094e-05,4.4191,0.00026597,"Infected - Control"
"918.4527 / 19.20  MNa-2H-",23.543,3.8262e-05,4.4172,0.000267,"Infected - Control"
"932.5041 / 19.51  MNa-2H-",23.524,3.8474e-05,4.4148,0.0002682,"Infected - Control"
"355.2347 / 1.78",23.523,3.8476e-05,4.4148,0.0002682,"Infected - Control"
"707.8760 / 19.59  M2H2",23.511,3.8607e-05,4.4133,0.00026897,"Infected - Control"
"275.1036 / 14.05  M-H-",23.505,3.8682e-05,4.4125,0.00026934,"Infected - Control"
"489.2350 / 11.10",23.487,3.8881e-05,4.4103,0.00027058,"Infected - Control"
"483.2458 / 19.56  M-H-",23.482,3.8935e-05,4.4097,0.00027076,"Infected - Control"
"836.4310 / 19.77  M-H-",23.481,3.8949e-05,4.4095,0.00027076,"Infected - Control"
"489.2544 / 12.14",23.466,3.9117e-05,4.4076,0.00027178,"Infected - Control"
"321.1110 / 12.25",23.444,3.9358e-05,4.405,0.00027322,"Control - Infected"
"287.1368 / 5.55  MNa",23.443,3.9367e-05,4.4049,0.00027322,"Infected - Control"
"484.5649 / 18.95  M3H3",23.408,3.9773e-05,4.4004,0.00027588,"Infected - Control"
"287.1379 / 6.29  MNa",23.393,3.9945e-05,4.3985,0.00027682,"Infected - Control"
"435.2229 / 11.37  M-",23.392,3.9952e-05,4.3985,0.00027682,"Infected - Control"
"449.2193 / 12.48",23.39,3.9974e-05,4.3982,0.00027683,"Infected - Control"
"970.4750 / 21.47",23.386,4.0026e-05,4.3977,0.00027704,"Infected - Control"
"520.2846 / 18.67  M2H2",23.348,4.0464e-05,4.3929,0.00027992,"Infected - Control"
"441.1979 / 3.22  MH",23.332,4.0651e-05,4.3909,0.00028106,"Infected - Control"
"728.3920 / 15.14",23.314,4.0855e-05,4.3888,0.00028232,"Infected - Control"
"415.2190 / 6.23  M-H-",23.309,4.0914e-05,4.3881,0.00028257,"Infected - Control"
"447.1835 / 15.17  MNa-2H-",23.3,4.1023e-05,4.387,0.00028317,"Infected - Control"
"476.7131 / 8.55",23.295,4.1081e-05,4.3864,0.00028336,"Infected - Control"
"458.2689 / 11.41",23.294,4.1095e-05,4.3862,0.00028336,"Infected - Control"
"476.7694 / 13.59  MHNa2",23.285,4.1202e-05,4.3851,0.00028395,"Infected - Control"
"550.3091 / 19.23  M3H3",23.281,4.1248e-05,4.3846,0.00028397,"Infected - Control"
"461.2598 / 12.46",23.281,4.1249e-05,4.3846,0.00028397,"Infected - Control"
"253.0368 / 8.29  MK",23.266,4.1426e-05,4.3827,0.00028503,"Infected - Control"
"409.2205 / 10.90",23.259,4.1511e-05,4.3818,0.00028535,"Infected - Control"
"453.7416 / 17.58  M2",23.258,4.1517e-05,4.3818,0.00028535,"Infected - Control"
"838.2826 / 20.14  MNa-2H-",23.251,4.1601e-05,4.3809,0.00028577,"Infected - Control"
"465.2146 / 15.01",23.238,4.1758e-05,4.3793,0.0002867,"Infected - Control"
"251.1030 / 2.29",23.228,4.1877e-05,4.378,0.00028721,"Infected - Control"
"825.3617 / 15.50  MNa",23.228,4.1877e-05,4.378,0.00028721,"Infected - Control"
"289.1159 / 3.37  MNa",23.226,4.191e-05,4.3777,0.00028728,"Infected - Control"
"377.2668 / 23.49",23.222,4.1953e-05,4.3772,0.00028742,"Infected - Control"
"373.1009 / 9.56",23.216,4.2031e-05,4.3764,0.00028776,"Infected - Control"
"332.1833 / 3.76  MH",23.214,4.2049e-05,4.3762,0.00028776,"Infected - Control"
"450.2354 / 10.37",23.212,4.2075e-05,4.376,0.00028779,"Infected - Control"
"401.2024 / 10.80",23.198,4.2241e-05,4.3743,0.00028877,"Infected - Control"
"505.2700 / 16.78",23.187,4.2385e-05,4.3728,0.0002896,"Infected - Control"
"744.4119 / 19.27",23.182,4.2436e-05,4.3723,0.00028979,"Infected - Control"
"448.1996 / 10.13",23.179,4.2472e-05,4.3719,0.00028989,"Infected - Control"
"808.4531 / 19.97  MNa",23.177,4.2504e-05,4.3716,0.00028995,"Infected - Control"
"532.3138 / 19.40",23.155,4.2773e-05,4.3688,0.00029163,"Infected - Control"
"431.2508 / 7.78  MCH3OHH",23.149,4.2853e-05,4.368,0.00029202,"Infected - Control"
"507.2487 / 16.68",23.127,4.3125e-05,4.3653,0.00029372,"Infected - Control"
"409.2090 / 9.55  MH",23.11,4.333e-05,4.3632,0.00029495,"Infected - Control"
"218.9973 / 6.63",23.101,4.3446e-05,4.362,0.00029559,"Control - Infected"
"570.2874 / 2.74  MCH3OHH",23.091,4.3571e-05,4.3608,0.00029628,"Infected - Control"
"644.3622 / 15.82",23.061,4.3946e-05,4.3571,0.00029867,"Infected - Control"
"558.3287 / 18.95  M2H2",23.055,4.4028e-05,4.3563,0.00029887,"Infected - Control"
"643.3250 / 2.60",23.054,4.4034e-05,4.3562,0.00029887,"Infected - Control"
"598.8116 / 18.94  M2Na2",23.054,4.4045e-05,4.3561,0.00029887,"Infected - Control"
"816.4599 / 19.76  MH",23.046,4.4139e-05,4.3552,0.00029934,"Infected - Control"
"572.2636 / 12.43",23.02,4.4471e-05,4.3519,0.00030144,"Infected - Control"
"120.0810 / 3.76",22.986,4.4913e-05,4.3476,0.00030427,"Infected - Control"
"379.0866 / 14.05  MNa-2H-",22.959,4.5271e-05,4.3442,0.00030654,"Infected - Control"
"458.2703 / 20.08",22.957,4.5297e-05,4.3439,0.00030655,"Infected - Control"
"640.2704 / 18.75",22.947,4.5423e-05,4.3427,0.0003072,"Infected - Control"
"445.2412 / 14.66",22.946,4.5442e-05,4.3425,0.0003072,"Infected - Control"
"359.2384 / 2.45",22.925,4.5716e-05,4.3399,0.00030889,"Infected - Control"
"201.1235 / 9.44  MH",22.922,4.5755e-05,4.3396,0.00030899,"Infected - Control"
"499.2491 / 2.74",22.919,4.5793e-05,4.3392,0.00030909,"Infected - Control"
"357.1874 / 11.51",22.905,4.5986e-05,4.3374,0.00031023,"Infected - Control"
"157.1341 / 2.32",22.901,4.6037e-05,4.3369,0.00031041,"Infected - Control"
"586.1306 / 16.29",22.899,4.6062e-05,4.3367,0.00031041,"Infected - Control"
"498.3036 / 13.05",22.897,4.6086e-05,4.3364,0.00031041,"Infected - Control"
"779.8166 / 16.76  M-2H2-",22.886,4.6231e-05,4.3351,0.00031122,"Infected - Control"
"677.3462 / 20.08  M2H2",22.859,4.66e-05,4.3316,0.00031353,"Infected - Control"
"342.1669 / 11.55",22.853,4.6683e-05,4.3308,0.00031393,"Infected - Control"
"423.2346 / 11.07  MNH4",22.844,4.68e-05,4.3297,0.00031439,"Infected - Control"
"391.1977 / 11.06",22.843,4.6815e-05,4.3296,0.00031439,"Infected - Control"
"394.2313 / 13.30",22.842,4.6825e-05,4.3295,0.00031439,"Infected - Control"
"199.0604 / 3.26",22.836,4.6907e-05,4.3288,0.00031477,"Control - Infected"
"439.1824 / 3.72",22.81,4.7269e-05,4.3254,0.00031688,"Infected - Control"
"531.2798 / 10.65",22.81,4.727e-05,4.3254,0.00031688,"Infected - Control"
"385.6643 / 20.14  M-2H2-",22.792,4.7521e-05,4.3231,0.00031839,"Infected - Control"
"655.3750 / 19.97",22.775,4.7755e-05,4.321,0.00031979,"Infected - Control"
"239.1003 / 4.85",22.773,4.778e-05,4.3207,0.0003198,"Control - Infected"
"790.2805 / 20.55  MNa-2H-",22.75,4.8097e-05,4.3179,0.00032174,"Infected - Control"
"373.2273 / 7.43",22.736,4.8297e-05,4.3161,0.00032292,"Infected - Control"
"500.2397 / 11.11",22.707,4.8706e-05,4.3124,0.00032548,"Infected - Control"
"541.2343 / 16.14",22.705,4.8736e-05,4.3121,0.00032551,"Infected - Control"
"778.3769 / 19.04  M-H-",22.697,4.8847e-05,4.3112,0.00032602,"Infected - Control"
"487.7750 / 16.85",22.696,4.8863e-05,4.311,0.00032602,"Infected - Control"
"710.2940 / 20.53  MNa",22.692,4.8923e-05,4.3105,0.00032625,"Infected - Control"
"326.1237 / 2.29",22.689,4.896e-05,4.3102,0.00032632,"Control - Infected"
"499.2455 / 16.50  M2Na2",22.678,4.9124e-05,4.3087,0.00032702,"Infected - Control"
"474.2660 / 2.42",22.677,4.913e-05,4.3087,0.00032702,"Infected - Control"
"432.1529 / 14.81",22.676,4.9142e-05,4.3085,0.00032702,"Infected - Control"
"499.2291 / 12.97  M2H2",22.672,4.9205e-05,4.308,0.00032728,"Infected - Control"
"670.3904 / 10.37",22.67,4.9238e-05,4.3077,0.00032732,"Infected - Control"
"545.2949 / 12.83  MAcO-H-",22.666,4.9289e-05,4.3072,0.00032749,"Infected - Control"
"512.2579 / 11.49",22.651,4.95e-05,4.3054,0.00032865,"Infected - Control"
"302.1717 / 3.39",22.65,4.9515e-05,4.3053,0.00032865,"Infected - Control"
"362.1457 / 3.64",22.648,4.9555e-05,4.3049,0.00032874,"Infected - Control"
"449.2386 / 15.21",22.644,4.9601e-05,4.3045,0.00032888,"Infected - Control"
"309.0474 / 1.85",22.634,4.9747e-05,4.3032,0.00032968,"Infected - Control"
"549.2675 / 12.03  MH",22.629,4.982e-05,4.3026,0.00032999,"Infected - Control"
"481.2405 / 8.46",22.618,4.9984e-05,4.3012,0.00033091,"Infected - Control"
"449.2395 / 12.65  MH",22.594,5.0334e-05,4.2981,0.00033305,"Infected - Control"
"547.3096 / 12.83",22.591,5.0378e-05,4.2978,0.00033317,"Infected - Control"
"556.2763 / 15.85  M2H2",22.586,5.0457e-05,4.2971,0.00033352,"Infected - Control"
"309.1085 / 2.70",22.575,5.0609e-05,4.2958,0.00033435,"Infected - Control"
"522.7398 / 16.62  M2H2",22.573,5.0638e-05,4.2955,0.00033437,"Infected - Control"
"387.2206 / 11.62",22.562,5.081e-05,4.294,0.00033533,"Infected - Control"
"401.2042 / 15.08",22.56,5.0843e-05,4.2938,0.00033537,"Infected - Control"
"295.1300 / 3.02  MNH4",22.534,5.1226e-05,4.2905,0.00033764,"Infected - Control"
"433.2648 / 13.71",22.533,5.124e-05,4.2904,0.00033764,"Infected - Control"
"543.2242 / 14.23  MHNa2",22.523,5.1391e-05,4.2891,0.00033846,"Infected - Control"
"657.3185 / 7.75",22.518,5.1467e-05,4.2885,0.00033879,"Infected - Control"
"638.3522 / 19.66",22.509,5.1601e-05,4.2873,0.0003395,"Infected - Control"
"693.3463 / 13.55  M-2H2-",22.499,5.1749e-05,4.2861,0.00033999,"Infected - Control"
"449.2516 / 7.32",22.498,5.1768e-05,4.2859,0.00033999,"Infected - Control"
"514.2409 / 18.95",22.497,5.1781e-05,4.2858,0.00033999,"Infected - Control"
"385.2325 / 10.49",22.497,5.1782e-05,4.2858,0.00033999,"Infected - Control"
"163.0344 / 3.25",22.492,5.1866e-05,4.2851,0.00034037,"Control - Infected"
"788.3206 / 13.49  M-H-",22.482,5.2011e-05,4.2839,0.00034114,"Infected - Control"
