"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"338.1452 / 6.92",13.321,0.001026,2.9888,0.003175,"Infected - Control"
"493.2362 / 7.09",13.316,0.0010277,2.9881,0.0031792,"Infected - Control"
"497.7058 / 11.10",13.315,0.001028,2.988,0.0031792,"Infected - Control"
"558.2874 / 6.73",13.315,0.0010282,2.9879,0.0031792,"Infected - Control"
"275.9920 / 7.47",13.314,0.0010284,2.9878,0.0031792,"Infected - Control"
"463.1705 / 22.26  M-H-",13.312,0.0010291,2.9875,0.0031803,"Control - Infected"
"444.2083 / 2.60",13.312,0.0010292,2.9875,0.0031803,"Infected - Control"
"724.3213 / 16.75",13.31,0.0010299,2.9872,0.0031814,"Infected - Control"
"486.3033 / 3.83",13.304,0.0010324,2.9862,0.0031884,"Infected - Control"
"431.7191 / 10.88",13.294,0.0010362,2.9846,0.0031995,"Infected - Control"
"449.2364 / 12.45  MNa-2H-",13.293,0.0010365,2.9844,0.0031996,"Infected - Control"
"407.2156 / 5.59",13.291,0.0010373,2.9841,0.0032014,"Infected - Control"
"679.3303 / 17.70",13.289,0.0010381,2.9838,0.0032023,"Infected - Control"
"463.2196 / 16.03",13.288,0.0010382,2.9837,0.0032023,"Infected - Control"
"877.4415 / 10.13  MH",13.287,0.0010386,2.9836,0.0032023,"Infected - Control"
"447.2223 / 11.12",13.287,0.0010386,2.9835,0.0032023,"Infected - Control"
"604.8167 / 14.27  M2H2",13.287,0.0010389,2.9834,0.0032023,"Infected - Control"
"597.2841 / 9.35  MNa-2H-",13.28,0.0010414,2.9824,0.003209,"Infected - Control"
"782.4804 / 14.83",13.279,0.0010415,2.9823,0.003209,"Infected - Control"
"463.7132 / 16.59",13.279,0.0010419,2.9822,0.0032094,"Infected - Control"
"650.2793 / 11.97",13.274,0.0010437,2.9814,0.0032142,"Infected - Control"
"574.2954 / 7.10  MNa",13.271,0.0010446,2.981,0.0032156,"Infected - Control"
"637.3001 / 17.96",13.271,0.0010447,2.981,0.0032156,"Infected - Control"
"269.1268 / 8.04  MNa",13.271,0.0010449,2.9809,0.0032156,"Control - Infected"
"570.2191 / 11.05  MNa-2H-",13.269,0.0010457,2.9806,0.0032172,"Infected - Control"
"524.2674 / 8.28  MNa",13.262,0.0010481,2.9796,0.0032239,"Infected - Control"
"568.3083 / 6.92",13.261,0.0010486,2.9794,0.0032244,"Infected - Control"
"429.2345 / 7.91",13.26,0.0010488,2.9793,0.0032244,"Infected - Control"
"613.3554 / 18.75  M-H-",13.259,0.0010495,2.979,0.0032258,"Infected - Control"
"173.0137 / 1.04",13.256,0.0010503,2.9787,0.0032276,"Infected - Control"
"575.2661 / 9.82",13.255,0.001051,2.9784,0.0032289,"Infected - Control"
"430.2195 / 13.77",13.253,0.0010515,2.9782,0.0032296,"Infected - Control"
"537.2926 / 15.50  M4H4",13.253,0.0010518,2.9781,0.0032296,"Infected - Control"
"524.1299 / 9.67",13.247,0.0010541,2.9771,0.0032359,"Infected - Control"
"559.3483 / 16.51  MH",13.245,0.0010549,2.9768,0.0032376,"Infected - Control"
"181.0730 / 13.38",13.243,0.0010556,2.9765,0.0032392,"Control - Infected"
"558.2881 / 4.66",13.241,0.0010564,2.9762,0.0032398,"Infected - Control"
"737.3216 / 11.96",13.24,0.0010565,2.9761,0.0032398,"Infected - Control"
"300.1919 / 4.71  MH",13.24,0.0010566,2.9761,0.0032398,"Infected - Control"
"917.4780 / 10.62",13.239,0.0010572,2.9759,0.0032408,"Infected - Control"
"427.2087 / 7.59",13.236,0.0010581,2.9755,0.0032429,"Infected - Control"
"588.2067 / 15.77  MNa-2H-",13.235,0.0010587,2.9752,0.0032438,"Infected - Control"
"324.0593 / 7.59",13.234,0.001059,2.9751,0.003244,"Control - Infected"
"534.2217 / 10.86",13.23,0.0010606,2.9744,0.0032482,"Infected - Control"
"548.2018 / 11.28",13.229,0.0010611,2.9743,0.0032488,"Infected - Control"
"520.3399 / 23.62  MCH3OHH",13.227,0.0010618,2.974,0.0032502,"Infected - Control"
"538.2874 / 5.33",13.225,0.0010623,2.9737,0.0032512,"Infected - Control"
"493.7498 / 3.50  M2H2",13.222,0.0010635,2.9733,0.0032538,"Infected - Control"
"539.7678 / 10.13",13.22,0.0010644,2.9729,0.0032551,"Infected - Control"
"323.1213 / 11.75  M-H-",13.22,0.0010644,2.9729,0.0032551,"Infected - Control"
"778.3718 / 18.36",13.218,0.0010652,2.9726,0.0032553,"Infected - Control"
"379.1604 / 17.70  M-H-",13.218,0.0010653,2.9725,0.0032553,"Control - Infected"
"481.7525 / 11.65",13.217,0.0010654,2.9725,0.0032553,"Infected - Control"
"434.2163 / 10.98  M-H-",13.217,0.0010655,2.9724,0.0032553,"Infected - Control"
"399.1871 / 12.61",13.21,0.0010682,2.9713,0.0032629,"Infected - Control"
"575.3400 / 7.31",13.207,0.0010694,2.9709,0.0032656,"Infected - Control"
"725.4222 / 16.61",13.206,0.0010699,2.9706,0.0032665,"Infected - Control"
"453.0506 / 2.08",13.205,0.0010703,2.9705,0.0032668,"Control - Infected"
"787.7395 / 14.72",13.204,0.0010707,2.9703,0.0032668,"Infected - Control"
"585.3696 / 9.92  MH",13.204,0.0010708,2.9703,0.0032668,"Infected - Control"
"553.2971 / 10.54  M-H-",13.203,0.0010711,2.9702,0.0032669,"Infected - Control"
"469.1919 / 6.41",13.199,0.0010727,2.9695,0.0032712,"Infected - Control"
"899.4313 / 13.59",13.194,0.0010746,2.9688,0.0032761,"Infected - Control"
"566.2774 / 11.00",13.19,0.0010762,2.9681,0.0032802,"Infected - Control"
"395.6791 / 5.29  M2H2",13.186,0.0010777,2.9675,0.0032839,"Infected - Control"
"478.2626 / 13.26  M2H2",13.183,0.0010791,2.967,0.0032874,"Infected - Control"
"589.2829 / 10.48",13.182,0.0010794,2.9668,0.0032875,"Infected - Control"
"523.1914 / 22.26  MAcO-H-",13.181,0.0010797,2.9667,0.0032877,"Control - Infected"
"345.1879 / 8.50  M3H3",13.179,0.0010806,2.9663,0.0032898,"Infected - Control"
"460.3109 / 7.28",13.174,0.0010825,2.9656,0.0032946,"Infected - Control"
"974.4346 / 11.10  M-H-",13.169,0.0010844,2.9648,0.0032995,"Infected - Control"
"588.2866 / 8.55",13.167,0.0010852,2.9645,0.0033015,"Infected - Control"
"447.2051 / 17.86",13.166,0.0010857,2.9643,0.0033021,"Infected - Control"
"371.1645 / 5.47",13.164,0.0010865,2.964,0.0033034,"Infected - Control"
