"","Loading (t1)","OrthoLoading (to1)"
"154.0498 / 8.45",0.0012575,-0.00805
"154.0502 / 18.57",-0.0032039,0.0046289
"154.0513 / 7.76",0.011509,-0.014027
"154.0697 / 5.78",0.010623,-0.0067788
"155.0452 / 1.99",0.010177,-0.01536
"155.0531 / 7.79",0.010584,-0.00402
"155.0701 / 16.46",0.004008,0.0010248
"155.0702 / 13.93",0.0033132,-0.0021603
"155.0813 / 4.18  MCH3OHH",0.00044723,-0.0033537
"155.9708 / 10.71",-0.0035728,-0.011132
"155.9735 / 31.76",0.0027997,-0.0046262
"155.9738 / 5.41",-0.00034585,0.0030872
"155.9740 / 12.80",-0.0010937,-0.0036542
"155.9741 / 11.55",0.0022734,-0.0048228
"155.9741 / 4.51",-0.0013317,0.0071107
"155.9742 / 8.67",0.0039596,0.00026742
"155.9742 / 9.69",0.00073951,0.0031198
"155.9743 / 14.23",-0.0041225,-0.0056439
"155.9744 / 7.45",0.0048046,0.0031247
"155.9745 / 1.77",-0.0055139,0.004511
"155.9745 / 16.36",0.0062957,0.0063443
"155.9747 / 18.27",-0.0032543,-0.0026667
"155.9748 / 6.68",0.0026166,-0.0032255
"155.9749 / 19.17",-0.007014,-0.0082389
"155.9749 / 2.65",0.0019323,0.0093659
"155.9750 / 0.02",0.0011282,0.0067278
"155.9750 / 0.93",0.0012866,0.0044361
"155.9750 / 16.91",0.001953,-0.0042088
"155.9751 / 28.69",0.0020695,0.0088304
"155.9751 / 3.53",0.0069773,0.010967
"156.0108 / 16.05",-0.00038621,-0.003129
"156.0655 / 3.60  MH",0.0057927,0.0020558
"156.9588 / 12.01",-0.010987,-0.00045184
"156.9589 / 2.40",0.0049307,0.0071498
"156.9589 / 7.78",-0.0017193,0.0011213
"156.9589 / 8.97",-0.0067026,-0.0017172
"156.9589 / 9.81",-0.0040896,-0.0030035
"156.9590 / 3.16",0.0064311,-0.011945
"156.9591 / 0.55",-0.0020104,0.0021705
"156.9591 / 14.07",0.0029692,-0.0011644
"156.9592 / 13.11",-0.0035633,-0.0039162
"156.9592 / 4.77",0.0042807,0.002016
"156.9592 / 5.91",0.0084914,0.0010909
"156.9594 / 31.57",-0.0052387,-0.0070288
"157.0477 / 2.54",0.0029529,-0.0077352
"157.0763 / 2.30",0.0074202,-0.016192
"157.0829 / 4.81",-0.00016105,0.011126
"157.0973 / 6.99  MNH4",-0.0033868,-0.0041686
"157.1337 / 2.32",-0.012963,-0.01578
"157.5692 / 14.13",-0.0077516,-0.011071
"158.0606 / 2.30  MH",0.0054517,-0.016903
"158.0814 / 8.34",0.016374,-0.003447
"158.1178 / 3.99",0.010706,-0.0090248
