"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"121.1007 / 1.87",0.1678,0.21972,0.21635,0.21557,0.2155
"121.1009 / 9.14",0.45638,0.43256,0.42743,0.42646,0.42925
"121.1010 / 8.57",0.33074,0.76515,0.75431,0.77115,0.77105
"121.1012 / 11.25  MH",0.081226,0.76227,0.79695,0.79394,0.79364
"121.1012 / 6.47  MH",0.42001,0.43227,0.42582,0.43791,0.44
"121.1013 / 0.36  MH",0.043078,0.050348,0.062892,0.29454,0.29458
"121.1014 / 7.38",0.23476,0.43619,0.43902,0.45477,0.45496
"121.1015 / 3.65",0.082732,0.70072,0.68959,0.71361,0.71343
"122.0575 / 5.02  MNa",0.86613,1.1993,1.1847,1.1809,1.1807
"123.0437 / 6.69",0.44503,0.87054,0.85856,0.85532,0.85559
"123.0445 / 2.10",0.2414,0.70877,0.6975,0.6963,0.69617
"123.0548 / 3.51",0.47801,0.39663,0.55324,0.55638,0.5663
"123.0554 / 4.10  MH",0.076999,0.060824,0.16913,0.17591,0.17685
"123.0777 / 19.48",0.082077,0.11618,0.11514,0.11488,0.11486
"124.0244 / 1.08",0.26282,0.63227,0.62224,0.6212,0.62147
"124.0246 / 0.27",0.68957,0.69937,0.69023,0.69189,0.69197
"124.0389 / 2.77",0.8922,0.73045,0.72079,0.72228,0.72267
"124.0465 / 2.09",0.28246,0.75389,0.74202,0.74145,0.74124
"124.0510 / 13.39",0.89019,1.5575,1.5477,1.5427,1.543
"124.0586 / 4.11",0.0081052,0.23235,0.36838,0.37581,0.37705
"124.0754 / 5.20",0.44772,0.75499,0.78427,0.7882,0.78791
"126.0218 / 1.04",0.28543,0.6868,0.67596,0.67431,0.67458
"126.0915 / 10.44  MH",0.57273,1.3706,1.3514,1.3464,1.3461
"126.1280 / 13.57",1.6266,2.3919,2.3586,2.3503,2.3497
"127.0390 / 6.82  MH",0.84284,1.3066,1.2874,1.2875,1.287
"127.0504 / 4.07",0.88097,1.8562,1.8316,1.8248,1.8241
"128.9852 / 1.85",0.25732,0.49439,0.48687,0.48513,0.48496
"129.0185 / 1.65",0.93739,2.0829,2.1251,2.1171,2.1163
"129.0659 / 10.59",0.38375,0.9967,1.0249,1.0219,1.0223
"129.1021 / 1.04",0.41613,0.91666,0.916,0.91502,0.91467
"129.1385 / 1.00  MNH4",0.82432,0.7106,0.70169,0.70089,0.70064
"130.0498 / 4.13",0.37732,1.2219,1.2197,1.2157,1.2152
"130.0500 / 11.84",0.44892,1.2656,1.2556,1.2566,1.2563
"130.0501 / 1.43  MH",0.27203,0.68504,0.67529,0.67296,0.67278
"130.0501 / 10.59  MH",0.26878,0.95234,0.9576,0.95395,0.95375
"130.0502 / 2.26",0.13203,0.6012,0.59276,0.59144,0.59126
"130.0649 / 18.67",0.074627,0.45867,0.50974,0.50779,0.51132
"130.0652 / 14.84",0.32636,0.48376,0.48118,0.48083,0.48161
