"","d.value","stdev","rawp","q.value"
"655.2927 / 9.62",4.6136,1.455,2.0349e-05,3.6693e-05
"422.5888 / 12.88  M3H3",4.6132,1.453,2.0349e-05,3.6693e-05
"430.1881 / 5.46",4.613,1.4955,2.0349e-05,3.6693e-05
"828.3429 / 4.25",4.613,1.6005,2.0349e-05,3.6693e-05
"394.2154 / 7.29  M2H2",4.6127,1.4586,2.0349e-05,3.6693e-05
"431.1905 / 16.57  MNa-2H-",4.6123,1.5015,2.0349e-05,3.6693e-05
"385.2182 / 9.26",4.6122,1.5894,2.0349e-05,3.6693e-05
"574.7901 / 19.68",4.612,1.3388,2.0349e-05,3.6693e-05
"549.6220 / 19.70  M3H3",4.6117,1.4556,2.0349e-05,3.6693e-05
"413.2389 / 9.52",4.6117,1.4406,2.0349e-05,3.6693e-05
"558.7841 / 10.00  M2H2",4.6116,1.4147,2.0349e-05,3.6693e-05
"624.6632 / 19.89  M3H3",4.6111,1.5768,2.0349e-05,3.6693e-05
"474.7081 / 18.11  MHNa2",4.6111,1.4608,2.0349e-05,3.6693e-05
"328.1377 / 8.81",4.611,1.5603,2.0349e-05,3.6693e-05
"585.3229 / 17.77  M-H-",4.6108,1.5479,2.0349e-05,3.6693e-05
"556.3042 / 19.11",4.6106,1.6456,2.0349e-05,3.6693e-05
"516.3035 / 15.53  MH",4.6106,1.7112,2.0349e-05,3.6693e-05
"359.1467 / 22.51",4.6104,0.42756,2.0349e-05,3.6693e-05
"541.2917 / 18.49  M2H2",4.6103,1.5351,2.0349e-05,3.6693e-05
"430.2652 / 6.71",4.6103,1.4873,2.0349e-05,3.6693e-05
"667.8201 / 18.08",4.6101,1.5984,2.0349e-05,3.6693e-05
"845.3271 / 15.49",4.6099,1.6486,2.0349e-05,3.6693e-05
"552.3003 / 14.63",4.6095,1.5127,2.0349e-05,3.6693e-05
"352.2022 / 8.98",4.6092,1.5777,2.0349e-05,3.6693e-05
"405.1977 / 2.79  MAcO-H-",4.6089,1.5597,2.1132e-05,3.7966e-05
"548.2545 / 7.80",4.6089,1.4207,2.1132e-05,3.7966e-05
"537.2694 / 14.40",4.6086,1.5076,2.1132e-05,3.7966e-05
"961.4710 / 17.13",4.6085,1.4157,2.1132e-05,3.7966e-05
"756.3910 / 10.73  M-H-",4.6085,1.4207,2.1132e-05,3.7966e-05
"328.2232 / 11.48",4.6078,1.4398,2.1132e-05,3.7966e-05
"469.2166 / 2.34",4.6077,1.5082,2.1132e-05,3.7966e-05
"577.3185 / 2.12",4.6077,1.5648,2.1132e-05,3.7966e-05
"542.5823 / 18.86  M3H3",4.6075,1.2411,2.1914e-05,3.8911e-05
"465.2350 / 16.05  MH2Na3",4.6074,1.5734,2.1914e-05,3.8911e-05
"414.9860 / 8.13",4.6073,1.4854,2.1914e-05,3.8911e-05
"486.2555 / 16.12",4.6071,1.5288,2.1914e-05,3.8911e-05
"601.2698 / 2.34",4.6069,1.4813,2.1914e-05,3.8911e-05
"560.3044 / 4.64",4.6061,1.3846,2.1914e-05,3.8911e-05
"344.1818 / 14.32",4.6061,1.6224,2.1914e-05,3.8911e-05
"710.3144 / 13.58  MNa-2H-",4.606,1.5284,2.1914e-05,3.8911e-05
"922.4625 / 12.41",4.6057,1.4098,2.1914e-05,3.8911e-05
"678.3651 / 12.58",4.6056,1.3982,2.1914e-05,3.8911e-05
"416.2495 / 7.59  MNH4",4.6053,1.6506,2.1914e-05,3.8911e-05
"475.7619 / 17.43  M2H2",4.6053,1.4993,2.1914e-05,3.8911e-05
"440.2156 / 12.94",4.6053,1.5346,2.1914e-05,3.8911e-05
"374.2054 / 7.80  M2H2",4.605,1.6062,2.1914e-05,3.8911e-05
"316.1869 / 3.66",4.6045,1.6815,2.1914e-05,3.8911e-05
"428.2236 / 11.77",4.6031,1.4229,2.1914e-05,3.8911e-05
"472.2396 / 7.51",4.6026,1.5188,2.1914e-05,3.8911e-05
"704.3713 / 11.53  MNa-2H-",4.6025,1.5155,2.1914e-05,3.8911e-05
"555.1889 / 17.17  MTFA-H-",4.6017,1.2749,2.1914e-05,3.8911e-05
"404.2588 / 14.94",4.601,1.4346,2.1914e-05,3.8911e-05
"653.3228 / 12.90",4.6009,1.3347,2.1914e-05,3.8911e-05
"486.2670 / 8.06",4.5999,1.6604,2.1914e-05,3.8911e-05
"447.2242 / 12.64",4.5998,1.4411,2.1914e-05,3.8911e-05
"687.8575 / 18.82  M2H2",4.5997,1.4012,2.1914e-05,3.8911e-05
"501.3018 / 9.60",4.5996,1.5928,2.1914e-05,3.8911e-05
"343.1292 / 5.80",4.5993,1.4855,2.1914e-05,3.8911e-05
"601.2746 / 3.80",4.5989,1.3775,2.2697e-05,3.98e-05
"488.2360 / 11.07  M-H-",4.5988,1.4062,2.2697e-05,3.98e-05
"430.7270 / 12.96",4.5988,1.5157,2.2697e-05,3.98e-05
"316.0608 / 8.34",4.5986,1.7812,2.2697e-05,3.98e-05
"863.4605 / 12.68  MNa-2H-",4.598,1.4861,2.2697e-05,3.98e-05
"514.2877 / 13.02  M-H-",4.5979,1.7357,2.2697e-05,3.98e-05
"743.3597 / 18.15",4.5972,1.435,2.2697e-05,3.98e-05
"399.2595 / 16.45",4.5972,1.3638,2.2697e-05,3.98e-05
"562.3236 / 19.02",4.5972,1.7998,2.2697e-05,3.98e-05
"550.2834 / 14.03  MNa-2H-",4.5965,1.3382,2.2697e-05,3.98e-05
"632.3248 / 5.99",4.5959,1.4464,2.2697e-05,3.98e-05
"422.5212 / 8.81  M3H3",4.5954,1.5755,2.2697e-05,3.98e-05
"460.7359 / 12.33",4.5952,1.4043,2.2697e-05,3.98e-05
"578.3207 / 18.97",4.595,1.3828,2.2697e-05,3.98e-05
"373.2092 / 6.86",4.5947,1.4401,2.2697e-05,3.98e-05
"481.1924 / 7.41",4.5942,1.5677,2.2697e-05,3.98e-05
"444.2831 / 9.81",4.594,1.3309,2.2697e-05,3.98e-05
"482.2604 / 9.32",4.5939,1.5041,2.2697e-05,3.98e-05
"558.2900 / 12.45",4.5938,1.6336,2.2697e-05,3.98e-05
"698.2800 / 18.75  MNa-2H-",4.5933,1.3307,2.2697e-05,3.98e-05
"442.2548 / 3.24",4.5927,1.557,2.2697e-05,3.98e-05
"435.1915 / 10.98",4.5927,1.4616,2.2697e-05,3.98e-05
"474.2926 / 14.46",4.5924,1.4624,2.2697e-05,3.98e-05
"548.7860 / 13.74  M2H2",4.5923,1.4552,2.2697e-05,3.98e-05
"539.7996 / 20.88  M2H2",4.5919,1.7543,2.2697e-05,3.98e-05
"426.1483 / 14.40",4.5918,1.3346,2.2697e-05,3.98e-05
"590.2708 / 17.91  M2H2",4.5913,1.824,2.2697e-05,3.98e-05
"418.1639 / 19.04  M-H-",4.5913,1.5302,2.2697e-05,3.98e-05
"342.2387 / 13.99",4.5907,1.5522,2.348e-05,4.0613e-05
"470.1873 / 11.59",4.5905,1.4553,2.348e-05,4.0613e-05
"399.2596 / 15.48",4.59,1.4584,2.348e-05,4.0613e-05
"449.0415 / 18.78",4.5897,1.196,2.348e-05,4.0613e-05
"387.7286 / 14.56  M2H2",4.5893,1.5547,2.348e-05,4.0613e-05
"369.2129 / 5.81",4.5893,1.629,2.348e-05,4.0613e-05
"330.2382 / 11.93",4.5892,1.5931,2.348e-05,4.0613e-05
"789.3796 / 18.08  M-H-",4.589,1.4335,2.348e-05,4.0613e-05
"444.1387 / 9.66  MNa",4.5885,1.577,2.348e-05,4.0613e-05
"177.1033 / 3.72",4.5879,1.6784,2.348e-05,4.0613e-05
"542.2809 / 17.42",4.5878,1.4762,2.348e-05,4.0613e-05
"630.3819 / 16.59",4.5878,1.5818,2.348e-05,4.0613e-05
"383.1924 / 14.21  M-H-",4.5878,1.6192,2.348e-05,4.0613e-05
"723.3683 / 19.66",4.5877,1.2882,2.348e-05,4.0613e-05
"662.3581 / 18.15",4.5872,1.5271,2.348e-05,4.0613e-05
"410.2122 / 17.26",4.5872,1.5951,2.348e-05,4.0613e-05
"675.3141 / 19.23  M-2H2-",4.5852,1.4329,2.348e-05,4.0613e-05
"374.2402 / 2.12  MNH4",4.5851,1.5856,2.348e-05,4.0613e-05
"692.3726 / 8.09  MH",4.585,1.7593,2.348e-05,4.0613e-05
"389.7308 / 3.72",4.5847,1.4753,2.348e-05,4.0613e-05
"767.3334 / 19.44  MNa-2H-",4.5847,1.4413,2.348e-05,4.0613e-05
"471.2231 / 20.23  M-H-",4.5843,1.4162,2.348e-05,4.0613e-05
"316.1520 / 3.10",4.5841,1.6832,2.348e-05,4.0613e-05
"664.2924 / 19.01",4.5838,1.4014,2.348e-05,4.0613e-05
"385.2082 / 14.23",4.5837,1.5354,2.348e-05,4.0613e-05
"579.3244 / 8.45",4.5837,1.4606,2.348e-05,4.0613e-05
"593.2196 / 8.42",4.5837,1.49,2.348e-05,4.0613e-05
"382.2450 / 4.91",4.5835,1.4973,2.348e-05,4.0613e-05
"369.2024 / 12.47",4.5832,1.4703,2.348e-05,4.0613e-05
"701.3304 / 19.91",4.5829,1.394,2.4262e-05,4.162e-05
"832.8993 / 19.70",4.5823,1.1909,2.4262e-05,4.162e-05
"437.1979 / 10.78",4.5817,1.7656,2.4262e-05,4.162e-05
"671.3724 / 12.52",4.5801,1.3723,2.4262e-05,4.162e-05
"527.2250 / 12.43",4.5796,1.506,2.4262e-05,4.162e-05
"688.3523 / 16.16  MFA-H-",4.5796,1.3451,2.4262e-05,4.162e-05
"427.2550 / 15.30",4.5785,1.64,2.4262e-05,4.162e-05
"796.4033 / 15.89",4.5775,1.378,2.4262e-05,4.162e-05
"467.2453 / 9.21",4.5774,1.436,2.4262e-05,4.162e-05
"531.7290 / 18.40  M-2H2-",4.5765,1.2642,2.4262e-05,4.162e-05
"628.3379 / 7.70  M-H-",4.5765,1.5542,2.4262e-05,4.162e-05
"230.1141 / 12.11",4.5761,1.5377,2.4262e-05,4.162e-05
"504.2652 / 12.84  M",4.5757,1.5733,2.4262e-05,4.162e-05
"472.2402 / 9.88",4.5754,1.5307,2.4262e-05,4.162e-05
"392.2184 / 13.12",4.5753,1.9186,2.4262e-05,4.162e-05
"475.2894 / 8.31",4.5752,1.5171,2.4262e-05,4.162e-05
"510.2548 / 6.94",4.5746,1.4414,2.4262e-05,4.162e-05
"623.3002 / 10.29  MNa-2H-",4.5739,1.3152,2.5045e-05,4.2031e-05
"366.1776 / 8.49",4.5735,1.4323,2.5045e-05,4.2031e-05
"565.2585 / 11.79",4.5722,1.4839,2.5045e-05,4.2031e-05
"525.6123 / 18.97  M3H3",4.5721,1.4441,2.5045e-05,4.2031e-05
"365.6734 / 3.80",4.5717,1.3893,2.5045e-05,4.2031e-05
"487.2434 / 7.19",4.5715,1.3919,2.5045e-05,4.2031e-05
"617.2777 / 10.98",4.5712,1.5077,2.5045e-05,4.2031e-05
"425.1851 / 12.20",4.5711,1.6022,2.5045e-05,4.2031e-05
"504.6172 / 19.07",4.5708,1.2714,2.5045e-05,4.2031e-05
"586.2863 / 17.12",4.5707,1.285,2.5045e-05,4.2031e-05
"401.7271 / 11.45",4.5707,1.4692,2.5045e-05,4.2031e-05
"374.1895 / 7.19  M3H3",4.5703,1.4663,2.5045e-05,4.2031e-05
"540.0384 / 18.76",4.5702,1.3351,2.5045e-05,4.2031e-05
"543.2843 / 16.92",4.5701,1.4274,2.5045e-05,4.2031e-05
"870.4003 / 16.08",4.5701,1.4308,2.5045e-05,4.2031e-05
"492.2471 / 12.70",4.57,1.3194,2.5045e-05,4.2031e-05
"469.1937 / 5.23",4.5699,1.5914,2.5045e-05,4.2031e-05
"597.2664 / 15.45",4.5697,1.2919,2.5045e-05,4.2031e-05
"551.5344 / 18.81",4.5695,1.6334,2.5045e-05,4.2031e-05
"524.2347 / 7.55",4.5694,1.5825,2.5045e-05,4.2031e-05
"598.2629 / 14.63",4.5691,1.4118,2.5045e-05,4.2031e-05
"446.2606 / 10.61",4.5682,1.6127,2.5045e-05,4.2031e-05
"400.2423 / 16.06  M3H3",4.5681,1.5176,2.5045e-05,4.2031e-05
"385.2543 / 9.92",4.5681,1.6868,2.5045e-05,4.2031e-05
"392.1818 / 15.74",4.5679,1.5859,2.5045e-05,4.2031e-05
"498.3297 / 19.22",4.5674,1.5205,2.5045e-05,4.2031e-05
"323.1339 / 11.39  MNa",4.5673,1.4359,2.5045e-05,4.2031e-05
"481.1961 / 12.47  MNa-2H-",4.5665,1.4361,2.5045e-05,4.2031e-05
"679.3653 / 16.08",4.5651,1.4536,2.5045e-05,4.2031e-05
"487.3139 / 18.04",4.5644,1.4954,2.5045e-05,4.2031e-05
"183.1128 / 6.86  MH",4.5643,1.5748,2.5045e-05,4.2031e-05
"270.1932 / 9.68",4.5641,1.417,2.5045e-05,4.2031e-05
"548.2971 / 14.27",4.5639,1.4676,2.5045e-05,4.2031e-05
"466.2282 / 15.33",4.5639,1.3046,2.5045e-05,4.2031e-05
"532.2726 / 2.74",4.5639,1.5642,2.5045e-05,4.2031e-05
"751.6823 / 19.38",4.5637,1.4094,2.5045e-05,4.2031e-05
"493.7494 / 2.73",4.5636,1.7422,2.5045e-05,4.2031e-05
"513.7532 / 9.02",4.5631,1.3283,2.5045e-05,4.2031e-05
"442.1273 / 9.51  MNa-2H-",4.5623,1.6569,2.5045e-05,4.2031e-05
"893.3888 / 21.09",4.562,1.4897,2.5045e-05,4.2031e-05
"440.7501 / 16.10",4.5619,1.5565,2.5045e-05,4.2031e-05
"357.2144 / 5.33",4.5615,1.5425,2.5045e-05,4.2031e-05
"539.2446 / 7.76",4.5615,1.4039,2.5045e-05,4.2031e-05
"500.2717 / 8.30  M-H-",4.5614,1.6849,2.5045e-05,4.2031e-05
"594.7678 / 20.02  M2H2",4.5613,1.4952,2.5045e-05,4.2031e-05
"536.2452 / 6.68  MNa",4.5612,1.5709,2.5045e-05,4.2031e-05
"835.3902 / 12.10",4.561,1.4558,2.5045e-05,4.2031e-05
"338.1822 / 4.54",4.5605,1.5608,2.5045e-05,4.2031e-05
"641.3651 / 14.53  MNH4",4.5604,1.6439,2.5045e-05,4.2031e-05
"644.2893 / 6.49",4.5604,1.5086,2.5045e-05,4.2031e-05
"358.1702 / 14.85",4.5603,1.3741,2.5828e-05,4.2179e-05
"538.2470 / 15.71  MNa-2H-",4.5601,1.5503,2.5828e-05,4.2179e-05
"403.2300 / 2.63  MNH4",4.5594,1.4322,2.5828e-05,4.2179e-05
"519.2760 / 16.50  M2H2",4.5586,1.5251,2.5828e-05,4.2179e-05
"735.3303 / 11.48",4.5584,1.4311,2.5828e-05,4.2179e-05
"425.7343 / 19.23",4.5575,1.2497,2.5828e-05,4.2179e-05
"493.2277 / 14.18",4.5575,1.4081,2.5828e-05,4.2179e-05
"924.4094 / 18.09  M-H-",4.5573,1.4979,2.5828e-05,4.2179e-05
"704.3360 / 13.58  M-2H2-",4.5567,1.423,2.5828e-05,4.2179e-05
"663.3416 / 13.82  MH",4.5566,1.4041,2.5828e-05,4.2179e-05
"463.2544 / 15.78",4.5549,1.6067,2.5828e-05,4.2179e-05
"590.3114 / 17.56  M2H2",4.5549,1.6656,2.5828e-05,4.2179e-05
"597.2936 / 16.78  MK-2H-",4.5547,1.3096,2.5828e-05,4.2179e-05
"692.3639 / 16.08  M3H3",4.5547,1.4756,2.5828e-05,4.2179e-05
"457.6912 / 14.08  M-2H2-",4.5538,1.5226,2.5828e-05,4.2179e-05
"819.4271 / 17.80  M-",4.5535,1.6529,2.5828e-05,4.2179e-05
"474.1827 / 4.12",4.5527,1.7067,2.5828e-05,4.2179e-05
"342.7073 / 11.54  M2H2",4.5523,1.611,2.5828e-05,4.2179e-05
"632.3404 / 17.82",4.5522,1.6846,2.5828e-05,4.2179e-05
"508.2868 / 8.09",4.5519,1.5814,2.5828e-05,4.2179e-05
"359.1910 / 2.16",4.5517,1.5659,2.5828e-05,4.2179e-05
"478.2301 / 11.07",4.5516,1.4992,2.5828e-05,4.2179e-05
"597.2925 / 18.56  M-2H2-",4.5512,1.3122,2.5828e-05,4.2179e-05
"414.1985 / 9.35",4.5505,1.4493,2.5828e-05,4.2179e-05
"564.2697 / 11.06",4.5501,1.4974,2.5828e-05,4.2179e-05
"689.3232 / 7.86  MNa-2H-",4.55,1.5089,2.5828e-05,4.2179e-05
"410.1563 / 6.00",4.55,1.6172,2.5828e-05,4.2179e-05
"451.2770 / 2.73",4.5498,1.5622,2.5828e-05,4.2179e-05
"520.2555 / 13.87",4.549,1.3752,2.5828e-05,4.2179e-05
"774.3820 / 14.45",4.5489,1.4733,2.5828e-05,4.2179e-05
"518.2603 / 13.52",4.5488,1.6177,2.5828e-05,4.2179e-05
"613.2937 / 3.63",4.5488,1.3334,2.5828e-05,4.2179e-05
"835.3199 / 14.40  2MH",4.5487,1.2821,2.5828e-05,4.2179e-05
"456.7499 / 8.51  M2H2",4.5483,1.6207,2.5828e-05,4.2179e-05
"390.2087 / 13.94",4.5478,1.4644,2.5828e-05,4.2179e-05
"598.2822 / 14.02",4.5475,1.4436,2.5828e-05,4.2179e-05
"739.3635 / 18.62",4.5475,1.4634,2.5828e-05,4.2179e-05
"334.1364 / 12.89  M-H-",4.5473,1.5324,2.5828e-05,4.2179e-05
"479.2137 / 11.63  3M-H-",4.547,1.4247,2.5828e-05,4.2179e-05
"530.3057 / 12.25  M2H2",4.546,1.4401,2.5828e-05,4.2179e-05
"345.2142 / 8.01  MNH4",4.546,1.7928,2.5828e-05,4.2179e-05
"159.9998 / 1.04",4.546,0.66016,2.5828e-05,4.2179e-05
"370.0890 / 5.63",4.5459,1.4964,2.5828e-05,4.2179e-05
"444.2475 / 12.63",4.5459,1.6232,2.5828e-05,4.2179e-05
"187.1079 / 3.27",4.5458,1.3418,2.5828e-05,4.2179e-05
"672.4403 / 15.56",4.5452,1.5781,2.5828e-05,4.2179e-05
"626.3129 / 18.04",4.545,1.4949,2.5828e-05,4.2179e-05
"477.2440 / 11.78  M2H2",4.5444,1.6265,2.5828e-05,4.2179e-05
"158.9959 / 1.06  MH",4.5441,0.60526,2.5828e-05,4.2179e-05
"458.3085 / 7.25",4.5439,1.6236,2.5828e-05,4.2179e-05
"532.2713 / 8.65",4.5429,1.4671,2.5828e-05,4.2179e-05
"498.7285 / 12.98  M2H2",4.5424,1.549,2.5828e-05,4.2179e-05
"727.3168 / 3.79",4.5424,1.4274,2.5828e-05,4.2179e-05
"591.3099 / 12.98",4.5424,1.5436,2.5828e-05,4.2179e-05
"267.9368 / 8.76",4.5422,1.8393,2.5828e-05,4.2179e-05
"678.3197 / 2.42",4.5417,1.1884,2.5828e-05,4.2179e-05
"260.0240 / 9.56",4.5409,1.9614,2.5828e-05,4.2179e-05
"401.2387 / 10.92",4.5407,1.5907,2.5828e-05,4.2179e-05
"506.2420 / 14.35  M-2H2-",4.5406,1.3472,2.5828e-05,4.2179e-05
"774.3104 / 19.23  MNa-2H-",4.5404,1.2959,2.5828e-05,4.2179e-05
"514.7950 / 16.19  M2H2",4.5404,1.5884,2.5828e-05,4.2179e-05
"286.1511 / 1.93",4.5404,0.69516,2.5828e-05,4.2179e-05
"380.1991 / 10.50  M2H2",4.5396,1.5958,2.5828e-05,4.2179e-05
"606.2888 / 15.04",4.5382,1.4929,2.5828e-05,4.2179e-05
"620.2670 / 9.93",4.5373,1.5297,2.661e-05,4.3118e-05
"650.3502 / 10.14",4.5372,1.3662,2.661e-05,4.3118e-05
"612.2113 / 13.56  MNa",4.5358,1.6278,2.661e-05,4.3118e-05
"473.2737 / 8.31  M-H-",4.5351,1.5095,2.661e-05,4.3118e-05
"610.2592 / 17.29  M-2H2-",4.535,1.4024,2.661e-05,4.3118e-05
"857.3948 / 11.06  2MNa-2H-",4.535,1.3442,2.661e-05,4.3118e-05
"366.1655 / 5.99",4.5345,1.5324,2.661e-05,4.3118e-05
"365.7104 / 5.55",4.5342,1.6187,2.661e-05,4.3118e-05
"288.2035 / 1.57",4.5332,1.3651,2.661e-05,4.3118e-05
"448.7155 / 12.53  M2H2",4.5329,1.5934,2.661e-05,4.3118e-05
"322.1007 / 3.50  MNa-2H-",4.5329,1.5009,2.661e-05,4.3118e-05
"640.2648 / 19.90  MNa-2H-",4.5329,1.3972,2.661e-05,4.3118e-05
"839.3769 / 15.84  MNa-2H-",4.5324,1.382,2.661e-05,4.3118e-05
"677.3533 / 16.07",4.5308,1.422,2.661e-05,4.3118e-05
"785.2771 / 19.76",4.5302,1.2532,2.661e-05,4.3118e-05
"657.3100 / 12.14  MK-2H-",4.5302,1.4663,2.661e-05,4.3118e-05
"180.9745 / 0.35  MK",4.5302,0.37042,2.661e-05,4.3118e-05
"460.2770 / 12.69",4.5297,1.6796,2.661e-05,4.3118e-05
"804.9113 / 19.65  M-2H2-",4.5292,1.4128,2.7393e-05,4.3722e-05
"537.3036 / 2.15",4.5284,1.5818,2.7393e-05,4.3722e-05
"772.3838 / 12.50",4.5277,1.4371,2.7393e-05,4.3722e-05
"490.2645 / 13.53  MH",4.5277,1.5063,2.7393e-05,4.3722e-05
"562.2889 / 17.42",4.5272,1.4815,2.7393e-05,4.3722e-05
"423.2337 / 3.47",4.527,1.4524,2.7393e-05,4.3722e-05
"461.2412 / 16.60",4.5257,1.3421,2.7393e-05,4.3722e-05
"474.2743 / 3.61  MH",4.5249,1.5365,2.7393e-05,4.3722e-05
"718.3048 / 14.73",4.5248,1.5024,2.7393e-05,4.3722e-05
"407.2269 / 13.56",4.524,1.5961,2.7393e-05,4.3722e-05
"556.2414 / 16.91",4.5236,1.5576,2.7393e-05,4.3722e-05
"519.2476 / 14.35  MHNa2",4.5234,1.3212,2.7393e-05,4.3722e-05
"454.2061 / 14.55  M3H3",4.5234,1.5195,2.7393e-05,4.3722e-05
"517.2665 / 15.74",4.5231,1.4748,2.7393e-05,4.3722e-05
"811.3950 / 19.56",4.5229,1.4381,2.7393e-05,4.3722e-05
"201.1234 / 8.56",4.5228,1.637,2.7393e-05,4.3722e-05
"336.1554 / 5.20",4.5228,1.4051,2.7393e-05,4.3722e-05
"935.4247 / 19.98",4.5222,1.3156,2.7393e-05,4.3722e-05
"811.4449 / 10.79",4.5216,1.4787,2.7393e-05,4.3722e-05
"343.1977 / 6.72",4.5215,1.4816,2.7393e-05,4.3722e-05
"537.7953 / 14.89  M2H2",4.5215,1.5594,2.7393e-05,4.3722e-05
"499.7214 / 11.12  MHNa2",4.5209,1.5048,2.7393e-05,4.3722e-05
"476.7434 / 17.49  M2NH42",4.5207,1.5757,2.7393e-05,4.3722e-05
"116.9854 / 1.03",4.5206,0.57774,2.7393e-05,4.3722e-05
"892.4486 / 18.63  M-2H2-",4.5195,1.3442,2.7393e-05,4.3722e-05
"576.3065 / 16.56  MH",4.5191,1.586,2.7393e-05,4.3722e-05
"516.2651 / 15.71  M-H-",4.5186,1.73,2.7393e-05,4.3722e-05
"622.2975 / 11.06",4.5186,1.6565,2.7393e-05,4.3722e-05
"527.3188 / 10.36  MNH4",4.518,1.5842,2.7393e-05,4.3722e-05
"916.4855 / 10.64",4.5174,1.4134,2.7393e-05,4.3722e-05
"481.2260 / 13.07  M2H2",4.5173,1.594,2.7393e-05,4.3722e-05
"470.2239 / 12.53",4.517,1.4215,2.7393e-05,4.3722e-05
"701.3585 / 11.85",4.517,1.5445,2.7393e-05,4.3722e-05
"513.2342 / 17.69",4.5169,1.419,2.7393e-05,4.3722e-05
"457.7416 / 16.98  M2H2",4.5163,1.5604,2.7393e-05,4.3722e-05
"465.2708 / 17.20",4.5161,1.6799,2.7393e-05,4.3722e-05
"302.1705 / 2.60  M-H-",4.5161,1.5864,2.7393e-05,4.3722e-05
"86.0963 / 6.81",4.5154,1.7047,2.8176e-05,4.415e-05
"508.3117 / 18.27  M2H2",4.5153,1.4259,2.8176e-05,4.415e-05
"414.2335 / 4.63  M-H-",4.5148,1.6291,2.8176e-05,4.415e-05
"686.3715 / 13.27",4.5143,1.4704,2.8176e-05,4.415e-05
"451.2515 / 12.54  MNa",4.5143,1.8276,2.8176e-05,4.415e-05
"764.2818 / 14.95",4.513,1.2027,2.8176e-05,4.415e-05
"735.3861 / 11.29",4.5128,1.4066,2.8176e-05,4.415e-05
"435.2230 / 13.71",4.5126,1.4758,2.8176e-05,4.415e-05
"537.7815 / 10.58",4.5122,1.4334,2.8176e-05,4.415e-05
"352.1932 / 11.04",4.5108,1.4704,2.8176e-05,4.415e-05
"658.3516 / 20.28  M2H2",4.5106,0.53969,2.8176e-05,4.415e-05
"348.0697 / 5.77  MNa-2H-",4.5106,2.1946,2.8176e-05,4.415e-05
"580.6549 / 17.74  M3H3",4.5106,1.4566,2.8176e-05,4.415e-05
"877.4592 / 16.31",4.5102,1.3448,2.8176e-05,4.415e-05
"517.7692 / 11.34  M2H2",4.5101,1.5524,2.8176e-05,4.415e-05
"451.1949 / 10.42",4.51,1.5026,2.8176e-05,4.415e-05
"388.1788 / 11.28",4.51,1.3769,2.8176e-05,4.415e-05
"453.7212 / 8.60  M2Na2",4.5099,1.575,2.8176e-05,4.415e-05
"330.2372 / 11.05",4.5096,1.5423,2.8176e-05,4.415e-05
"424.2153 / 6.84",4.5095,1.4657,2.8176e-05,4.415e-05
"655.3403 / 13.99",4.5092,1.554,2.8176e-05,4.415e-05
"684.3904 / 19.73",4.5088,1.2971,2.8176e-05,4.415e-05
"526.2990 / 12.11",4.5084,1.5337,2.8176e-05,4.415e-05
"495.1810 / 3.14",4.5084,1.7208,2.8176e-05,4.415e-05
"744.4231 / 4.47",4.5081,1.5704,2.8176e-05,4.415e-05
"681.3059 / 12.13  MNa",4.5074,1.2294,2.8176e-05,4.415e-05
"360.1393 / 12.13",4.5068,1.3716,2.8176e-05,4.415e-05
"476.2141 / 5.73",4.5062,1.7694,2.8176e-05,4.415e-05
"374.1705 / 18.91  M-H-",4.5061,1.722,2.8176e-05,4.415e-05
"528.2284 / 12.13",4.5059,1.4254,2.8176e-05,4.415e-05
"458.2607 / 5.94",4.5057,1.5754,2.8176e-05,4.415e-05
"813.3887 / 14.06",4.5057,1.4905,2.8176e-05,4.415e-05
"479.7829 / 11.64",4.5054,1.3085,2.8176e-05,4.415e-05
"581.2750 / 19.01",4.5039,1.4463,2.8176e-05,4.415e-05
"529.2619 / 10.67",4.5024,1.5072,2.8176e-05,4.415e-05
"458.2601 / 12.69",4.5011,1.5721,2.8176e-05,4.415e-05
"716.8455 / 19.59",4.5004,1.3398,2.8176e-05,4.415e-05
"439.2174 / 17.74",4.5003,1.3734,2.8176e-05,4.415e-05
"382.1952 / 11.40",4.4994,1.6139,2.8176e-05,4.415e-05
"407.1939 / 9.56  M-H-",4.4989,1.5239,2.8176e-05,4.415e-05
"543.9509 / 19.93  M3H3",4.4987,1.2732,2.8176e-05,4.415e-05
"938.4429 / 17.77  MNa-2H-",4.4976,1.3648,2.8176e-05,4.415e-05
"726.3780 / 19.78  MNa",4.4976,1.5916,2.8176e-05,4.415e-05
"525.2014 / 11.70  M-H-",4.4975,1.4813,2.8176e-05,4.415e-05
"739.3627 / 14.83  M-H-",4.495,1.3019,2.8958e-05,4.415e-05
"417.1944 / 13.07",4.4944,1.7978,2.8958e-05,4.415e-05
"600.3253 / 14.76  M2H2",4.4943,1.4563,2.8958e-05,4.415e-05
"494.2608 / 19.58",4.4939,1.384,2.8958e-05,4.415e-05
"566.2924 / 6.91  M-H-",4.4939,1.6255,2.8958e-05,4.415e-05
"447.2246 / 10.99  MHNa2",4.493,1.4571,2.8958e-05,4.415e-05
"916.3691 / 17.18",4.4929,1.4383,2.8958e-05,4.415e-05
"519.1917 / 14.30",4.4927,1.3453,2.8958e-05,4.415e-05
"681.3093 / 16.17",4.4926,1.5439,2.8958e-05,4.415e-05
