"","MeanDecreaseAccuracy"
"688.3523 / 16.16  MFA-H-",2e-04
"684.4405 / 2.42",2e-04
"661.3564 / 16.98",2e-04
"535.2089 / 17.61",2e-04
"381.1034 / 14.11  2MNa-2H-",2e-04
"347.0402 / 2.47",2e-04
"305.0240 / 12.92  M-H-",2e-04
"292.9922 / 0.26",2e-04
"218.0067 / 30.68",2e-04
"141.0172 / 2.65",2e-04
"129.0551 / 5.78  M-H-",2e-04
"107.0494 / 8.81",2e-04
"103.9202 / 29.17",2e-04
"103.9201 / 8.50",2e-04
"925.0198 / 1.33  M",2e-04
"84.0808 / 1.00",2e-04
"83.0489 / 6.41",2e-04
"738.3874 / 8.40",2e-04
"608.8261 / 2.58",2e-04
"591.2929 / 15.23  2MNa",2e-04
"590.3114 / 17.56  M2H2",2e-04
"584.9764 / 1.17",2e-04
"582.3363 / 20.57",2e-04
"570.7836 / 12.15  M2H2",2e-04
"539.2790 / 9.73  MNa",2e-04
"504.3168 / 18.91  M2H2",2e-04
"504.3163 / 13.79",2e-04
"485.2593 / 19.56",2e-04
"463.2558 / 12.00",2e-04
"443.2406 / 10.91  M2H2",2e-04
"419.2796 / 23.22",2e-04
"334.1395 / 4.57  MCH3OHH",2e-04
"324.0593 / 7.59",2e-04
"320.1819 / 2.26",2e-04
"299.0772 / 0.82",2e-04
"274.0974 / 14.14",2e-04
"266.1027 / 2.44  MH",2e-04
"211.1446 / 15.87",2e-04
"211.1069 / 6.75",2e-04
"211.0729 / 6.75",2e-04
"184.0968 / 11.16",2e-04
"160.1332 / 1.59",2e-04
"154.0697 / 5.78",2e-04
"147.0443 / 2.13  MCH3OHH",2e-04
"119.0488 / 6.66",2e-04
"961.0494 / 23.37  2MNa-2H-",0.00018182
"832.8993 / 19.70",0.00018182
"715.0408 / 25.25",0.00018182
"673.3228 / 19.64",0.00018182
"619.3126 / 16.21",0.00018182
"611.2784 / 3.61  M-H-",0.00018182
"583.2517 / 14.57  M-2H2-",0.00018182
"581.2950 / 9.83",0.00018182
"568.3086 / 1.75",0.00018182
"551.2817 / 19.29  M-H-",0.00018182
"491.1786 / 2.60",0.00018182
"431.9379 / 8.96",0.00018182
"382.0999 / 9.84",0.00018182
"379.0028 / 1.08  MTFA-H-",0.00018182
"374.9924 / 28.02",0.00018182
"349.0732 / 1.53",0.00018182
"332.9518 / 2.05  MNa-2H-",0.00018182
"317.1119 / 3.21",0.00018182
"311.2957 / 24.76",0.00018182
"309.1338 / 21.21  MAcO-H-",0.00018182
"309.1085 / 2.70",0.00018182
"278.1253 / 1.60",0.00018182
"263.0878 / 1.59",0.00018182
"243.8824 / 8.11",0.00018182
"151.0395 / 8.81  M-H-",0.00018182
"675.4230 / 24.62",0.00018182
"609.3231 / 15.91  MNH4",0.00018182
"607.3201 / 18.51",0.00018182
"601.0911 / 1.26",0.00018182
"558.2505 / 12.39  M2H2",0.00018182
"531.2912 / 16.95",0.00018182
"519.2774 / 24.31",0.00018182
"491.2370 / 23.96",0.00018182
"490.2645 / 13.53  MH",0.00018182
"451.2298 / 7.89",0.00018182
"444.2831 / 9.81",0.00018182
"442.1625 / 19.05  MNa",0.00018182
"420.2332 / 12.46",0.00018182
"415.2203 / 13.02",0.00018182
"390.2087 / 13.94",0.00018182
"381.2992 / 24.04",0.00018182
"378.1700 / 9.76",0.00018182
"357.2144 / 5.33",0.00018182
"355.2757 / 24.31",0.00018182
"338.1941 / 2.63",0.00018182
"315.1205 / 22.10",0.00018182
"313.2749 / 23.66  MH",0.00018182
"303.2341 / 22.93",0.00018182
"300.2172 / 17.92",0.00018182
"297.0834 / 28.48",0.00018182
