"","Overall"
"126.9036 / 3.24",20.958
"635.3047 / 17.17",20.957
"416.2148 / 3.32",20.955
"274.0921 / 15.56",20.949
"144.0807 / 4.25",20.948
"421.7212 / 13.26  M2H2",20.947
"359.2280 / 10.71",20.946
"476.2141 / 5.73",20.933
"469.0267 / 30.17",20.933
"701.3832 / 14.28",20.927
"625.3155 / 10.35  MNa",20.926
"428.2124 / 5.71",20.924
"467.1613 / 22.62",20.923
"187.1087 / 4.74",20.923
"529.2619 / 15.89",20.923
"702.3788 / 1.94",20.922
"777.3873 / 12.14  MH",20.921
"488.2454 / 3.47",20.919
"114.9483 / 3.95",20.917
"352.2118 / 4.12",20.912
"352.1485 / 6.05",20.9
"628.3664 / 16.56",20.898
"493.2651 / 16.50",20.893
"178.0517 / 9.02",20.893
"412.1821 / 8.48",20.892
"523.9455 / 16.10",20.888
"302.1961 / 6.62",20.887
"254.0647 / 2.33",20.885
"223.0207 / 12.84",20.884
"220.9684 / 19.05",20.881
"668.9085 / 21.62",20.873
"354.7007 / 11.45",20.87
"231.9678 / 0.09  M-H-",20.869
"692.3639 / 16.08  M3H3",20.869
"416.2495 / 4.63",20.866
"752.0185 / 19.38",20.863
"419.2001 / 8.48  MNa-2H-",20.857
"661.3566 / 18.15",20.856
"514.7950 / 16.19  M2H2",20.853
"513.2346 / 15.45  MNa-2H-",20.846
"344.9846 / 10.67",20.838
"347.1930 / 2.70  MNH4",20.837
"167.9851 / 19.10  M-H-",20.835
"223.1557 / 8.36",20.835
"564.2857 / 17.13",20.833
"440.2972 / 8.76",20.831
"487.2382 / 13.97",20.83
"388.1167 / 10.19  M-H-",20.83
"359.1338 / 3.72  MNa",20.828
"447.2453 / 13.32  MH",20.827
"461.2506 / 2.60",20.826
"923.3999 / 16.63",20.826
"371.2286 / 8.84",20.825
"423.1893 / 5.87",20.824
"403.1965 / 14.00  M-H-",20.821
"642.3452 / 15.87  M-H-",20.82
"316.0968 / 4.81  MK",20.82
"365.1355 / 2.58",20.82
"282.1709 / 13.17",20.815
"681.4405 / 2.45",20.815
"525.2168 / 19.10  M-2H2-",20.813
"478.1313 / 5.78",20.812
"132.0809 / 4.22",20.808
"145.0976 / 1.12",20.805
"491.2307 / 5.46",20.804
"310.2022 / 17.69",20.802
"591.2238 / 2.54",20.802
"533.9499 / 9.38",20.801
"167.0896 / 2.74",20.8
"115.9210 / 12.91",20.8
"484.2767 / 9.54",20.798
"318.1661 / 3.27",20.795
"426.2339 / 6.57  M-H2O-H-",20.793
"475.2405 / 8.40  MCH3OHH",20.793
"149.0587 / 2.74",20.792
"907.4559 / 18.54  M-2H2-",20.791
"538.2630 / 14.11  M2H2",20.789
"467.2504 / 14.84",20.784
"347.9444 / 0.20",20.783
"481.2622 / 13.87",20.782
"546.2963 / 19.53  M-2H2-",20.78
"437.2279 / 12.88  M3H3",20.775
"909.4773 / 18.52",20.774
"500.2646 / 8.98  M3H3",20.771
"80.0492 / 4.14",20.765
"129.1021 / 1.04",20.763
"364.1870 / 13.14",20.763
"580.7930 / 16.88  M2H2",20.759
"276.1356 / 4.84",20.759
"301.1415 / 26.76",20.756
"219.9778 / 28.98",20.756
"347.9456 / 30.12",20.756
"732.3232 / 16.55  M-2H2-",20.755
"451.2294 / 6.89",20.755
"446.2010 / 4.91",20.751
"709.3324 / 20.46  3M2Na-3H-",20.746
"223.0587 / 12.64",20.746
"143.0187 / 8.20  MH",20.743
"338.9681 / 18.06",20.741
"469.2650 / 21.69  M2HNa3",20.739
"591.4167 / 10.98",20.736
"256.9651 / 10.85",20.735
"426.6906 / 15.20",20.735
"643.3405 / 7.67",20.726
"377.1806 / 9.82",20.72
"159.1124 / 3.31",20.719
"116.9287 / 5.05",20.717
"535.2289 / 17.21  MHNa2",20.711
"344.9848 / 13.23",20.71
"979.5921 / 19.20  M-H-",20.706
"181.0695 / 2.16",20.705
"107.0490 / 22.30",20.705
"295.1300 / 3.02  MNH4",20.704
"547.2772 / 18.66  M2Na2",20.703
"772.3963 / 7.49  M-H-",20.702
"586.3199 / 10.94  M-H-",20.702
"938.3887 / 20.52",20.695
"280.0281 / 2.75",20.694
"486.2577 / 4.89",20.692
"253.1195 / 2.92  MNH4",20.692
"717.8270 / 14.55  M-2H2-",20.689
"892.4486 / 18.63  M-2H2-",20.689
"520.2977 / 9.86  MCH3OHH",20.684
"103.9201 / 2.39",20.683
"758.9290 / 21.84",20.681
"918.4466 / 18.54  M-2H2-",20.679
"345.9882 / 23.52",20.674
"149.0240 / 8.82",20.67
"443.6932 / 5.65",20.669
"792.4392 / 21.57",20.669
"670.8783 / 21.65",20.668
"578.3227 / 8.04",20.663
"249.9794 / 14.86  MAcO-H-",20.662
"643.7177 / 22.16",20.661
"343.0672 / 9.08",20.661
"519.9486 / 14.53  M3H3",20.659
"551.2817 / 19.29  M-H-",20.659
"438.7251 / 2.61",20.658
"265.1565 / 6.29  MH",20.658
"539.3028 / 18.66",20.655
"184.0734 / 1.45  MH",20.651
"542.2667 / 21.08",20.644
"462.2016 / 7.37",20.643
"436.2214 / 9.02  M2H2",20.641
"753.3889 / 12.12",20.64
"544.2974 / 17.40",20.639
"387.2237 / 6.24  M-H-",20.635
"380.1955 / 11.40",20.631
"595.2361 / 8.42",20.631
"506.2286 / 4.10",20.629
"175.1197 / 1.43  MH",20.628
"451.2185 / 14.12",20.625
"332.2191 / 4.45  MCH3OHH",20.624
"203.0822 / 4.30  M-H-",20.62
"873.0263 / 1.26",20.619
"345.1766 / 2.19",20.605
"801.3629 / 15.49  M-H-",20.603
"296.0073 / 21.56",20.599
"735.3270 / 9.84  MNa-2H-",20.599
"405.2135 / 13.55",20.599
"584.3261 / 9.29",20.596
"392.2332 / 9.33",20.588
"458.2543 / 14.65",20.582
"183.0846 / 2.10  MNH4",20.582
"888.3795 / 11.29",20.58
"622.3259 / 16.72",20.578
"481.2282 / 11.61",20.577
"363.1220 / 16.93",20.574
"426.2070 / 13.99",20.574
"636.3220 / 19.07",20.574
"183.1128 / 6.86  MH",20.573
"480.2817 / 9.26",20.571
"355.0835 / 1.22",20.571
"752.5576 / 26.13",20.57
"615.3095 / 8.43  M-H-",20.57
"354.1215 / 14.14  MNa",20.561
"284.1129 / 8.28",20.559
"410.1544 / 7.02",20.555
"361.2081 / 2.76",20.553
"230.0404 / 2.39",20.551
"663.3166 / 17.54",20.55
"297.0833 / 17.56",20.549
"230.1140 / 3.47",20.547
"496.2796 / 10.64  M3H3",20.546
"450.8990 / 11.01",20.545
"508.2509 / 7.64",20.542
"831.4240 / 19.04  MNa-2H-",20.542
"241.1184 / 2.73  M-H2O-H-",20.542
"557.7431 / 19.27",20.54
"676.2969 / 18.78  M-H-",20.536
"412.2187 / 6.08",20.536
"389.2405 / 1.57",20.534
"508.9910 / 1.27",20.528
"405.2497 / 22.58  M-H-",20.526
"118.0645 / 4.27",20.521
"219.0837 / 1.40  MCH3OHH",20.52
"267.1338 / 2.41  MH",20.518
"484.2403 / 4.82  M-H-",20.516
"326.1719 / 9.32  M-H2O-H-",20.512
"314.2069 / 12.29",20.51
"353.9608 / 12.47",20.509
"531.2958 / 3.91",20.509
"101.0078 / 11.17",20.508
"285.0628 / 2.58",20.508
"205.0979 / 4.28  MNH4",20.508
"433.2291 / 5.27  MH",20.503
"443.2406 / 10.91  M2H2",20.503
"619.2936 / 18.50",20.501
"735.3169 / 18.94  M-2H2-",20.501
"147.9465 / 8.44  M-H-",20.498
"325.1856 / 26.84",20.496
"321.0596 / 6.82",20.495
"501.2664 / 9.02",20.492
"241.1162 / 1.77",20.484
"838.2826 / 20.14  MNa-2H-",20.482
"394.1102 / 9.89",20.482
"580.2965 / 14.16",20.48
"434.1729 / 20.36",20.479
"423.6887 / 12.26",20.477
"728.4651 / 3.38",20.475
"556.2724 / 4.72",20.474
"587.3024 / 15.99  M-H-",20.473
"427.2550 / 15.30",20.47
"500.2779 / 13.59",20.468
"239.0294 / 18.60",20.464
"490.1937 / 10.46  M-H-",20.459
"429.2345 / 7.91",20.459
"672.2691 / 18.79  M-H-",20.457
"317.1648 / 13.49",20.449
"816.4599 / 19.76  MH",20.444
"599.3488 / 8.21",20.438
"681.2908 / 17.20",20.438
"86.0964 / 3.05",20.437
"477.6866 / 15.70  M-H-",20.436
"358.7017 / 8.33",20.432
"237.0883 / 4.48  MNH4",20.431
"149.0202 / 18.59",20.426
"363.1657 / 5.72  M2",20.412
"460.2188 / 9.86",20.411
"570.3123 / 19.95  M-H-",20.406
"542.7964 / 18.84",20.406
"541.2642 / 20.96  MAcO-H-",20.402
"490.2673 / 5.24",20.399
"766.3452 / 19.17  M-H-",20.389
"428.2505 / 9.03",20.388
"321.1068 / 10.29  MNa-2H-",20.385
"458.3097 / 5.68",20.378
"670.3763 / 21.65",20.378
"121.0288 / 11.70  M-H-",20.376
"189.0741 / 4.42  MH",20.375
"159.1129 / 5.42",20.374
"454.1626 / 15.64",20.371
"430.2029 / 3.05",20.371
"523.7707 / 14.11",20.365
"542.2927 / 8.48",20.365
"380.1914 / 6.34",20.362
"319.1413 / 4.61  MNH4",20.36
"347.9437 / 31.24",20.35
"227.0785 / 4.28  MH",20.348
"287.1720 / 2.61",20.346
"292.1286 / 4.23  M-H-",20.346
"450.2561 / 19.06",20.345
"527.2748 / 15.96  M2H2",20.343
"398.1679 / 12.07",20.343
"191.0453 / 2.02  MH",20.342
"546.2903 / 2.09  MCH3OHH",20.337
"263.6600 / 1.01",20.333
"917.4780 / 10.62",20.332
"371.2372 / 8.12",20.332
"303.1555 / 22.62  MNa",20.33
"453.2115 / 10.42  M2H2",20.329
"334.1761 / 14.38",20.327
"588.3178 / 16.08",20.327
"385.2543 / 9.92",20.326
"336.1194 / 5.04",20.322
"223.0213 / 20.02  M-H-",20.317
"304.1293 / 5.16",20.315
"527.3186 / 14.52",20.315
"413.8867 / 14.40  M3H3",20.308
"343.1977 / 3.54",20.304
"539.4310 / 24.08",20.302
"110.0603 / 7.31",20.302
"896.4568 / 19.85  MNa",20.3
"555.3120 / 10.52",20.297
"514.9946 / 28.02  MNH4",20.295
"299.0063 / 0.43",20.295
"249.9804 / 10.13  MAcO-H-",20.287
"378.2062 / 12.14  M2H2",20.283
"460.2047 / 12.85",20.281
"512.7301 / 13.29  M2H2",20.28
"359.1266 / 19.24  M-H-",20.28
"518.2822 / 10.97",20.279
"512.2477 / 18.63",20.277
"406.1489 / 16.28",20.275
"352.1498 / 3.95  MAcO-H-",20.273
"346.2228 / 9.12",20.272
"397.6993 / 20.02",20.271
"84.0443 / 10.59",20.27
"463.7132 / 16.59",20.268
"268.9986 / 9.85",20.268
"466.6957 / 15.70  M-2H2-",20.266
"616.3541 / 19.21",20.265
"303.9009 / 9.20  MAcO-H-",20.264
"218.1399 / 2.12  MCH3OHH",20.263
"436.2332 / 10.99  M2H2",20.256
"516.3020 / 13.04",20.254
"637.2431 / 10.96  MNa-2H-",20.252
"889.4368 / 9.02  MNa-2H-",20.252
"325.1729 / 5.70  M-H-",20.25
"686.3013 / 15.50",20.249
"716.2917 / 13.27",20.247
"483.2059 / 20.44",20.247
"570.7836 / 12.15  M2H2",20.243
"515.2504 / 15.43",20.242
"304.1329 / 2.51",20.242
"268.9987 / 9.11",20.239
"233.9828 / 1.79",20.238
"487.2656 / 15.30",20.237
"309.1178 / 6.26",20.236
"311.1683 / 25.28",20.236
"337.6846 / 8.09",20.234
"398.2217 / 11.12",20.234
"528.2072 / 18.98",20.233
"339.1670 / 2.25",20.232
"783.3487 / 15.64  M-H2O-H-",20.226
"805.4463 / 13.65  M-H-",20.216
"465.7626 / 13.66  M2H2",20.213
"207.1102 / 11.22",20.211
"268.9365 / 10.93",20.209
"685.3250 / 13.79  MNa",20.202
"435.2657 / 6.36  M2H2",20.196
"599.2580 / 2.34",20.195
"563.3287 / 16.21",20.189
"962.4579 / 16.17",20.186
"546.7561 / 19.24  M2H2",20.185
"365.2138 / 7.34  M2H2",20.181
"341.1838 / 7.95  MH",20.18
"86.0965 / 8.05",20.174
"469.2405 / 7.08",20.173
"500.3560 / 9.91",20.17
"404.2208 / 8.05",20.169
"444.2922 / 2.73",20.168
"297.1276 / 8.79  MH",20.166
"431.2678 / 8.07",20.162
"472.2881 / 1.93",20.158
"573.2538 / 7.37",20.158
"371.2285 / 4.12",20.156
"490.2152 / 2.70  MH",20.155
"592.5482 / 19.04  M2H2",20.155
"489.2565 / 9.76",20.15
"217.1182 / 1.80",20.15
"340.6739 / 2.40  M2",20.149
"909.9769 / 18.52",20.148
"435.6989 / 21.11",20.144
"417.2060 / 13.12",20.143
"185.1658 / 3.40",20.142
"322.1877 / 10.04",20.137
"476.2725 / 4.93",20.136
"332.1833 / 3.76  MH",20.135
"590.2708 / 17.91  M2H2",20.131
"143.0192 / 12.62",20.131
"121.0165 / 1.05",20.129
"547.1974 / 19.10",20.129
"334.1761 / 9.95",20.129
"366.2032 / 9.02",20.125
"279.1715 / 10.12",20.124
"384.1809 / 6.21",20.122
"146.0603 / 4.28",20.122
"421.2554 / 7.94  MNH4",20.12
"493.2378 / 6.34",20.117
"320.1819 / 2.26",20.117
"317.1248 / 4.63",20.116
"369.2118 / 4.57",20.116
"585.2702 / 14.56  M2H2",20.112
"444.2083 / 2.60",20.109
"291.9918 / 10.16",20.108
"472.2051 / 11.02",20.108
"572.2676 / 8.90  M-H-",20.106
"965.5335 / 19.65  M-2H2-",20.103
"416.1415 / 5.83  MNa-2H-",20.101
"237.1346 / 7.98",20.097
"652.3762 / 16.61",20.096
"215.0504 / 22.27",20.096
"338.2005 / 11.44  M3H3",20.095
"315.6834 / 7.70",20.086
"540.3138 / 13.77  M-H-",20.083
"384.7162 / 7.12",20.074
"544.2997 / 12.68",20.074
"634.0406 / 21.47  M-",20.071
"286.1765 / 9.31",20.07
"643.2607 / 20.14",20.07
"218.9697 / 5.43",20.068
"362.0501 / 2.34",20.067
"659.2999 / 18.69  M2H2",20.064
"655.3047 / 2.16",20.061
"275.9955 / 6.41",20.061
"320.1233 / 7.05  MNH4",20.057
"543.3157 / 13.59  M-H-",20.057
"532.2171 / 20.36",20.046
"457.2029 / 5.30",20.045
"315.0930 / 6.40",20.037
"107.0488 / 2.78",20.034
"806.4019 / 14.47",20.032
"405.2144 / 10.22  M",20.028
"430.7148 / 2.73",20.028
"437.7404 / 19.85",20.027
"148.0471 / 2.09",20.023
"753.4254 / 11.79  M-H-",20.023
"956.3814 / 15.70  2M-H-",20.021
"775.3463 / 18.82  M-2H2-",20.021
"402.2360 / 6.78",20.019
"535.3093 / 13.63  M2",20.018
"205.9856 / 1.79",20.017
"117.9276 / 8.10",20.015
"81.0701 / 28.85",20.015
"374.9935 / 23.44",20.015
"614.8352 / 19.75  M2H2",20.013
"539.2904 / 19.17",20.006
"797.9062 / 9.28  M-2H2-",20.006
"402.1951 / 15.50",20.006
"476.7614 / 7.99  M2H2",20.006
"187.1084 / 1.70",20.005
"202.1079 / 13.14",20.004
"715.3397 / 12.00  MNa",20.004
"552.2280 / 10.98",20.002
"702.3676 / 6.61",19.999
"499.2033 / 14.72",19.997
"677.3462 / 20.08  M2H2",19.994
"360.2135 / 9.76",19.993
"287.0228 / 13.11",19.99
"174.9915 / 13.63",19.99
"509.3307 / 7.71  2MNa-2H-",19.988
"992.5265 / 19.51",19.988
"203.0328 / 18.24",19.984
"86.0965 / 5.68",19.983
"866.3332 / 12.27  MNa-2H-",19.971
"523.1521 / 22.51",19.97
"669.3542 / 7.89",19.97
"795.4370 / 18.17  M-H-",19.969
"335.1829 / 7.86",19.967
"615.8617 / 19.80  M2H2",19.967
"131.0493 / 2.80",19.964
"531.7399 / 14.10  M2H2",19.963
"536.2842 / 4.56",19.96
"469.1937 / 5.23",19.959
"262.0866 / 1.57",19.955
"415.7360 / 8.76",19.952
"436.0921 / 6.27",19.952
"189.9577 / 4.89  M-H-",19.952
"511.2478 / 5.20  MNa",19.951
"419.2359 / 11.69  M3H3",19.947
"670.3053 / 9.25",19.944
"145.0623 / 1.43",19.942
"692.3969 / 18.91",19.94
"152.0712 / 7.35  MH",19.94
"376.1511 / 10.27",19.94
"401.2760 / 13.85",19.933
"682.2886 / 7.68  M-",19.931
"678.3296 / 19.18",19.931
"343.2087 / 5.01",19.929
"458.2240 / 7.91",19.921
"683.8666 / 14.78  M2H2",19.918
"380.1453 / 4.88  M-H-",19.912
"470.2972 / 16.82",19.911
"223.0204 / 10.17  M-H-",19.91
"376.1538 / 6.28",19.909
"166.0586 / 2.12  MH",19.907
"528.2767 / 7.66",19.9
"698.3732 / 14.73",19.899
"471.1869 / 10.35",19.897
"259.0695 / 4.48",19.896
"743.4085 / 19.75",19.894
"605.1546 / 22.51",19.893
"671.3250 / 13.84  MFA-H-",19.892
"469.0303 / 18.60",19.891
"333.2387 / 7.15",19.889
"418.7313 / 15.90",19.888
"676.3719 / 12.49",19.888
"356.7053 / 10.66",19.885
"423.2236 / 2.15",19.878
"451.2669 / 11.29",19.878
"141.0165 / 17.35  M-H-",19.875
"866.4260 / 18.21  M3H3",19.874
"144.0622 / 2.39",19.87
"480.2090 / 5.57",19.868
"201.0262 / 7.16",19.868
"591.9929 / 1.28",19.865
"415.7210 / 5.81",19.863
"463.2550 / 17.20",19.863
"456.2800 / 10.36",19.862
"124.0754 / 5.20",19.859
"788.3287 / 19.20  MNa-2H-",19.856
"556.0007 / 21.97",19.855
"217.0826 / 3.21",19.854
"569.2960 / 1.78",19.851
"456.2447 / 8.25",19.85
"277.1444 / 22.51",19.849
"224.5640 / 20.62",19.849
"737.3216 / 11.96",19.849
"381.2793 / 23.13",19.848
"426.1709 / 9.89",19.848
"348.1771 / 2.48  MH",19.847
"435.9637 / 7.68  MBr-",19.844
"499.2278 / 22.68",19.843
"471.2077 / 2.64  MH",19.842
"528.3035 / 19.72",19.841
"332.1826 / 4.74",19.838
"606.3156 / 16.42",19.837
"285.1244 / 5.35  MNa",19.837
"846.3700 / 12.23  MH",19.836
"277.1219 / 2.71",19.831
"329.1829 / 2.18",19.83
"385.1584 / 22.62",19.826
"344.9848 / 14.73",19.82
"588.2746 / 6.91  MNa-2H-",19.817
"117.9276 / 30.68",19.813
"301.1410 / 6.66",19.812
"292.9917 / 14.29",19.811
"736.3514 / 15.01",19.81
"121.0841 / 2.80",19.81
"842.4453 / 14.70  M-H-",19.807
"439.2168 / 9.36  MNa",19.805
"236.9928 / 1.08  MAcO-H-",19.802
"467.1954 / 15.74",19.801
"461.2424 / 7.90",19.8
"736.3768 / 11.33",19.798
"201.0264 / 16.28",19.797
"207.9679 / 8.94  MAcO-H-",19.796
"568.3083 / 6.92",19.794
"560.3073 / 19.01  M-H-",19.789
"682.3049 / 10.94  M2H2",19.785
"534.5706 / 13.78  M3H3",19.783
"103.9201 / 3.36",19.782
"427.1112 / 10.60",19.776
"546.8065 / 3.81",19.773
"275.1407 / 12.64",19.772
"562.2981 / 16.62  M2H2",19.76
"402.7009 / 10.84  M2H2",19.759
"228.0770 / 10.71",19.757
"201.0258 / 30.71",19.757
"386.2046 / 11.84",19.753
"565.2577 / 14.25  MNa",19.751
"844.3514 / 12.27  M-H-",19.749
"497.2362 / 3.86",19.746
"385.2200 / 8.25",19.745
"490.2682 / 4.24",19.743
"955.0330 / 1.29",19.743
"373.2147 / 11.83",19.742
"509.1875 / 7.80",19.742
"752.3938 / 19.86  MNa-2H-",19.74
"379.2120 / 9.45  M3H3",19.737
"359.1931 / 2.73",19.736
"457.9965 / 22.29",19.736
"558.3402 / 8.59",19.736
"388.1861 / 20.14",19.733
"514.2296 / 15.23",19.728
"372.1663 / 7.60",19.727
"155.0452 / 1.99",19.727
"453.5062 / 16.56",19.726
"141.0168 / 31.73  M-H-",19.724
"500.7569 / 10.54",19.723
"608.3511 / 15.02  M3H3",19.721
"601.7452 / 19.73  M-2H2-",19.717
"346.1964 / 5.82",19.714
"319.0669 / 2.55",19.71
"377.1653 / 9.33  M2H2",19.704
"645.3232 / 15.23",19.704
"788.3206 / 13.49  M-H-",19.7
"91.0518 / 11.54",19.699
"803.3262 / 10.59  M-H-",19.697
"633.0347 / 12.48",19.693
"316.1504 / 3.80",19.693
"380.1783 / 13.04  MNa-2H-",19.692
"158.9976 / 16.65",19.69
"747.4083 / 11.89",19.689
"624.3465 / 13.87",19.688
"560.2772 / 14.81  MH",19.687
"174.0532 / 7.27  MNa",19.684
"503.1847 / 22.62",19.682
"585.3071 / 14.38  MHNH42",19.681
"580.2407 / 14.82  MNa-2H-",19.678
"421.1888 / 22.30",19.676
"664.3280 / 16.23",19.675
"632.3404 / 17.82",19.673
"633.0363 / 17.66  4M3Na-4H-",19.67
"755.0495 / 1.14  M-H-",19.668
"387.0258 / 7.05",19.668
"589.2840 / 7.43",19.667
"443.2497 / 14.03  M-H-",19.667
"605.2703 / 7.72  MNa",19.666
"449.2767 / 17.63",19.666
"446.2032 / 11.47  MH",19.665
"469.1938 / 2.69",19.66
"827.3518 / 6.63",19.657
"745.4142 / 19.78",19.656
"340.1857 / 13.68  M-H2O-H-",19.656
"229.1554 / 1.83",19.653
"592.7573 / 20.03  M-2H2-",19.651
"487.2881 / 11.19",19.635
"316.1869 / 3.66",19.63
"529.1927 / 9.85",19.625
"750.5407 / 26.15",19.619
"257.0562 / 4.46",19.619
"539.2336 / 12.81",19.617
"508.2727 / 12.86",19.616
"350.1751 / 8.89",19.615
"409.2084 / 6.65  MH",19.614
"496.2540 / 3.61  MNa",19.613
"218.0067 / 22.34",19.611
"615.4107 / 19.62",19.611
"357.2144 / 5.33",19.61
"282.0508 / 15.38",19.609
"493.5650 / 18.76  M3H3",19.609
"489.2136 / 5.48",19.605
"435.1816 / 10.96",19.604
"587.3397 / 17.76",19.598
"772.3376 / 20.14  M-H-",19.594
"555.3619 / 10.78",19.592
"174.9691 / 3.61  MH",19.587
"81.0694 / 16.57",19.585
"592.2972 / 15.20",19.583
"466.7658 / 16.35  M2H2",19.582
"462.2017 / 9.77",19.579
"585.1880 / 22.62",19.578
"635.3406 / 19.56",19.578
"140.0694 / 1.53",19.576
"667.1906 / 22.62",19.575
"731.4098 / 19.53",19.575
"334.1618 / 2.80",19.574
"502.2646 / 17.51  M-H2O-H-",19.573
"477.2536 / 14.77",19.573
"516.2659 / 15.41  M2",19.573
"370.0717 / 14.23",19.566
"523.2388 / 12.65",19.566
"557.2925 / 10.86  MFA-H-",19.566
"599.3870 / 21.46  MHNH42",19.566
"486.2548 / 11.18",19.563
"460.2185 / 10.88",19.563
"87.0456 / 3.71",19.56
"473.7540 / 13.50  M2H2",19.555
"439.2166 / 16.54",19.555
"552.0363 / 23.32",19.554
"441.2044 / 6.37",19.554
"409.2098 / 8.76",19.551
"796.2723 / 20.97",19.549
"476.2748 / 13.83  MNH4",19.548
"778.3769 / 19.04  M-H-",19.548
"536.2715 / 5.32  M-H-",19.548
"137.0792 / 2.16",19.548
"174.9938 / 14.74",19.546
"234.9747 / 7.64",19.544
"121.1010 / 8.57",19.543
"516.2860 / 9.76",19.542
"452.9243 / 10.55  M3H3",19.541
"526.3035 / 13.53  M2H2",19.538
"410.2122 / 17.26",19.536
"809.4759 / 19.20",19.533
"674.8772 / 19.62  M2H2",19.528
"191.0765 / 1.36",19.521
"273.1570 / 1.81",19.52
"286.1768 / 6.78",19.518
"387.2235 / 7.77  MH",19.516
"626.2920 / 17.92",19.514
"441.1609 / 11.39",19.512
"347.2585 / 23.28",19.51
"688.2608 / 9.98",19.506
"337.1375 / 15.68",19.505
"912.5322 / 22.10  M2Na2",19.505
"495.7241 / 21.47",19.504
"288.1558 / 2.79",19.504
"391.2314 / 9.29  M3H3",19.502
"268.9361 / 9.03",19.501
"494.2245 / 9.76",19.501
"223.0586 / 4.47",19.5
"389.2404 / 10.45",19.5
"427.1974 / 20.11",19.497
"423.1845 / 8.05  MNa-2H-",19.495
"272.1370 / 2.60  M",19.494
"465.2317 / 14.03  MNa-2H-",19.493
"755.4052 / 12.11  MH",19.49
"339.1790 / 22.62",19.49
"617.2914 / 2.72",19.486
"399.2239 / 8.49  M-H2O-H-",19.484
"301.1423 / 31.94",19.483
"669.8772 / 16.93",19.482
"729.0592 / 1.07",19.482
"107.0829 / 4.53",19.481
"544.2746 / 4.64",19.48
"375.2273 / 9.13",19.478
"537.2512 / 10.63  M2Na2",19.478
"374.1705 / 18.91  M-H-",19.47
"444.2450 / 9.09",19.47
"172.5739 / 13.85  M2H2",19.467
"626.3857 / 19.20",19.466
"428.9070 / 13.11  M3H3",19.462
"327.1349 / 9.50  M-H-",19.46
"328.9265 / 1.29",19.457
"553.2154 / 9.11",19.455
"489.2676 / 5.17  MH",19.451
"367.1508 / 2.62  MH",19.451
"294.9928 / 21.56",19.45
"422.1552 / 11.46",19.443
"332.1809 / 5.37",19.443
"549.2682 / 6.27  2MNa-2H-",19.441
"469.2268 / 6.18",19.437
"137.0245 / 10.05",19.435
"463.1478 / 3.22",19.433
"592.3315 / 16.53",19.431
"375.1515 / 3.22  M-H-",19.43
"387.2234 / 6.92",19.43
"426.1327 / 8.96",19.429
"150.0408 / 4.29",19.428
"665.3613 / 10.32  M-H-",19.425
"498.3392 / 9.91",19.424
"529.2585 / 15.79  M3H3",19.421
"373.2425 / 10.79",19.419
"621.3259 / 16.69",19.418
"454.2554 / 17.19  MHNa2",19.417
"412.6937 / 5.72",19.415
"375.1877 / 4.20  MNH4",19.415
"359.0183 / 2.59",19.414
"233.0389 / 7.85  MNa",19.414
"672.9975 / 1.29",19.411
"117.9284 / 5.92",19.409
"646.3028 / 6.50",19.409
"338.1481 / 12.10  MNa-2H-",19.408
"503.2818 / 9.03",19.405
"422.5212 / 8.81  M3H3",19.404
"600.3004 / 9.09",19.404
"390.2034 / 8.85",19.403
"432.2447 / 6.62",19.403
"529.2346 / 19.11",19.402
"693.8381 / 15.99  M-2H2-",19.399
"355.1616 / 9.75  M-H2O-H-",19.397
"482.2246 / 4.09  MNa",19.394
"256.9648 / 11.55",19.383
"393.0795 / 12.35  MNa-2H-",19.383
"489.2786 / 13.98",19.378
"263.9950 / 10.17  MNa-2H-",19.372
"414.6786 / 4.20",19.369
"499.2505 / 5.61",19.367
"905.4820 / 17.23  MNa-2H-",19.366
"673.3128 / 7.32  MAcO-H-",19.364
"448.1692 / 5.39",19.361
"272.1352 / 5.56",19.354
"623.3000 / 13.93  MNa-2H-",19.353
"301.1413 / 14.10",19.348
"341.1779 / 14.82  MH",19.345
"288.1557 / 1.94",19.341
"633.0376 / 13.10  2MNa-2H-",19.34
"550.2543 / 11.09",19.339
"951.4374 / 19.70",19.339
"399.7269 / 11.20",19.334
"423.7198 / 2.73",19.334
"468.2812 / 10.20",19.331
"372.2124 / 13.58",19.328
"349.1079 / 1.59",19.328
"428.1790 / 3.66  M-H-",19.324
"444.2926 / 10.74",19.32
"493.2052 / 3.20  2MNa-2H-",19.32
"372.1574 / 17.93",19.318
"613.6423 / 19.10",19.317
"304.1880 / 3.37",19.312
"380.1816 / 8.58",19.311
"456.2712 / 13.14",19.311
"659.3744 / 19.64",19.309
"819.4110 / 15.85",19.309
"471.2570 / 7.04  MNH4",19.306
"449.2060 / 6.49",19.305
"316.1871 / 6.14",19.305
"670.3904 / 21.66  M2H2",19.304
"562.3236 / 19.02",19.302
"662.3099 / 19.05",19.301
"381.0092 / 14.25",19.299
"293.1202 / 8.31",19.296
"482.2712 / 13.50",19.296
"577.2649 / 10.24",19.294
"563.2436 / 14.23  MNa-2H-",19.293
"369.6892 / 1.80",19.29
"369.2602 / 9.94",19.29
"425.0929 / 3.86",19.289
"570.3258 / 13.46  MCH3OHH",19.286
"513.2314 / 17.51  MNa-2H-",19.286
"351.2320 / 23.64  MK",19.281
"178.9499 / 1.05",19.278
