"","Overall"
"429.1526 / 4.30  2MNa-2H-",40.656
"187.1082 / 2.29",40.599
"232.9745 / 25.21",40.556
"333.1773 / 2.09  MH",40.515
"276.1084 / 2.42",40.515
"484.2371 / 12.43  M2H2",40.486
"346.1975 / 9.31  MH",40.445
"149.0223 / 19.92",40.431
"263.1394 / 2.58",40.42
"371.0975 / 12.38  M-H-",40.415
"93.0691 / 4.71",40.403
"189.9588 / 9.06  M-H-",40.377
"390.1884 / 4.58  MCH3OHH",40.372
"155.0531 / 7.79",40.297
"357.0828 / 6.35  M-H-",40.27
"383.1132 / 5.93",40.236
"376.2236 / 16.46",40.21
"244.1299 / 4.07",40.21
"167.0816 / 4.05",40.163
"259.1295 / 2.73  M-H-",40.162
"245.1872 / 7.72  MH",40.118
"269.1615 / 3.21",40.058
"135.0309 / 1.47  M-H-",40.035
"192.0230 / 2.12",40.001
"463.9136 / 13.53  M3H3",39.987
"282.0518 / 8.11",39.961
"256.9657 / 1.04",39.932
"383.1160 / 1.46",39.902
"257.9686 / 1.10",39.846
"338.9675 / 1.14  2MNa",39.774
"219.1078 / 4.76",39.766
"188.0022 / 2.77",39.758
"186.1318 / 10.47",39.75
"243.8801 / 8.64",39.582
"453.7487 / 10.15",39.469
"363.1132 / 5.04",39.419
"270.9597 / 1.79",39.401
"217.0041 / 28.49",39.267
"276.1449 / 2.13  MCH3OHH",39.247
"277.1194 / 3.91",39.195
"189.1133 / 10.16",39.187
"103.9202 / 29.83",39.174
"501.1996 / 18.31",39.169
"435.9663 / 30.71",39.149
"326.2082 / 9.82",39.136
"274.1036 / 2.30",39.13
"344.0589 / 2.55  MNa",39.122
"512.7746 / 13.42  M2H2",39.12
"276.0997 / 1.88",39.118
"576.2885 / 11.88  M2H2",39.115
"557.2830 / 13.52  MHNH42",39.092
"270.0418 / 9.02  MNa-2H-",39.03
"318.9849 / 1.10",38.985
"414.1442 / 13.56",38.962
"151.0395 / 8.81  M-H-",38.874
"261.0587 / 1.80",38.862
"516.3401 / 19.15  MH",38.861
"453.0506 / 2.08",38.854
"232.0106 / 7.44",38.83
"493.1291 / 13.53",38.829
"472.7398 / 10.98  M2H2",38.801
"518.2822 / 15.69  MNH4",38.777
"354.1285 / 3.90",38.735
"158.1191 / 6.36",38.694
"560.7822 / 19.86  M2H2",38.647
"267.9368 / 7.29",38.642
"156.9590 / 3.16",38.631
"515.2498 / 8.13",38.594
"577.3502 / 22.28  2MNa-2H-",38.587
"179.0706 / 4.86  MH",38.584
"305.0235 / 29.74  M-H-",38.572
"249.9786 / 4.89  MAcO-H-",38.545
"212.1024 / 1.86",38.514
"564.3021 / 17.40",38.5
"808.5629 / 24.57",38.497
"435.1982 / 21.09  M-2H2-",38.459
"344.9850 / 7.72",38.447
"215.0489 / 3.56",38.44
"269.9748 / 7.50",38.388
"457.5849 / 12.00",38.371
"422.9316 / 7.78",38.37
"671.0479 / 1.14",38.324
"254.0595 / 11.34",38.277
"372.1294 / 13.21  MH",38.259
"392.1183 / 10.23",38.245
"210.0451 / 2.41",38.24
"328.1031 / 5.72",38.21
"354.1265 / 2.76  MNa-2H-",38.206
"621.0037 / 25.30",38.143
"277.1185 / 3.31  MH",38.121
"391.2316 / 10.37  2MNa",38.057
"547.0402 / 2.79  3M2Na-3H-",38.052
"177.0400 / 1.62",38.019
"472.6863 / 11.31  MHK2",37.998
"506.5114 / 18.44  M4H4",37.997
"387.0260 / 8.72",37.986
"293.1135 / 3.01",37.986
"674.9925 / 1.07",37.881
"281.0989 / 13.56",37.878
"347.1883 / 7.98  M3H3",37.874
"305.0833 / 1.84",37.872
"297.0757 / 3.03",37.846
"438.9783 / 2.09",37.815
"344.9842 / 8.81",37.792
"448.9943 / 1.80",37.774
"659.7995 / 7.59",37.711
"323.0607 / 1.49",37.695
"249.1272 / 2.60",37.685
"211.1310 / 11.48",37.671
"510.5103 / 16.36  M4H4",37.66
"452.1335 / 13.17",37.65
"243.1350 / 13.45",37.635
"186.0875 / 1.84  MH",37.618
"301.1419 / 26.20",37.599
"356.0983 / 9.68  M-H-",37.598
"243.8808 / 9.14  M-H-",37.563
"203.0339 / 14.63",37.555
"381.1539 / 21.65  M-H-",37.543
"447.2441 / 12.76",37.508
"281.0520 / 13.56",37.498
"482.7359 / 19.37  M2H2",37.452
"328.1513 / 11.72  M-H-",37.434
"201.0212 / 8.36",37.425
"421.2419 / 12.52  MNa",37.373
