"","361.2087 / 3.47  M","453.2115 / 10.42  ","341.1667 / 3.45","293.1503 / 5.13","345.1423 / 6.27","346.1979 / 4.15  M","435.2417 / 9.00  M","215.1395 / 2.16","590.2780 / 11.00  ","261.1275 / 5.32","359.1582 / 11.13","295.1669 / 5.16  M","418.2251 / 11.01  ","325.1739 / 6.83","375.2210 / 3.76","490.2508 / 11.07","380.1792 / 13.65  ","358.1973 / 13.65  ","636.3357 / 19.68","356.6859 / 3.96  M","332.2191 / 7.10  M","330.2029 / 7.08","289.1505 / 7.69  M","854.3902 / 15.20  ","580.2660 / 7.32  M","449.7488 / 19.19","707.3366 / 10.13  ","439.2266 / 10.13  ","439.7266 / 10.12","433.5526 / 16.71","549.3146 / 16.50","896.4697 / 19.20  ","501.2305 / 7.93  M","569.7558 / 19.86  ","801.3629 / 15.49  ","379.7229 / 10.83","344.2183 / 11.11","373.1723 / 9.41  M","440.2980 / 15.59","345.2137 / 3.57","474.2458 / 8.12","480.2445 / 11.07","379.7088 / 10.72","387.2239 / 8.16  M","423.2304 / 15.02","809.4409 / 19.07  ","428.7079 / 15.05","476.7101 / 13.24","479.2499 / 11.58  ","485.2395 / 15.33","473.2970 / 16.49","490.1937 / 10.46  ","467.2498 / 11.48","416.2343 / 10.19","459.7504 / 10.67  ","396.1783 / 5.87","359.1931 / 3.48","424.7012 / 9.61","376.1834 / 19.61  ","517.2974 / 11.15","395.2276 / 13.11  ","393.2099 / 13.08  ","475.2157 / 13.13  ","521.7810 / 15.92  ","482.2236 / 12.92  ","942.4522 / 10.99  ","402.2699 / 8.03","600.3704 / 8.01","375.1522 / 5.70","298.1403 / 8.89  M","340.1869 / 17.48  ","354.2024 / 19.61  ","423.2236 / 10.54","560.7822 / 19.86  ","558.7644 / 19.86  ","372.2198 / 10.26","465.2696 / 15.50  ","532.2345 / 14.20  ","278.1581 / 11.15","445.2674 / 12.49","492.2111 / 10.45","408.7460 / 9.41  M","468.7141 / 15.70  ","325.1739 / 7.71","429.2712 / 15.30","507.2452 / 10.46  ","632.2772 / 15.72","421.2143 / 12.79  ","542.2931 / 9.50","422.2507 / 12.64","665.3238 / 17.20  ","429.2394 / 6.82  M","346.6914 / 8.06  M","334.1376 / 11.96  ","425.2027 / 15.20  ","545.2679 / 1.93","404.1803 / 18.31  ","243.1710 / 6.86  M","306.1465 / 5.16  M","359.1575 / 10.11"
"473.2970 / 16.49",0.95427,0.94915,0.95478,0.96861,0.97168,0.96759,0.96195,0.9264,0.93448,0.94252,0.9383,0.96963,0.99215,0.99058,0.98115,0.98953,0.98743,0.9911,0.99215,0.99476,0.98953,0.98953,0.9911,0.98586,0.97853,0.98168,0.97749,0.97749,0.97749,0.97906,0.98115,0.98534,0.98796,0.98482,0.98377,0.98534,0.97644,0.97592,0.98063,0.98901,0.98953,0.98901,0.98377,0.98586,0.98586,0.98848,0.98586,0.98377,0.98743,0.99319,1,0.99738,0.97382,0.97853,0.9733,0.97696,0.97487,0.96545,0.97277,0.97277,0.96178,0.96649,0.96911,0.96859,0.96702,0.96702,0.97016,0.96806,0.94956,0.93749,0.94151,0.94101,0.95683,0.96093,0.96349,0.9558,0.94556,0.9471,0.96861,0.96963,0.97629,0.95734,0.96298,0.9681,0.96554,0.96861,0.96605,0.92814,0.93173,0.9471,0.94505,0.93146,0.94197,0.94249,0.95785,0.95632,0.94249,0.94805,0.96656,0.96656
"490.1937 / 10.46  ",0.95273,0.95324,0.95632,0.97271,0.97373,0.96861,0.96554,0.92786,0.93799,0.94252,0.94078,0.97322,0.9911,0.99162,0.98534,0.98796,0.98901,0.99267,0.99215,0.99372,0.9911,0.9911,0.99634,0.98848,0.97801,0.9822,0.98063,0.98063,0.98063,0.98168,0.98063,0.98639,0.99058,0.98691,0.98639,0.98586,0.9801,0.98168,0.98272,0.98848,0.99005,0.99058,0.98534,0.98848,0.98482,0.98691,0.98482,0.98796,0.9822,0.99372,0.99738,1,0.96806,0.97801,0.97592,0.97801,0.97382,0.97068,0.97644,0.96963,0.9623,0.96702,0.96859,0.96859,0.97173,0.96545,0.97068,0.96963,0.95307,0.9395,0.94453,0.94352,0.96041,0.96246,0.96554,0.95222,0.94863,0.94915,0.97066,0.97271,0.97783,0.964,0.96707,0.97271,0.97066,0.97066,0.96656,0.93532,0.93327,0.94812,0.94351,0.93096,0.94402,0.94351,0.964,0.95683,0.943,0.94654,0.96451,0.96759
"467.2498 / 11.48",0.96246,0.95119,0.93634,0.94249,0.94249,0.93583,0.93224,0.90005,0.90381,0.9008,0.90912,0.94505,0.95288,0.9555,0.97016,0.95864,0.97592,0.97539,0.9801,0.98272,0.98429,0.98429,0.96283,0.9644,0.97696,0.96545,0.96649,0.96649,0.96649,0.96545,0.97644,0.97382,0.98115,0.98482,0.9822,0.98743,0.97487,0.97539,0.95864,0.97225,0.96492,0.96492,0.97225,0.95969,0.95969,0.96806,0.96545,0.96021,0.96283,0.96073,0.97382,0.96806,1,0.98796,0.98953,0.9801,0.98586,0.9712,0.97696,0.9822,0.97644,0.97801,0.9801,0.9623,0.94764,0.94974,0.95969,0.96387,0.939,0.94151,0.93649,0.94051,0.9599,0.96298,0.96349,0.95324,0.95222,0.95478,0.93634,0.93224,0.94658,0.94249,0.94402,0.94146,0.94761,0.95119,0.95734,0.93122,0.94607,0.96195,0.95939,0.93297,0.93378,0.93634,0.92456,0.92558,0.93788,0.92895,0.93378,0.9389
"416.2343 / 10.19",0.97373,0.95324,0.94402,0.95478,0.95529,0.94556,0.93634,0.91079,0.91135,0.91487,0.92149,0.9558,0.95969,0.96545,0.98115,0.96126,0.98482,0.98534,0.98848,0.98901,0.99005,0.99005,0.98063,0.9822,0.98691,0.97853,0.97696,0.97696,0.97696,0.98743,0.98848,0.98953,0.99424,0.99634,0.99529,0.99162,0.98691,0.98953,0.96178,0.97696,0.97016,0.96963,0.97906,0.97435,0.96754,0.97435,0.98272,0.97487,0.96859,0.96806,0.97853,0.97801,0.98796,1,0.99529,0.99634,0.99529,0.97068,0.97749,0.98115,0.97435,0.97749,0.97592,0.97016,0.96702,0.95445,0.95445,0.95759,0.94654,0.94855,0.94151,0.94352,0.96912,0.97527,0.97476,0.96656,0.96093,0.96451,0.94658,0.94607,0.95632,0.95171,0.96195,0.95888,0.95683,0.964,0.96605,0.9389,0.94249,0.96707,0.95427,0.9385,0.93685,0.93685,0.93736,0.92507,0.92661,0.93548,0.93583,0.9389
"459.7504 / 10.67  ",0.96912,0.95785,0.94402,0.95376,0.95119,0.94044,0.93839,0.90688,0.91537,0.90733,0.91852,0.95478,0.95393,0.96021,0.98482,0.96178,0.98429,0.98377,0.98586,0.98639,0.99162,0.99162,0.97853,0.98063,0.9801,0.97277,0.97539,0.97539,0.97539,0.97958,0.98691,0.98482,0.99267,0.99581,0.99476,0.99424,0.9911,0.99319,0.9644,0.97644,0.96963,0.96806,0.9822,0.97435,0.96335,0.97016,0.97644,0.97539,0.96126,0.96492,0.9733,0.97592,0.98953,0.99529,1,0.99162,0.99267,0.97906,0.98377,0.98325,0.97853,0.98168,0.98063,0.96597,0.9644,0.94764,0.9555,0.96073,0.94905,0.95006,0.94352,0.94654,0.97066,0.97271,0.97424,0.96144,0.96041,0.96605,0.943,0.943,0.95324,0.95734,0.95888,0.9558,0.95939,0.96093,0.96451,0.94607,0.95222,0.96451,0.95273,0.939,0.93993,0.94197,0.93736,0.92558,0.93275,0.92995,0.93122,0.93736
"396.1783 / 5.87",0.97527,0.95632,0.94761,0.96093,0.96195,0.95324,0.94197,0.91566,0.9194,0.92543,0.92693,0.96041,0.96283,0.97173,0.98115,0.95812,0.99058,0.99005,0.99215,0.98901,0.99162,0.99162,0.98586,0.98586,0.99058,0.98272,0.98429,0.98429,0.98429,0.99424,0.99319,0.99267,0.99529,0.99581,0.99634,0.98953,0.98953,0.99424,0.96859,0.9822,0.97435,0.97487,0.9801,0.97958,0.97435,0.97906,0.98586,0.97801,0.97696,0.96859,0.97696,0.97801,0.9801,0.99634,0.99162,1,0.99476,0.97696,0.98115,0.9822,0.97592,0.9801,0.97801,0.97853,0.97644,0.96545,0.95864,0.96178,0.94905,0.95056,0.94553,0.94604,0.96861,0.97578,0.97424,0.9681,0.96656,0.97117,0.94915,0.95222,0.95632,0.95529,0.97015,0.96554,0.96041,0.96759,0.96912,0.94556,0.94505,0.96656,0.95376,0.94553,0.93941,0.94197,0.94402,0.93122,0.92814,0.94202,0.93993,0.94044
"359.1931 / 3.48",0.97732,0.95427,0.94607,0.95427,0.95478,0.94607,0.93788,0.91127,0.91638,0.91588,0.92,0.95632,0.9534,0.96283,0.97225,0.95707,0.98691,0.98639,0.98848,0.98534,0.98953,0.98953,0.97749,0.98429,0.98796,0.97906,0.97958,0.97958,0.97958,0.98272,0.99319,0.98901,0.98953,0.99476,0.99267,0.99372,0.99005,0.9911,0.96702,0.98272,0.97435,0.97539,0.98377,0.97592,0.97016,0.97592,0.97696,0.97696,0.97277,0.96335,0.97487,0.97382,0.98586,0.99529,0.99267,0.99476,1,0.97435,0.98272,0.99005,0.98115,0.98377,0.98325,0.97644,0.96963,0.96597,0.95864,0.96283,0.94704,0.95106,0.94604,0.94704,0.97066,0.97578,0.97322,0.97271,0.964,0.9681,0.94095,0.94351,0.95171,0.95529,0.96093,0.95683,0.95734,0.964,0.96861,0.94146,0.95273,0.96656,0.96041,0.94704,0.94454,0.94915,0.93788,0.93224,0.92866,0.93598,0.93583,0.93634
"424.7012 / 9.61",0.95324,0.97424,0.93429,0.95478,0.95427,0.95683,0.96195,0.90786,0.91839,0.91688,0.92149,0.95376,0.95759,0.96335,0.97277,0.9623,0.98168,0.98115,0.98063,0.97696,0.98272,0.98272,0.97749,0.9733,0.98534,0.98063,0.99267,0.99267,0.99267,0.97539,0.98115,0.97906,0.9801,0.98272,0.98377,0.98482,0.9801,0.98743,0.98901,0.98639,0.98377,0.98272,0.98534,0.98115,0.9712,0.9733,0.96754,0.96754,0.96649,0.9712,0.96545,0.97068,0.9712,0.97068,0.97906,0.97696,0.97435,1,0.99581,0.98429,0.99215,0.99372,0.99319,0.97382,0.97801,0.96911,0.98639,0.98953,0.94302,0.95307,0.95358,0.95408,0.96605,0.9599,0.96144,0.94454,0.95632,0.95785,0.94402,0.94812,0.94915,0.95324,0.9599,0.95478,0.95888,0.9558,0.95478,0.95939,0.95888,0.96349,0.95683,0.94956,0.96298,0.96502,0.9558,0.95119,0.94146,0.92844,0.93224,0.93378
"376.1834 / 19.61  ",0.95888,0.97066,0.93993,0.95888,0.9599,0.95939,0.96195,0.91518,0.92492,0.9204,0.92742,0.9599,0.9644,0.96754,0.97225,0.96859,0.98953,0.98901,0.98796,0.98377,0.98953,0.98953,0.98063,0.9801,0.98901,0.98272,0.99319,0.99319,0.99319,0.97906,0.98796,0.98482,0.98325,0.98691,0.98586,0.9911,0.98953,0.9911,0.98796,0.99162,0.98691,0.98586,0.99215,0.98482,0.97696,0.97749,0.97068,0.97435,0.97173,0.97749,0.97277,0.97644,0.97696,0.97749,0.98377,0.98115,0.98272,0.99581,1,0.98639,0.99215,0.99372,0.99424,0.9822,0.98429,0.97487,0.98482,0.98691,0.94956,0.95659,0.9586,0.95911,0.97066,0.96554,0.96554,0.95376,0.9599,0.96195,0.94966,0.95427,0.9558,0.95785,0.964,0.95683,0.96298,0.96349,0.96195,0.95837,0.96041,0.96451,0.96656,0.95157,0.96144,0.96605,0.96144,0.95222,0.94863,0.93397,0.93993,0.93788
"517.2974 / 11.15",0.9681,0.96451,0.93839,0.94761,0.95068,0.94966,0.94966,0.9064,0.91185,0.91588,0.91605,0.94863,0.95131,0.95654,0.96702,0.96649,0.97906,0.97958,0.98168,0.98115,0.98325,0.98325,0.97225,0.97853,0.98586,0.97958,0.98377,0.98377,0.98377,0.97225,0.98953,0.98115,0.98168,0.98796,0.98691,0.99267,0.98168,0.98429,0.98168,0.98901,0.98325,0.98115,0.99005,0.98168,0.96911,0.97382,0.97225,0.96806,0.97644,0.96545,0.97277,0.96963,0.9822,0.98115,0.98325,0.9822,0.99005,0.98429,0.98639,1,0.99058,0.99267,0.99319,0.96859,0.96806,0.96597,0.9733,0.97539,0.94151,0.95257,0.94754,0.94905,0.96861,0.96656,0.96656,0.9681,0.95222,0.95734,0.93685,0.94044,0.94812,0.9471,0.95324,0.95068,0.95119,0.95427,0.95888,0.94454,0.96246,0.96451,0.95683,0.95257,0.96144,0.96707,0.93993,0.94505,0.92917,0.92694,0.93019,0.92968
"395.2276 / 13.11  ",0.95888,0.97066,0.9348,0.94351,0.94454,0.95068,0.95068,0.90103,0.90984,0.90431,0.91159,0.94505,0.9466,0.95288,0.96126,0.95916,0.97539,0.97487,0.97592,0.97277,0.97539,0.97539,0.96702,0.9733,0.98848,0.98586,0.99005,0.99005,0.99005,0.96806,0.98377,0.98115,0.97435,0.9822,0.98063,0.98586,0.97801,0.98063,0.98429,0.98377,0.98168,0.97906,0.98482,0.97592,0.97225,0.97487,0.96859,0.96702,0.96335,0.96649,0.96178,0.9623,0.97644,0.97435,0.97853,0.97592,0.98115,0.99215,0.99215,0.99058,1,0.99948,0.99895,0.97853,0.97539,0.97173,0.98743,0.98953,0.93397,0.95358,0.95056,0.95106,0.96554,0.96144,0.96093,0.95171,0.95529,0.95837,0.93224,0.93788,0.94197,0.94812,0.94966,0.94556,0.95068,0.95324,0.95478,0.95068,0.96195,0.96502,0.95888,0.95458,0.97015,0.96963,0.94402,0.9471,0.92712,0.92442,0.92507,0.91995
"393.2099 / 13.08  ",0.96195,0.97168,0.9389,0.94863,0.94966,0.95427,0.95376,0.90542,0.91487,0.91035,0.91654,0.94966,0.95183,0.95812,0.96702,0.96335,0.9801,0.97958,0.98063,0.97749,0.9801,0.9801,0.97225,0.97801,0.99005,0.98796,0.99215,0.99215,0.99215,0.97277,0.98796,0.98482,0.97906,0.98586,0.98482,0.98901,0.9822,0.98482,0.98691,0.98743,0.98482,0.98168,0.98796,0.98063,0.97592,0.97853,0.97382,0.9712,0.96859,0.97016,0.96649,0.96702,0.97801,0.97749,0.98168,0.9801,0.98377,0.99372,0.99372,0.99267,0.99948,1,0.99948,0.9801,0.97801,0.97277,0.98691,0.98901,0.9385,0.95559,0.95257,0.95307,0.96759,0.96451,0.96451,0.9558,0.95785,0.96195,0.93736,0.943,0.94658,0.95171,0.95478,0.95068,0.95478,0.95734,0.95888,0.95324,0.96349,0.96554,0.95837,0.95659,0.96963,0.97015,0.9471,0.94915,0.93019,0.92895,0.92968,0.92456
"475.2157 / 13.13  ",0.96093,0.97066,0.94044,0.94966,0.95068,0.95529,0.95529,0.90688,0.91738,0.91185,0.91753,0.95119,0.95445,0.96021,0.96597,0.96545,0.98115,0.98063,0.98168,0.97853,0.98115,0.98115,0.97173,0.97749,0.98901,0.98691,0.9911,0.9911,0.9911,0.97016,0.98743,0.98377,0.97801,0.98482,0.98325,0.98953,0.98168,0.98325,0.98796,0.98901,0.98639,0.98377,0.98848,0.9801,0.97749,0.9801,0.97225,0.97173,0.97068,0.97173,0.96911,0.96859,0.9801,0.97592,0.98063,0.97801,0.98325,0.99319,0.99424,0.99319,0.99895,0.99948,1,0.98063,0.97592,0.97487,0.98848,0.99058,0.9395,0.95458,0.95307,0.95358,0.96656,0.96349,0.96349,0.95529,0.95734,0.96093,0.9389,0.94402,0.94812,0.95273,0.95376,0.95017,0.9558,0.95785,0.9599,0.95171,0.964,0.964,0.96041,0.95609,0.96912,0.97066,0.94761,0.95222,0.9348,0.93096,0.93378,0.92866
"521.7810 / 15.92  ",0.9558,0.95068,0.95324,0.9558,0.95939,0.96195,0.94556,0.91566,0.93246,0.92492,0.92445,0.95785,0.96702,0.97435,0.95497,0.9555,0.98743,0.98534,0.98482,0.97644,0.97696,0.97696,0.97487,0.97853,0.98639,0.98691,0.98639,0.98639,0.98639,0.97749,0.98482,0.98586,0.97277,0.97435,0.97225,0.97277,0.97958,0.97644,0.97539,0.9822,0.97801,0.9801,0.9733,0.97225,0.99058,0.98691,0.97644,0.97906,0.97853,0.9733,0.96859,0.96859,0.9623,0.97016,0.96597,0.97853,0.97644,0.97382,0.9822,0.96859,0.97853,0.9801,0.98063,1,0.98639,0.99005,0.97853,0.97749,0.93699,0.94101,0.94604,0.94302,0.95171,0.95785,0.95324,0.94966,0.96195,0.96707,0.94351,0.95632,0.94966,0.95529,0.96041,0.95683,0.9558,0.96554,0.96451,0.93736,0.94044,0.94915,0.95529,0.94855,0.94812,0.95068,0.95222,0.9471,0.92917,0.94704,0.95017,0.93583
"482.2236 / 12.92  ",0.94863,0.95837,0.94044,0.95427,0.96246,0.96451,0.95632,0.91615,0.92593,0.92995,0.92891,0.95376,0.97016,0.96806,0.96126,0.96911,0.98325,0.98377,0.98115,0.97749,0.97644,0.97644,0.98272,0.98063,0.98534,0.98482,0.9911,0.9911,0.9911,0.98639,0.98377,0.98325,0.97592,0.97487,0.97539,0.9733,0.98272,0.98168,0.98168,0.98482,0.98115,0.97853,0.98429,0.98743,0.98168,0.97435,0.97906,0.97277,0.97696,0.97958,0.96702,0.97173,0.94764,0.96702,0.9644,0.97644,0.96963,0.97801,0.98429,0.96806,0.97539,0.97801,0.97592,0.98639,1,0.97539,0.97539,0.97016,0.9395,0.94604,0.94805,0.94604,0.95837,0.95529,0.95376,0.95119,0.94812,0.9558,0.94812,0.96298,0.95376,0.94658,0.96605,0.9599,0.95171,0.96041,0.95273,0.94505,0.9389,0.95017,0.94761,0.94553,0.95478,0.95785,0.96707,0.94505,0.92353,0.93146,0.93736,0.92507
"942.4522 / 10.99  ",0.9471,0.94249,0.9389,0.95632,0.95683,0.96298,0.95376,0.91274,0.93397,0.93246,0.92297,0.95785,0.96806,0.97853,0.9466,0.95131,0.9801,0.97906,0.97749,0.96492,0.96702,0.96702,0.96859,0.9733,0.97958,0.9822,0.9822,0.9822,0.9822,0.96754,0.97644,0.97801,0.95969,0.96283,0.96126,0.9644,0.96545,0.96492,0.9801,0.9822,0.98168,0.98482,0.96806,0.96963,0.98691,0.98534,0.9644,0.9733,0.97801,0.97068,0.96702,0.96545,0.94974,0.95445,0.94764,0.96545,0.96597,0.96911,0.97487,0.96597,0.97173,0.97277,0.97487,0.99005,0.97539,1,0.98168,0.98272,0.92794,0.93146,0.94151,0.93649,0.94095,0.9471,0.94197,0.94351,0.95068,0.95068,0.943,0.95222,0.94607,0.95068,0.95478,0.95017,0.95427,0.95939,0.95785,0.92763,0.93122,0.93941,0.95324,0.94302,0.95017,0.95324,0.95376,0.96298,0.93429,0.94553,0.95683,0.943
"402.2699 / 8.03",0.93839,0.96605,0.93634,0.94966,0.95273,0.96554,0.96554,0.90835,0.9194,0.9204,0.92,0.95068,0.96754,0.96911,0.95497,0.96963,0.97225,0.97382,0.9733,0.97068,0.96806,0.96806,0.97068,0.96754,0.98272,0.98691,0.99005,0.99005,0.99005,0.9623,0.97016,0.97435,0.96492,0.96754,0.96649,0.97173,0.96178,0.96492,0.99267,0.98482,0.98901,0.98848,0.97801,0.97592,0.9822,0.98115,0.96597,0.96649,0.97016,0.98115,0.97016,0.97068,0.95969,0.95445,0.9555,0.95864,0.95864,0.98639,0.98482,0.9733,0.98743,0.98691,0.98848,0.97853,0.97539,0.98168,1,0.99791,0.92945,0.94101,0.94704,0.94503,0.95119,0.94607,0.94658,0.93224,0.94351,0.94197,0.94505,0.95171,0.95119,0.94607,0.94812,0.94915,0.95222,0.95273,0.94863,0.94044,0.94402,0.95068,0.95171,0.94403,0.96912,0.96554,0.95785,0.96502,0.93429,0.93146,0.94351,0.93634
"600.3704 / 8.01",0.94249,0.96502,0.93429,0.95273,0.95068,0.96144,0.96451,0.9064,0.92241,0.91738,0.91901,0.95376,0.96335,0.97016,0.96021,0.96335,0.97435,0.97487,0.97435,0.96859,0.97016,0.97016,0.96963,0.96963,0.98168,0.98586,0.98901,0.98901,0.98901,0.96126,0.97225,0.97644,0.96597,0.97068,0.96963,0.97487,0.96492,0.96911,0.99162,0.98377,0.98796,0.98743,0.97696,0.97382,0.9801,0.9822,0.96387,0.96963,0.96492,0.97696,0.96806,0.96963,0.96387,0.95759,0.96073,0.96178,0.96283,0.98953,0.98691,0.97539,0.98953,0.98901,0.99058,0.97749,0.97016,0.98272,0.99791,1,0.93045,0.94202,0.94805,0.94604,0.95222,0.94915,0.94966,0.93327,0.94863,0.94607,0.94402,0.94761,0.94915,0.95222,0.94915,0.94812,0.95734,0.95478,0.95273,0.94351,0.9471,0.95171,0.95376,0.94503,0.9681,0.96451,0.95478,0.96605,0.93941,0.93347,0.94454,0.93941
