"","p[1]","p(corr)[1]"
"151.0618 / 6.79",42.451,0.29496
"151.0750 / 20.08",36.27,0.15729
"151.0993 / 11.55",30.389,0.15017
"152.0094 / 2.94",36.135,0.57182
"152.0157 / 17.78",-87.716,-0.24562
"152.0569 / 12.00",-184.16,-0.66497
"152.0571 / 6.71",58.192,0.26387
"152.0573 / 3.18  MNH4",-60.907,-0.34659
"152.0574 / 4.32",0.037614,0.00017095
"152.0690 / 2.38",16.183,0.096654
"152.0701 / 1.87",-3.268,-0.041717
"152.0710 / 5.66",-232.38,-0.57166
"152.0712 / 7.35  MH",-123.37,-0.378
"153.0408 / 5.30",-17.309,-0.092432
"153.0412 / 4.09  MNH4",-47.769,-0.46552
"153.0664 / 5.75  MH",86.519,0.6809
"153.0668 / 7.72  MNH4",57.166,0.30107
"153.1240 / 1.76",13.073,0.11731
"153.1240 / 7.39",53.081,0.19259
"153.1241 / 14.26",-65.088,-0.26558
"153.1268 / 15.23",14.269,0.077235
"153.1269 / 12.94",-116.15,-0.43084
"153.1270 / 6.41  MCH3OHH",154.2,0.52262
"153.1272 / 11.63  MCH3OHH",-27.195,-0.098503
"153.1272 / 16.08",-63.958,-0.30831
"153.1273 / 9.40",33.165,0.1299
"153.1274 / 0.26  MCH3OHH",71.636,0.26739
"153.1275 / 5.25",168,0.53528
"153.1275 / 9.96",-11.378,-0.044799
"153.1276 / 29.50",-7.1589,-0.2768
"153.1276 / 4.63",-67.578,-0.22713
"153.1278 / 2.37",74.646,0.28262
"153.1279 / 0.88",-8.9139,-0.27851
"153.1279 / 3.87",-88.748,-0.29141
"153.1280 / 31.53",8.751,0.067957
"153.1286 / 8.62",-41.051,-0.15751
"153.9957 / 9.93",-129.74,-0.45031
"154.0425 / 4.13",-48.934,-0.44738
"154.0440 / 2.58",29.162,0.35735
"154.0498 / 8.45",14.652,0.068014
"154.0502 / 18.57",-43.832,-0.17329
"154.0513 / 7.76",138.37,0.62246
"154.0697 / 5.78",114.51,0.57458
"155.0452 / 1.99",48.181,0.55045
"155.0531 / 7.79",151,0.57243
"155.0701 / 16.46",54.355,0.21677
"155.0702 / 13.93",41.461,0.17919
"155.0813 / 4.18  MCH3OHH",1.7199,0.024189
"155.9708 / 10.71",-47.514,-0.19324
"155.9735 / 31.76",23.454,0.15142
"155.9738 / 5.41",-4.4733,-0.018706
"155.9740 / 12.80",-15.932,-0.059153
"155.9741 / 11.55",33.678,0.12296
"155.9741 / 4.51",-17.414,-0.072026
"155.9742 / 8.67",61.814,0.21416
"155.9742 / 9.69",10.849,0.039997
"155.9743 / 14.23",-62.675,-0.22297
"155.9744 / 7.45",63.803,0.25986
"155.9745 / 1.77",-57.962,-0.29822
"155.9745 / 16.36",82.771,0.34051
"155.9747 / 18.27",-41.791,-0.17601
"155.9748 / 6.68",30.094,0.14152
"155.9749 / 19.17",-97.975,-0.37936
"155.9749 / 2.65",14.619,0.10451
"155.9750 / 0.02",3.9335,0.061021
"155.9750 / 0.93",4.8545,0.069584
"155.9750 / 16.91",26.862,0.10563
"155.9751 / 28.69",4.2315,0.11193
"155.9751 / 3.53",96.795,0.37737
"156.0108 / 16.05",-1.6504,-0.020888
"156.0655 / 3.60  MH",73.074,0.3133
"156.9588 / 12.01",-135.77,-0.59421
"156.9589 / 2.40",31.01,0.26668
"156.9589 / 7.78",-20.995,-0.092988
"156.9589 / 8.97",-86.719,-0.36251
"156.9589 / 9.81",-49.721,-0.22119
"156.9590 / 3.16",74.731,0.34783
"156.9591 / 0.55",-6.3523,-0.10873
"156.9591 / 14.07",37.106,0.16059
"156.9592 / 13.11",-46.469,-0.19272
"156.9592 / 4.77",59.691,0.23152
"156.9592 / 5.91",97.677,0.45926
"156.9594 / 31.57",-47.669,-0.28334
"157.0477 / 2.54",28.989,0.15971
"157.0763 / 2.30",62.568,0.40133
"157.0829 / 4.81",-2.4962,-0.0087104
"157.0973 / 6.99  MNH4",-38.334,-0.18318
"157.1337 / 2.32",-234.32,-0.70111
"157.5692 / 14.13",-105.65,-0.41925
"158.0606 / 2.30  MH",43.073,0.29486
"158.0814 / 8.34",287.52,0.8856
"158.1178 / 3.99",118.94,0.57905
"158.1182 / 2.26  MCH3OHH",36.995,0.43989
"158.1503 / 21.48",10.989,0.44153
"158.1541 / 1.59",-35.181,-0.35042
"158.9746 / 1.96",-19.289,-0.27809
"158.9930 / 2.78",21.152,0.1707
"158.9931 / 20.90",17.311,0.052587
"158.9932 / 24.95",-36.516,-0.1728
"158.9933 / 14.49",53.666,0.16555
"158.9958 / 1.86",-29.131,-0.48406
"158.9959 / 1.06  MH",-81.376,-0.69447
"158.9960 / 24.02",-26.166,-0.094658
"158.9963 / 22.10  MH",-56.708,-0.24152
"158.9965 / 22.71  MH",-42.311,-0.17827
"158.9967 / 21.43",-14.586,-0.056932
"158.9967 / 23.51",-15.169,-0.084967
"158.9967 / 5.67",15.37,0.064945
"158.9968 / 12.28  MH",-4.1593,-0.013038
"158.9968 / 3.86",-80.34,-0.21869
"158.9969 / 11.27",108.62,0.33137
"158.9969 / 28.06  MH",0.98606,0.059162
"158.9970 / 13.34",-67.561,-0.19995
"158.9970 / 28.62",-62.841,-0.13958
"158.9970 / 4.47",-137.47,-0.40531
"158.9970 / 8.70",86.054,0.292
"158.9971 / 26.33",-12.301,-0.051831
"158.9971 / 27.13  MH",45.419,0.22791
"158.9971 / 29.17",38.38,0.10847
"158.9971 / 6.42",46.54,0.20025
"158.9972 / 20.19",39.395,0.1146
"158.9972 / 25.64",6.1822,0.01968
"158.9973 / 10.67",60.739,0.18973
"158.9973 / 18.99",-96.095,-0.32573
"158.9974 / 18.47",-4.4286,-0.01329
"158.9974 / 7.91",21.43,0.068159
"158.9975 / 17.50",4.5996,0.013723
"158.9976 / 16.65",0.63554,0.0018283
"159.0273 / 2.76",90.542,0.42309
"159.0277 / 3.90  MNa",-41.084,-0.49124
"159.0760 / 2.73",23.586,0.10106
"159.0769 / 1.45  MH",-27.846,-0.28158
"159.0916 / 7.96",-137.4,-0.44485
"159.0918 / 5.10",-79.212,-0.39206
"159.0920 / 4.25",37.248,0.40829
"159.1124 / 3.31",-168.27,-0.5651
"159.1129 / 5.42",-90.121,-0.37739
"159.1172 / 20.44",-58.915,-0.28216
"159.1202 / 2.28",40.967,0.45275
"159.9998 / 1.04",-88.999,-0.69624
"160.0966 / 3.80",37.518,0.22576
"160.0967 / 1.51",40.682,0.38106
"160.1081 / 1.93",151.88,0.70057
"160.1332 / 1.59",39.585,0.53149
"160.1336 / 3.49",-87.866,-0.44041
"160.9895 / 1.83",-11.048,-0.14936
"161.0259 / 3.60",108.95,0.34564
"161.0259 / 4.53",72.215,0.26794
"161.0259 / 6.43",37.76,0.16884
"161.0283 / 2.70",2.3381,0.055346
"161.0285 / 31.37",-32.775,-0.18407
"161.0287 / 8.13",16.396,0.091265
"161.0288 / 0.38",21.386,0.11519
"161.0294 / 7.20",-44.252,-0.18897
"161.0295 / 5.50",-18.246,-0.11329
"161.0302 / 1.10",30.7,0.37515
"161.0923 / 21.61",8.2506,0.41032
"161.0954 / 22.28",-0.53562,-0.020582
"161.1328 / 22.10",-27.63,-0.17295
"162.0216 / 3.44",36.629,0.13999
"162.0273 / 1.04",31.849,0.39093
"162.0550 / 7.64",292.12,0.88325
"162.0661 / 3.16",109.72,0.55441
"162.0903 / 1.86",11.134,0.072424
"162.1130 / 1.43  MCH3OHH",26.874,0.41939
"162.1489 / 1.53",19.896,0.10247
"163.0146 / 5.08",-39.886,-0.3107
"163.0148 / 29.42",-0.6356,-0.050484
"163.0148 / 3.24",80.804,0.36544
"163.0149 / 5.97",-36.107,-0.2697
"163.0166 / 31.57",-74.496,-0.40785
"163.0195 / 0.42",20.83,0.082897
"163.0273 / 1.08",31.598,0.39638
"163.0344 / 3.25",46.982,0.71898
"163.0345 / 4.03",3.9441,0.085297
"163.0352 / 20.03",11.605,0.37603
"163.0599 / 15.56",6.8339,0.033221
