"","p[1]","p(corr)[1]"
"437.7144 / 15.05  M2H2",-182.79,-0.60202
"437.7313 / 5.81",-48.69,-0.26821
"437.7394 / 12.63  M2H2",-155.24,-0.58943
"437.7404 / 19.85",-236.92,-0.72892
"437.8898 / 11.77",-211.93,-0.67788
"438.0929 / 11.34  MNa",-29.952,-0.27238
"438.0931 / 12.72",-25.804,-0.27217
"438.1865 / 2.64",-105.32,-0.47191
"438.1866 / 21.90",-1.2162,-0.048417
"438.1992 / 21.89  MCH3OHH",1.9728,0.0823
"438.2139 / 9.84",-229.07,-0.78092
"438.2321 / 20.88",-133.97,-0.57798
"438.2921 / 24.31",2.2521,0.44359
"438.5880 / 10.71  M3H3",-79.186,-0.32279
"438.7251 / 2.61",-171.21,-0.58691
"438.7532 / 13.77  M2H2",-198.63,-0.65242
"438.7677 / 18.91  MH",-206.86,-0.71705
"438.8820 / 13.84  M3H3",-245.12,-0.73441
"438.9089 / 12.62  M3H3",-148.31,-0.56995
"438.9783 / 2.09",75.199,0.28618
"439.1512 / 24.37",-2.025,-0.080586
"439.1820 / 6.48",-207.57,-0.72563
"439.1824 / 3.72",-215.72,-0.68266
"439.2168 / 9.36  MNa",-180.78,-0.62676
"439.2266 / 10.13  M2H2",-325.29,-0.77599
"439.2312 / 6.24",-167.7,-0.60585
"439.2466 / 17.33",-1.0039,-0.0047902
"439.2592 / 17.26  M3H3",-4.7359,-0.026135
"439.5525 / 12.21",-119.36,-0.49603
"439.7043 / 6.82  MHK2",-186.73,-0.62906
"439.7230 / 9.04",-183.64,-0.67499
"439.7266 / 10.12",-304.69,-0.77402
"439.7346 / 19.10",-196.71,-0.67399
"439.7442 / 16.75  M2H2",-172.89,-0.64311
"439.7604 / 15.12",-137.11,-0.5422
"439.9094 / 21.59",-20.266,-0.086818
"440.2351 / 13.40  M",-174.42,-0.61869
"440.2411 / 16.30  M2H2",-250.9,-0.78543
"440.2457 / 3.53  MCH3OHH",-46.906,-0.24769
"440.2972 / 8.76",-157.96,-0.58027
"440.2980 / 15.59",-267.74,-0.76923
"440.3116 / 23.57",-89.272,-0.41905
"440.7501 / 16.10",-209.29,-0.69341
"440.7505 / 10.07",-208.19,-0.67476
"440.8731 / 11.64  M3H3",-84.143,-0.3759
"441.1494 / 6.63",-87.318,-0.40028
"441.1542 / 21.56",-11.426,-0.12109
"441.1802 / 7.07",-214.37,-0.70055
"441.1847 / 5.34",-186.2,-0.58027
"441.1968 / 4.22",-238.59,-0.71782
"441.1976 / 7.28  MNH4",-198.05,-0.67762
"441.1979 / 3.22  MH",-221.2,-0.7053
"441.2044 / 6.37",-177.6,-0.58935
"441.2134 / 14.89",-183.02,-0.64762
"441.2260 / 19.24",-147.23,-0.5718
"441.2346 / 6.68  MCH3OHH",-284.36,-0.81363
"441.2711 / 16.06  M2H2",-182.91,-0.62981
"441.2712 / 20.18",-141.01,-0.58845
"441.2984 / 24.47",12.018,0.53099
"441.3053 / 16.65",-187.14,-0.63977
"441.3326 / 17.73  MH",-161,-0.55696
"441.3330 / 9.44  MH",-31.078,-0.10859
"441.7581 / 15.01  M2H2",-206.44,-0.65347
"442.1625 / 19.05  MNa",-153.2,-0.5896
"442.2260 / 4.21",-259.8,-0.74338
"442.2271 / 12.95",-193.45,-0.6649
"442.2548 / 3.24",-213.42,-0.70487
"442.2647 / 0.47",45.547,0.30787
"442.2671 / 17.68  MHNH42",-164.02,-0.62161
"442.2883 / 18.44",-129.08,-0.57427
"442.3276 / 24.60",4.6292,0.48121
"442.5804 / 15.37  M3H3",-86.422,-0.41156
"442.7096 / 10.37  MHNa2",-143.34,-0.57819
"442.7581 / 15.01",-122.08,-0.50153
"442.9306 / 15.37",-82.074,-0.38712
"443.1771 / 2.54",-156.86,-0.52334
"443.1884 / 12.81",-60.775,-0.24125
"443.1889 / 3.63",-257.2,-0.83934
"443.1911 / 7.06",-203.31,-0.64525
"443.1940 / 5.69  M2H2",-198.29,-0.60975
"443.2125 / 2.51",-237.76,-0.72792
"443.2219 / 13.94",-206.69,-0.71039
"443.2406 / 10.91  M2H2",-226.67,-0.76781
"443.2485 / 11.51",-222.64,-0.73866
"443.2656 / 17.19  M2H2",-125.27,-0.40862
"443.2853 / 15.47  MH",-277.64,-0.75351
"443.3215 / 23.64  MNH4",-3.8486,-0.28513
"443.3321 / 23.65",-0.96817,-0.15655
"443.6932 / 5.65",-161.15,-0.55912
"443.7229 / 13.14  M2H2",-200.74,-0.6727
"444.1387 / 9.66  MNa",-196.31,-0.6404
"444.1869 / 11.22  MH",-78.939,-0.28976
"444.2228 / 15.98",-44.067,-0.17931
"444.2235 / 14.53",-129.94,-0.45172
"444.2250 / 16.64  M3H3",-248.75,-0.78209
"444.2331 / 18.14  M3H3",-170.66,-0.59779
"444.2424 / 16.72",-208.78,-0.62915
"444.2448 / 3.19",-3.8817,-0.018622
"444.2452 / 15.30  MNH4",-181.27,-0.62438
"444.2453 / 7.91",-176.57,-0.63066
"444.2634 / 10.83",-200,-0.66811
"444.2831 / 9.81",-171.5,-0.66257
"444.2919 / 3.27",-209.96,-0.64773
"444.2922 / 2.73",-179.66,-0.61368
"444.2926 / 10.74",-238.88,-0.76068
"444.5819 / 15.95  M3H3",-138.78,-0.55137
"444.7153 / 8.63",-119.96,-0.52481
"444.7381 / 11.17",-196.07,-0.68374
"444.7586 / 13.12  M2H2",-199.26,-0.70973
"444.8902 / 16.61",-135.62,-0.53587
"444.9064 / 15.61",-223.42,-0.78636
"445.1928 / 11.78",-129.87,-0.50128
"445.2136 / 8.60",-189.91,-0.67012
"445.2209 / 18.08",-153.79,-0.5416
"445.2284 / 7.45",-204.62,-0.70919
"445.2412 / 14.66",-229.37,-0.67833
"445.2444 / 16.62  M2H2",-172.44,-0.60161
"445.2674 / 12.49",-292.13,-0.77861
"445.2674 / 14.02",-281.4,-0.73189
"445.3022 / 15.98",-222.11,-0.77651
"445.3110 / 22.98",-30.058,-0.4067
"445.7019 / 13.99",-117.82,-0.48974
"445.7038 / 11.29  MHK2",-289.69,-0.74628
"446.1509 / 5.69",-140.51,-0.49711
"446.2010 / 4.91",-150.61,-0.51565
"446.2032 / 11.47  MH",-245.02,-0.66699
"446.2254 / 2.60",-122.35,-0.42763
"446.2260 / 4.87",-167.6,-0.524
"446.2358 / 5.56",-71.624,-0.3145
"446.2395 / 13.61  M",-164.85,-0.58217
"446.2594 / 9.12",-216.22,-0.72382
"446.2597 / 9.71",-239.83,-0.73192
"446.2606 / 10.61",-201.24,-0.64316
"446.2606 / 4.69",-205.88,-0.66198
"446.2611 / 8.34",-269.77,-0.764
"446.2617 / 6.68",-182.79,-0.52775
"446.2628 / 1.83",-219.39,-0.68825
"446.7056 / 11.36",-261.57,-0.77773
"446.7551 / 10.22  M2H2",-151.06,-0.52669
"446.7610 / 14.53",-133.34,-0.52551
"447.1037 / 4.32",23.219,0.086888
"447.1871 / 13.45",-143.01,-0.55217
"447.2084 / 4.71",-128.56,-0.44811
"447.2106 / 22.96",-46.432,-0.16924
"447.2246 / 10.99  MHNa2",-176.92,-0.63012
"447.2335 / 14.99",-200.54,-0.66051
"447.2438 / 7.60",-173.54,-0.57309
"447.2441 / 12.76",-261.89,-0.79721
"447.2447 / 9.07",-112.82,-0.39015
"447.2453 / 13.32  MH",-199.14,-0.62128
"447.2785 / 21.69  M3H3",-26.615,-0.27679
"447.6853 / 2.67",-54.391,-0.30684
"447.7167 / 17.53  M2H2",-139.41,-0.56035
"447.9099 / 15.75",-223.1,-0.73471
"448.1090 / 4.16",67.738,0.26584
"448.2111 / 7.58",-236.46,-0.76938
"448.2153 / 17.13  M3H3",-104.54,-0.41095
"448.2214 / 6.52",-166.6,-0.57806
"448.3075 / 22.49",-9.4136,-0.048505
"448.7038 / 15.05",-217.12,-0.73583
"448.7155 / 12.53  M2H2",-207.37,-0.67291
"448.7269 / 20.53  M2H2",-120.58,-0.48895
"448.7461 / 10.65  M2NH42",-165.54,-0.62668
"448.7634 / 19.46",-211.38,-0.74996
"448.9116 / 16.33",-79.289,-0.38636
"448.9123 / 15.79",-177.8,-0.70683
"448.9768 / 1.33",-10.826,-0.39768
"449.1400 / 19.21",33.693,0.16873
"449.1776 / 19.95",3.5285,0.021008
"449.2013 / 8.81",-79.776,-0.29446
"449.2064 / 7.29",-174.8,-0.64859
"449.2083 / 18.27",-145.28,-0.53643
"449.2193 / 12.48",-229.26,-0.7176
"449.2232 / 17.89",-142.05,-0.46438
"449.2236 / 2.45",-151.79,-0.53552
"449.2245 / 4.62",-243.26,-0.70287
"449.2383 / 11.12  M2H2",-243.79,-0.74102
"449.2386 / 15.21",-207.35,-0.67968
"449.2395 / 12.65  MH",-234.66,-0.70118
"449.2516 / 7.32",-200.45,-0.64215
"449.2754 / 18.30",-188.87,-0.66546
"449.2767 / 17.63",-183.98,-0.60664
"449.5027 / 7.41",-149.76,-0.54222
"449.6923 / 8.66  M2H2",-145.55,-0.577
"449.7179 / 12.50",-183.8,-0.70864
"449.7203 / 14.74",-167.47,-0.6107
"449.7467 / 18.49  M2H2",-164.71,-0.56953
"449.7488 / 19.19",-270.88,-0.77053
"450.1276 / 16.27",-122.16,-0.53072
"450.1951 / 6.98  M2H2",-167.28,-0.59794
"450.2171 / 10.13  MHNa2",-219.53,-0.71477
"450.2354 / 10.37",-212.84,-0.69452
"450.2481 / 20.92  MHNa2",-5.943,-0.072201
"450.2561 / 19.06",-180.04,-0.57114
"450.5794 / 16.56  M3H3",-157.81,-0.54019
"450.5800 / 17.56  M3H3",-152.46,-0.52441
"450.5805 / 15.98  M3H3",-126.94,-0.47135
"450.7153 / 8.50  MHK2",-192.02,-0.66153
"450.7272 / 9.84",-183.52,-0.71875
"450.7450 / 14.10  M2H2",-266.59,-0.76796
"450.7552 / 14.84",-185.87,-0.65561
"450.8990 / 11.01",-216.29,-0.68796
"450.9191 / 12.46  M3H3",-119.87,-0.47361
"451.1571 / 2.05",88.123,0.37809
"451.2184 / 22.10",5.8828,0.082841
"451.2185 / 14.12",-211.73,-0.69787
"451.2195 / 11.27",-258.44,-0.80679
"451.2202 / 10.58",-206.22,-0.60693
"451.2294 / 6.89",-254.31,-0.76529
"451.2298 / 7.89",-246.14,-0.72741
"451.2515 / 12.54  MNa",-246.72,-0.69922
"451.2658 / 4.54  MNH4",-138.99,-0.54006
"451.2662 / 7.98",-200.28,-0.57384
"451.2669 / 11.29",-227.29,-0.73312
"451.2770 / 2.73",-202.26,-0.66844
"451.7486 / 11.00",-164.76,-0.53621
"452.1500 / 21.74",3.141,0.13563
"452.1622 / 21.74",7.2642,0.41609
"452.1779 / 11.64  MNa",-151.02,-0.56949
"452.2081 / 14.12",-130.96,-0.50021
"452.2125 / 3.57",-148.09,-0.57691
"452.2162 / 9.87  M3H3",-185.51,-0.66326
"452.2237 / 17.40  M2Na2",-143.99,-0.526
"452.2252 / 2.56",-177.96,-0.64859
"452.2443 / 9.94",-233.08,-0.77802
"452.2561 / 12.48",-237.66,-0.75746
"452.2798 / 14.04",-241.7,-0.76372
"452.7024 / 13.05",-238.39,-0.73356
"452.7380 / 16.83",-239.94,-0.74443
"452.9243 / 10.55  M3H3",-218.4,-0.63918
"453.0506 / 2.08",134.99,0.62346
"453.1227 / 5.01",-181.53,-0.63406
"453.1563 / 22.28",3.6778,0.11343
"453.1664 / 25.81",-0.10892,-0.004152
"453.1684 / 21.90  MK",9.2801,0.19314
"453.1953 / 3.69",-245.81,-0.7908
"453.1969 / 5.54  2MH",-154.18,-0.55062
"453.1973 / 8.89",-120.02,-0.43686
"453.1975 / 6.91",-224.64,-0.78338
"453.1982 / 6.29",-193.94,-0.64094
"453.2048 / 17.72",-5.3364,-0.12215
"453.2115 / 10.42  M2H2",-257.25,-0.73209
"453.2346 / 9.64",-258.96,-0.77165
"453.2505 / 24.31  MK",0.58341,0.051653
"453.2611 / 24.30  MK",4.778,0.46272
"453.2704 / 20.47",-61.723,-0.27999
"453.2975 / 23.56  MNa",13.746,0.15979
"453.3312 / 20.35",-9.3207,-0.081884
"453.3431 / 11.10",-11.417,-0.037032
"453.3446 / 20.36",-5.3215,-0.04682
"453.5062 / 16.56",-209.92,-0.67427
"453.7125 / 10.42",-260.73,-0.78388
"453.7212 / 8.60  M2Na2",-186.72,-0.61428
"453.7254 / 11.58",-142.1,-0.57704
"453.7366 / 10.31",-233.83,-0.71474
"453.7416 / 17.58  M2",-247.42,-0.70256
"453.7487 / 10.15",-199.17,-0.66273
"453.9868 / 10.31",-109.7,-0.43623
"453.9985 / 10.28",-103.3,-0.4183
"454.0160 / 18.65",-64.931,-0.34915
"454.0491 / 14.97",-75.168,-0.33547
"454.1498 / 13.14",-85.439,-0.33686
"454.1721 / 21.88  MK",9.1083,0.20932
"454.2061 / 14.55  M3H3",-203.43,-0.69283
"454.2342 / 9.65",-210.66,-0.7142
"454.2554 / 17.19  MHNa2",-170.46,-0.59856
"454.2638 / 18.65",-104.08,-0.40093
"454.3484 / 20.33  MH",-1.439,-0.011664
"454.3708 / 23.15  MNH4",-59.717,-0.4767
"454.5883 / 21.66  M2HNa3",-43.214,-0.1806
"454.7292 / 12.12  M2H2",-105.79,-0.42875
"455.2047 / 18.11",-87.221,-0.38173
"455.2131 / 5.15  MNa",-170.28,-0.56796
"455.2179 / 23.64",15.549,0.074479
"455.3344 / 23.59  MH",-5.0907,-0.05593
"455.7022 / 18.12",-152.95,-0.5865
"455.7921 / 19.10  MNH4",-102.41,-0.47605
"456.1891 / 21.08",-70.654,-0.49796
"456.2090 / 11.28",-154.49,-0.58685
"456.2203 / 16.44",-180.81,-0.6178
"456.2447 / 8.25",-203.5,-0.60977
"456.2529 / 3.24  M2H2",-206.49,-0.66143
"456.2567 / 13.16",-191.53,-0.59409
"456.2712 / 13.14",-193.73,-0.59595
"456.2799 / 18.33",-190.65,-0.65889
"456.2800 / 10.36",-185.86,-0.6399
"456.2800 / 8.56",-167.3,-0.51235
"456.2808 / 15.91",-230.26,-0.74198
"456.5211 / 13.17",-119.85,-0.4306
"456.6828 / 15.07",-163.85,-0.62189
"456.7499 / 8.51  M2H2",-207.13,-0.65986
"457.0094 / 13.46  M4H4",-203.32,-0.56977
"457.1908 / 3.72  MNa",-15.336,-0.058398
"457.1917 / 2.71",-166.61,-0.5852
"457.2024 / 20.94",-46.491,-0.15934
"457.2179 / 13.04",-196.79,-0.72275
"457.2240 / 10.57",-145.45,-0.50612
"457.2392 / 12.06",-208.3,-0.69856
"457.2398 / 12.92",-192.24,-0.64049
"457.2501 / 10.64",-85.958,-0.3449
"457.2658 / 18.03",-217.48,-0.71352
"457.2661 / 11.33  MH",-276.91,-0.72711
"457.2781 / 22.85",23.762,0.27492
"457.2806 / 24.05",-31.678,-0.62397
"457.5515 / 11.63  M3H3",-89.657,-0.3888
"457.7416 / 16.98  M2H2",-207.87,-0.68988
"458.2361 / 2.58",-183.85,-0.59345
"458.2427 / 14.00  M",-256.22,-0.79658
"458.2499 / 8.24  M2H2",-232.86,-0.76238
"458.2543 / 14.65",-228.19,-0.72551
"458.2607 / 5.94",-206.81,-0.68046
"458.2625 / 12.76",-192.01,-0.66334
"458.2689 / 11.41",-228.19,-0.69342
"458.2698 / 13.77  MNH4",-223.57,-0.76704
"458.2703 / 20.08",-188.71,-0.65839
"458.2738 / 1.87",-224.52,-0.72391
"458.3085 / 7.25",-203.99,-0.64902
"458.3097 / 5.68",-142.56,-0.52604
"458.3104 / 17.19",-95.289,-0.41671
"458.5876 / 11.84  M3H3",-63.611,-0.32765
"458.6897 / 17.21",-192.78,-0.69913
"458.7073 / 17.53  M2",-173.13,-0.6371
"458.7486 / 10.45",-178.71,-0.64039
"458.8896 / 6.64  M3H3",-122.95,-0.47079
"458.9026 / 6.35  M3H3",-105.25,-0.4584
"459.1896 / 23.92",0.3139,0.026911
"459.2006 / 23.88",3.5046,0.52981
"459.2324 / 9.33",-182.22,-0.68858
"459.2336 / 17.84  M2H2",-37.956,-0.35397
"459.2609 / 16.14",-180.42,-0.63556
"459.2700 / 11.12  M2H2",-216.65,-0.71325
"459.2784 / 18.82  MH",-13.973,-0.40503
"459.2798 / 14.32",-206.62,-0.70075
"459.2919 / 12.43  MNH4",-191.17,-0.64761
"459.3108 / 5.61",-99.867,-0.43206
"459.3148 / 17.82",-252.94,-0.77415
"459.3268 / 23.21",-62.192,-0.50447
"459.4832 / 17.84  M2H2",-88.942,-0.30721
"459.7241 / 11.79",-141.64,-0.54801
"459.7442 / 17.82  M2H2",-183.61,-0.54223
"459.7504 / 10.67  M2H2",-288.83,-0.77602
"460.2171 / 8.70",-85.392,-0.33676
"460.2185 / 10.88",-187.3,-0.60013
"460.2188 / 9.86",-204.4,-0.62702
"460.2252 / 11.83",57.354,0.22476
"460.2400 / 8.45  MNH4",-183.43,-0.57599
"460.2400 / 9.91",-244.55,-0.70078
"460.2401 / 7.93",-245.48,-0.75111
"460.2406 / 4.06  MH",-241.26,-0.73826
"460.2410 / 6.58",-147.19,-0.51345
"460.2442 / 4.89",-191.18,-0.62212
"460.2518 / 10.20  M2HNa3",-225.47,-0.70632
"460.2534 / 15.87",-195.31,-0.68365
"460.2770 / 12.69",-211.88,-0.65248
"460.3109 / 7.28",-142.9,-0.58325
"460.3125 / 2.54",-175.04,-0.62322
"460.5122 / 10.19",-46.938,-0.26496
"460.7352 / 18.49",-114.75,-0.50121
"460.7359 / 12.33",-178.95,-0.65512
"460.7522 / 8.57",-59.095,-0.30323
"460.7608 / 10.35",-223.91,-0.72206
"461.0053 / 12.53  M4H4",-124.59,-0.42817
"461.0150 / 14.44",-23.425,-0.12229
"461.2230 / 6.05",-209.85,-0.66993
"461.2329 / 12.45",-136.01,-0.4432
"461.2336 / 19.44  M2H2",-145.19,-0.54443
"461.2424 / 7.90",-157.47,-0.57404
"461.2470 / 12.43",-229.18,-0.63533
"461.2506 / 2.60",-106.96,-0.40278
"461.2534 / 3.49",-119.37,-0.44272
"461.2554 / 16.15  M5H5",-217.58,-0.68289
"461.2598 / 12.46",-259.02,-0.6906
"461.2668 / 14.40",-193.57,-0.6737
"461.7179 / 11.10",-174.06,-0.68039
"461.7569 / 12.72  M2H2",-235.61,-0.72499
"461.9536 / 21.75  M3H3",-53.469,-0.23215
"462.1027 / 10.28",-275.41,-0.87166
"462.2017 / 9.77",-146.43,-0.53255
"462.2026 / 10.38  M3H3",-182.08,-0.63045
"462.2152 / 4.12",-145.42,-0.49852
"462.2174 / 3.22",-170.48,-0.57662
"462.2626 / 12.42",-232.51,-0.7499
"462.7004 / 14.98",-178.81,-0.65751
"462.9890 / 10.50  M4H4",-94.498,-0.41314
"463.1578 / 20.08",8.8647,0.042062
"463.1798 / 3.25  MNa",-129.78,-0.50317
"463.2022 / 23.59",2.9639,0.059064
"463.2120 / 16.63  MH",-204.43,-0.69296
"463.2397 / 5.85",-235.74,-0.7192
"463.2536 / 16.56",-194.01,-0.64137
"463.2544 / 15.78",-215.35,-0.69162
"463.2558 / 12.00",-207.31,-0.72974
"463.2625 / 17.81  MHNH42",-157.68,-0.55191
"463.2910 / 23.28",-13.279,-0.38651
"463.3005 / 24.04",-39.819,-0.59756
"463.3070 / 23.25",-10.857,-0.31189
"463.3141 / 9.47  MNa",-13.92,-0.064713
"463.3142 / 17.73  MNa",-97.315,-0.34715
"463.7132 / 16.59",-154.63,-0.5744
"463.7179 / 18.11  M2H2",-218.03,-0.66177
"463.7371 / 14.70  M2H2",-133.54,-0.53954
"463.7592 / 10.80  M2H2",-184.21,-0.6448
"463.9136 / 13.53  M3H3",-279.3,-0.7725
"464.2105 / 17.77",-157.48,-0.57785
"464.2178 / 20.82",-61.573,-0.2969
"464.2187 / 7.33",-211.08,-0.71302
"464.2341 / 2.25",-154.13,-0.56566
"464.2405 / 16.00  M3H3",-232.75,-0.7499
"464.2494 / 10.84",-242.24,-0.74671
"464.2882 / 17.65",-217.79,-0.74289
"464.6809 / 14.46",-160.95,-0.57453
"464.7114 / 8.60",-131.86,-0.54877
"464.7392 / 17.10  M2H2",-179.38,-0.62852
"464.7587 / 14.56  M2H2",-252.15,-0.77652
"465.1319 / 16.15",-70.951,-0.27867
"465.1648 / 3.21",-183.78,-0.57073
"465.1999 / 3.44",-228.76,-0.77739
"465.2028 / 9.41",-207.06,-0.7129
"465.2064 / 23.92",0.5637,0.045243
"465.2146 / 15.01",-192.89,-0.69285
"465.2188 / 23.88",3.3964,0.49791
"465.2350 / 16.05  MH2Na3",-204.61,-0.66786
"465.2600 / 16.14",-165.22,-0.55202
"465.2614 / 10.62  M2H2",-237.93,-0.7505
"465.2696 / 15.50  MNa",-249.67,-0.79162
"465.2705 / 14.34",-246,-0.73873
"465.2708 / 17.20",-211.77,-0.65284
"465.3075 / 24.76",-0.84372,-0.082885
"465.3190 / 24.71",2.1548,0.29469
"465.7375 / 5.37",-151.22,-0.57155
"465.7626 / 13.66  M2H2",-237.43,-0.73155
"465.7665 / 12.92",-178.91,-0.63671
"466.1667 / 11.22  MNa",-75.857,-0.3345
"466.1950 / 15.02",-114.64,-0.47486
"466.1974 / 22.06",19.879,0.095145
"466.2104 / 19.57",-136.91,-0.55461
"466.2211 / 23.92",3.9738,0.48029
"466.2244 / 8.07  M3H3",-180.71,-0.58223
"466.2280 / 15.30",-232.29,-0.7923
"466.2350 / 10.16  M2H2",-185.38,-0.66544
"466.2477 / 11.66",-223.3,-0.71974
"466.2640 / 4.52  MCH3OHH",-14.348,-0.066202
"466.2679 / 15.17  M2H2",-277.06,-0.78964
"466.2680 / 18.26  M3H3",-237.75,-0.72997
"466.2716 / 20.18",-87.769,-0.34965
"466.3166 / 23.64",-104.11,-0.4873
"466.3177 / 22.49  MH",-24.237,-0.13549
"466.3228 / 24.70",2.2784,0.31221
"466.3302 / 23.62",-106.04,-0.44232
"466.5472 / 11.12",-126.47,-0.5127
"466.7276 / 10.91  M2H2",-238.01,-0.75825
"466.7506 / 11.66  M2H2",-243.28,-0.76608
"466.7658 / 16.35  M2H2",-115.45,-0.41633
"467.1613 / 22.62",68.265,0.72105
"467.1769 / 5.95",-195.04,-0.68819
"467.1957 / 22.07",12.934,0.23144
"467.2369 / 9.93",-219.16,-0.7367
"467.2453 / 9.21",-178.51,-0.64017
"467.2498 / 11.48",-244.24,-0.76658
"467.2504 / 14.84",-235.9,-0.76471
"467.6092 / 21.69",-39.632,-0.19391
"467.6130 / 11.95",-122.58,-0.4455
"468.5997 / 17.21",-111.27,-0.49796
"468.7141 / 15.70  M2H2",-288.79,-0.77886
"468.8881 / 12.85",-162.65,-0.62267
"469.1914 / 12.24  M2H2",-241.73,-0.74279
"469.1919 / 6.41",-150.7,-0.55388
"469.1937 / 5.23",-204.55,-0.66237
"469.2166 / 2.34",-186.32,-0.63441
"469.2245 / 10.64",-188.83,-0.69897
"469.2312 / 17.04",-127.32,-0.51189
"469.2616 / 18.73  M2H2",-187.88,-0.624
"469.2650 / 21.69  M2HNa3",28.806,0.12046
"469.3143 / 14.48",-165.87,-0.56727
"469.3265 / 13.45",-55.45,-0.23343
"469.3288 / 19.18  M2H2",-34.955,-0.1383
"469.7602 / 18.75",-226.2,-0.75678
"469.7822 / 21.01",39.919,0.19526
"470.2720 / 9.68",-263.18,-0.78306
"470.2724 / 11.54",-246.6,-0.74365
"470.3315 / 13.95",-161.73,-0.58737
"470.3325 / 5.49",-165.15,-0.61391
"470.7351 / 17.82  MHNa2",-164.72,-0.62228
"470.7358 / 11.78  M2NH42",-203.67,-0.63234
"470.7539 / 18.84  M4H4",-226.49,-0.75366
"470.7597 / 10.33",-246.01,-0.75369
"470.7642 / 17.13  M2H2",-153.41,-0.47054
"471.0187 / 1.15",69.326,0.43654
"471.2077 / 2.64  MH",-124.02,-0.44191
"471.2111 / 23.00  MH",-44.153,-0.25332
"471.2198 / 12.62  MNa",-137.38,-0.56121
"471.2218 / 11.26  M2Na2",-190.35,-0.61064
"471.2557 / 6.34",-206.14,-0.70005
"471.2570 / 7.04  MNH4",-247.61,-0.72203
"471.2586 / 18.20",-166.47,-0.5506
"471.3068 / 19.83",-13.323,-0.11976
"471.5973 / 6.99  M3H3",-107.05,-0.4343
"471.7555 / 10.64  M2H2",-174.37,-0.65051
"471.7727 / 13.95  M2H2",-210.68,-0.72774
"471.8860 / 14.04  M3H3",-145.42,-0.57722
"472.2051 / 11.02",-237.9,-0.74244
"472.2245 / 19.44  MHNa2",-175.33,-0.64722
"472.2396 / 7.51",-198.12,-0.67021
"472.2423 / 15.01",-222.08,-0.7349
"472.2587 / 7.05",-226.65,-0.72146
"472.2623 / 10.97  M2H2",-198.3,-0.708
"472.2650 / 21.01  2M",-12.455,-0.13475
"472.2740 / 7.69",-143.14,-0.49388
"472.2762 / 19.05",-190.19,-0.65289
"472.2881 / 1.93",-254.61,-0.76023
"472.2884 / 2.47  2MNH4",-160.07,-0.55532
"472.3047 / 22.89  MH",-26.52,-0.13388
"472.5699 / 15.04",-169.13,-0.62664
"472.5866 / 19.30  M3H3",-206.73,-0.71818
"472.6863 / 11.31  MHK2",-231.09,-0.77315
"472.7398 / 10.98  M2H2",-293.97,-0.82178
"472.7467 / 12.33",-134.12,-0.5251
"472.7573 / 8.66  M2H2",-56.86,-0.21118
"472.7637 / 21.01",-20.415,-0.13472
"472.7643 / 3.80  M2H2",-197.47,-0.63596
"472.7718 / 16.70  M2H2",-190.68,-0.62236
"472.7789 / 13.07",-252.41,-0.76457
"472.9493 / 6.85",-64.791,-0.31264
"473.1966 / 17.69",9.2766,0.15108
"473.2002 / 6.81",-164,-0.60835
"473.2181 / 4.41",-202.13,-0.68092
"473.2182 / 19.57  M3H3",-143.12,-0.55553
"473.2348 / 12.48",-239.18,-0.74109
"473.2389 / 20.21",-137.66,-0.60835
"473.2970 / 16.49",-244.39,-0.75335
"473.2978 / 19.48",-224.59,-0.75373
"473.3323 / 23.61",-2.61,-0.093492
"473.3456 / 23.61",0.13467,0.006202
"473.7387 / 12.10",-166.85,-0.61397
"473.7540 / 13.50  M2H2",-205.48,-0.69842
"473.9703 / 10.94",-161.76,-0.66083
"474.1729 / 11.41",47.005,0.23245
"474.1827 / 4.12",-213.14,-0.64454
"474.2012 / 16.59",-156.63,-0.60594
"474.2207 / 7.95",-210.61,-0.66302
"474.2458 / 8.12",-260.53,-0.76156
"474.2551 / 7.13  2MNH4",-177.32,-0.58026
"474.2572 / 9.89  MH",-234.39,-0.73141
"474.2622 / 11.85  M2H2",-249.56,-0.76685
"474.2660 / 2.42",-211.34,-0.68838
"474.2743 / 3.61  MH",-199.02,-0.67023
"474.2785 / 21.88",0.34022,0.011549
"474.2907 / 3.22",-183.78,-0.62342
"474.2908 / 8.65",-160.54,-0.58335
"474.2923 / 12.35  MCH3OHH",-233.96,-0.73076
"474.2926 / 14.46",-183.39,-0.64489
"474.2928 / 13.84  MHNH42",-247.06,-0.73471
"474.7081 / 18.11  MHNa2",-191.03,-0.67131
"475.2202 / 16.95",-186.18,-0.67385
"475.2384 / 10.54  M2",-222.03,-0.73424
"475.2405 / 8.40  MCH3OHH",-235.28,-0.76808
"475.2508 / 14.89  M2H2",-127.28,-0.44569
"475.2508 / 3.83",-158.78,-0.56843
"475.2509 / 2.32",-185.26,-0.59209
"475.2565 / 13.91",-213.1,-0.72973
"475.2874 / 5.13",-98.597,-0.45659
"475.2894 / 8.31",-184.61,-0.62677
"475.2926 / 18.36",-208.32,-0.68077
"475.3129 / 20.35",-10.83,-0.12793
"475.3130 / 11.18",-17.521,-0.10472
"475.3254 / 10.27  2MNa",-40.599,-0.15007
"475.3259 / 11.13  2MNa",-9.174,-0.05458
"475.3267 / 20.36",-7.5518,-0.089623
"475.5946 / 10.39  M3H3",-168.45,-0.59723
"475.7346 / 9.40  M2H2",-185.92,-0.61329
