"","Fold Change","log2(FC)"
"585.2655 / 11.33",0.00043571,-11.164
"723.3419 / 11.04  MNa",0.00043623,-11.163
"664.2924 / 19.01",0.00043654,-11.162
"530.3178 / 15.53",0.00043716,-11.16
"772.3838 / 12.50",0.00043772,-11.158
"314.2069 / 12.29",0.00043801,-11.157
"401.2390 / 9.95",0.00043784,-11.157
"528.9483 / 10.56  M3H3",0.00043809,-11.156
"337.1653 / 8.12",0.00043892,-11.154
"357.6762 / 5.81",0.00043888,-11.154
"610.2592 / 17.29  M-2H2-",0.00043874,-11.154
"624.3465 / 13.87",0.00043899,-11.154
"83.0244 / 7.52",0.00043892,-11.154
"343.6915 / 7.31  M2H2",0.00043914,-11.153
"496.2390 / 5.05",0.00043905,-11.153
"508.2509 / 7.64",0.00043924,-11.153
"527.3548 / 8.97",0.00043938,-11.152
"855.2894 / 14.41",0.00043935,-11.152
"910.9877 / 13.49  M-2H2-",0.0004394,-11.152
"417.2060 / 13.12",0.00044017,-11.15
"513.7706 / 13.40",0.00043999,-11.15
"654.3568 / 8.18",0.00044032,-11.149
"676.3687 / 18.49",0.00044042,-11.149
"720.3937 / 13.87",0.00044047,-11.149
"848.4313 / 9.57  M-2H2-",0.00044045,-11.149
"332.1809 / 5.98",0.00044083,-11.148
"372.2243 / 11.65",0.00044075,-11.148
"473.9703 / 10.94",0.00044097,-11.147
"571.8145 / 11.78  M2H2",0.00044099,-11.147
"621.3342 / 9.69  MNa-2H-",0.00044099,-11.147
"730.0827 / 18.02  M3H3",0.00044124,-11.146
"968.3731 / 18.12",0.00044132,-11.146
"470.2713 / 2.51",0.00044152,-11.145
"473.2344 / 3.82",0.00044172,-11.145
"205.1265 / 3.57",0.00044211,-11.143
"779.3239 / 10.93",0.00044327,-11.14
"449.2245 / 4.62",0.00044369,-11.138
"572.3016 / 9.64",0.00044362,-11.138
"446.1892 / 14.15",0.00044417,-11.137
"452.2443 / 9.94",0.00044445,-11.136
"270.1932 / 9.68",0.00044471,-11.135
"468.5997 / 17.21",0.00044468,-11.135
"472.1667 / 4.10",0.00044477,-11.135
"743.3597 / 18.15",0.00044469,-11.135
"792.3977 / 12.31  MNa-2H-",0.00044477,-11.135
"439.2174 / 17.74",0.00044495,-11.134
"724.3213 / 16.75",0.00044519,-11.133
"552.8153 / 19.70  M2H2",0.00044548,-11.132
"662.3157 / 16.27",0.00044553,-11.132
"818.4449 / 13.05",0.00044548,-11.132
"433.2272 / 12.00  M2H2",0.00044592,-11.131
"524.7181 / 17.61",0.00044688,-11.128
"550.2834 / 14.03  MNa-2H-",0.00044681,-11.128
"527.3183 / 15.42",0.00044753,-11.126
"546.2753 / 10.70  M-H-",0.00044743,-11.126
"452.2162 / 9.87  M3H3",0.00044788,-11.125
"583.8334 / 19.53  M2H2",0.00044772,-11.125
"585.7760 / 16.33  M2H2",0.00044777,-11.125
"931.5305 / 20.18",0.00044805,-11.124
"489.7386 / 15.89  M-2H2-",0.00044795,-11.124
"728.3920 / 15.14",0.00044816,-11.124
"550.2964 / 10.23  MNa",0.00044844,-11.123
"547.2679 / 17.80",0.00044903,-11.121
"584.5706 / 19.08  M4H4",0.00044929,-11.12
"708.2849 / 13.42",0.00044951,-11.119
"960.4255 / 17.80",0.00044974,-11.119
"465.7375 / 5.37",0.00044981,-11.118
"719.3351 / 15.11",0.0004503,-11.117
"560.3299 / 15.54",0.00045065,-11.116
"829.4413 / 10.17",0.00045049,-11.116
"961.4710 / 17.13",0.00045045,-11.116
"548.2545 / 7.80",0.00045106,-11.114
"738.8479 / 13.31",0.00045108,-11.114
"515.7496 / 20.07",0.00045154,-11.113
"688.3000 / 9.23",0.00045146,-11.113
"272.6682 / 3.53",0.00045178,-11.112
"571.7358 / 15.92",0.00045185,-11.112
"655.3500 / 16.31",0.00045198,-11.111
"726.3298 / 10.83",0.00045206,-11.111
"572.7153 / 18.72  M-2H2-",0.00045242,-11.11
"702.3408 / 16.75  MNa",0.00045346,-11.107
"347.1883 / 7.98  M3H3",0.00045371,-11.106
"635.3373 / 18.75  MNa-2H-",0.00045422,-11.104
"868.4442 / 18.63  M-H-",0.00045452,-11.103
"711.3737 / 12.80",0.00045484,-11.102
"365.6734 / 3.80",0.00045525,-11.101
"472.7467 / 12.33",0.00045541,-11.101
"454.2073 / 16.47",0.00045603,-11.099
"529.2322 / 14.08",0.00045668,-11.097
"688.3523 / 16.16  MFA-H-",0.00045648,-11.097
"359.7035 / 9.16",0.00045672,-11.096
"399.7269 / 11.20",0.00045695,-11.096
"398.2227 / 8.48",0.00045755,-11.094
"766.3541 / 14.76",0.0004579,-11.093
"474.2012 / 16.59",0.0004582,-11.092
"584.3736 / 14.82",0.00045817,-11.092
"751.6823 / 19.38",0.00045805,-11.092
"414.2339 / 12.59",0.000458,-11.092
"683.2551 / 7.79",0.00045871,-11.09
"938.4429 / 17.77  MNa-2H-",0.00045878,-11.09
"603.2816 / 17.99  M2H2",0.000459,-11.089
"609.2804 / 0.47",2176.3,11.088
"565.2404 / 9.00  MK-2H-",0.00045928,-11.088
"469.1919 / 6.41",0.00046035,-11.085
"547.2163 / 14.58",0.00046048,-11.085
"671.3901 / 13.98",0.00046125,-11.082
"497.2759 / 10.47",0.00046147,-11.081
"390.6943 / 6.92  M",0.00046221,-11.079
"485.3090 / 6.36",0.00046271,-11.078
"769.3200 / 18.31",0.00046283,-11.077
"597.3220 / 15.04",0.00046275,-11.077
"405.2290 / 5.29",0.00046315,-11.076
"558.2505 / 12.39  M2H2",0.0004633,-11.076
"776.3568 / 6.91",0.00046316,-11.076
"569.2200 / 3.34",0.00046358,-11.075
"661.3177 / 8.56  MFA-H-",0.00046376,-11.074
"438.2139 / 9.84",0.00046426,-11.073
"686.3711 / 14.03",0.00046411,-11.073
"340.1857 / 13.68  M-H2O-H-",0.00046465,-11.072
"901.5366 / 14.03",0.00046462,-11.072
"705.3661 / 9.94",0.00046494,-11.071
"344.2175 / 7.46",0.0004651,-11.07
"522.2526 / 8.27  MNa-2H-",0.00046534,-11.069
"500.2725 / 7.24",0.00046587,-11.068
"316.1871 / 8.21",0.00046597,-11.067
"511.2478 / 5.20  MNa",0.00046663,-11.065
"610.9510 / 14.28",0.00046679,-11.065
"598.2884 / 18.34",0.00046683,-11.065
"455.2498 / 18.03",0.0004672,-11.064
"630.7752 / 17.54  M-2H2-",0.00046748,-11.063
"469.2312 / 17.04",0.00046765,-11.062
"444.5819 / 15.95  M3H3",0.00046809,-11.061
"633.3615 / 18.85",0.00046885,-11.059
"799.4292 / 15.71",0.00046869,-11.059
"421.2082 / 2.10",0.00046939,-11.057
"548.2018 / 11.28",0.00046969,-11.056
"788.3734 / 16.73",0.00047015,-11.055
"409.6923 / 10.13",0.00047228,-11.048
"812.3191 / 13.50  MNa",0.0004723,-11.048
"528.3027 / 15.55",0.00047217,-11.048
"424.2663 / 18.47",0.00047278,-11.047
"700.5272 / 25.71",0.00047278,-11.047
"447.2051 / 17.86",0.00047247,-11.047
"726.4070 / 7.92  M-H-",0.00047337,-11.045
"993.4795 / 13.33",0.00047323,-11.045
"340.6947 / 12.55",0.00047376,-11.044
"707.3046 / 19.57  M-2H2-",0.00047359,-11.044
"891.4222 / 10.98  MNa-2H-",0.00047404,-11.043
"570.7836 / 12.15  M2H2",0.00047427,-11.042
"581.2830 / 17.63",0.00047414,-11.042
"373.2092 / 6.86",0.00047429,-11.042
"676.3346 / 16.87",0.00047471,-11.041
"713.3231 / 12.00  MNa-2H-",0.00047493,-11.04
"634.3392 / 6.01",0.00047604,-11.037
"779.8166 / 16.76  M-2H2-",0.00047657,-11.035
"450.1276 / 16.27",0.00047705,-11.034
"894.4266 / 17.53",0.00047682,-11.034
"732.3289 / 11.80  MNa-2H-",0.0004768,-11.034
"341.6463 / 11.25",0.00047784,-11.031
"351.6957 / 7.93  M2H2",0.00047798,-11.031
"528.7473 / 15.79",0.00047804,-11.031
"576.2457 / 18.56  M-H-",0.00047788,-11.031
"828.4375 / 11.33  2MNH4",0.00047835,-11.03
"681.3059 / 12.13  MNa",0.00047844,-11.029
"520.2511 / 7.29",0.00047892,-11.028
"639.9383 / 18.05",0.00047926,-11.027
"674.7088 / 18.49  M5H5",0.00047913,-11.027
"866.4273 / 14.44  MFA-H-",0.00047931,-11.027
"755.3473 / 18.66",0.00047988,-11.025
"399.2595 / 16.45",0.0004807,-11.023
"774.4045 / 17.45",0.00048049,-11.023
"971.5337 / 9.41",0.00048063,-11.023
"618.2719 / 13.02",0.00048119,-11.021
"875.4244 / 10.13  M-H-",0.0004817,-11.02
"702.3677 / 7.29  M-H-",0.00048181,-11.019
"329.1829 / 2.18",0.00048249,-11.017
"639.3007 / 10.37",0.00048256,-11.017
"516.2419 / 7.15",0.00048273,-11.016
"563.2436 / 14.23  MNa-2H-",0.00048279,-11.016
"567.3604 / 11.21",0.00048274,-11.016
"756.3910 / 10.73  M-H-",0.00048296,-11.016
"459.7241 / 11.79",0.00048309,-11.015
"575.3400 / 15.31",0.00048311,-11.015
"439.1820 / 6.48",0.00048362,-11.014
"663.2781 / 7.70",0.00048348,-11.014
"465.2345 / 14.85",0.00048394,-11.013
"738.3488 / 19.46  MNa-2H-",0.00048404,-11.013
"590.2780 / 11.00  MAcO-H-",0.00048491,-11.01
"916.3881 / 14.08",0.00048505,-11.01
"817.2980 / 11.26",0.00048508,-11.009
"841.3779 / 19.31",0.00048543,-11.008
"561.2842 / 17.71",0.00048572,-11.008
"215.1395 / 2.16",0.00048606,-11.007
"703.3336 / 14.79  2MNa",0.00048639,-11.006
"484.2371 / 12.43  M2H2",0.00048667,-11.005
"510.2530 / 8.05",0.00048644,-11.005
"629.2906 / 8.71",0.00048675,-11.005
"614.3496 / 15.20",0.00048689,-11.004
"717.3201 / 15.11",0.00048687,-11.004
"530.2581 / 11.34  M-H-",0.00048723,-11.003
"857.4105 / 11.79",0.00048727,-11.003
"445.2136 / 8.60",0.00048769,-11.002
"684.8283 / 16.02  M2H2",0.0004877,-11.002
"566.2051 / 11.15  MNa-2H-",0.00048771,-11.002
"577.2072 / 15.22  MCl-",0.00048792,-11.001
"643.3405 / 7.67",0.0004879,-11.001
"868.3365 / 12.24",0.00048783,-11.001
"560.3044 / 4.64",0.00048824,-11
"616.3681 / 2.09",0.00048868,-10.999
"527.2818 / 9.28  M-H-",0.00048848,-10.999
"601.2746 / 3.80",0.00048884,-10.998
"845.3406 / 12.81  MNa-2H-",0.00048933,-10.997
"477.2440 / 11.78  M2H2",0.00048959,-10.996
"577.2987 / 10.10  2MNa-2H-",0.00048972,-10.996
"725.3850 / 18.69",0.00048956,-10.996
"509.2571 / 15.27",0.00048992,-10.995
"585.2311 / 17.55",0.00049047,-10.994
"645.2853 / 8.22",0.00049018,-10.994
"347.1843 / 12.00",0.00049117,-10.992
"461.2410 / 15.80",0.00049119,-10.991
"413.2389 / 9.52",0.00049161,-10.99
"805.4463 / 13.65  M-H-",0.00049182,-10.99
"641.3381 / 13.10",0.00049213,-10.989
"470.3325 / 5.49",0.00049284,-10.987
"623.3002 / 10.29  MNa-2H-",0.00049283,-10.987
"396.1163 / 15.16",0.00049298,-10.986
"661.3266 / 13.83  MNa-2H-",0.00049338,-10.985
"704.7995 / 17.86",0.00049386,-10.984
"602.1233 / 12.93",0.00049385,-10.984
"475.2202 / 16.95",0.00049401,-10.983
"520.2603 / 5.12",0.00049412,-10.983
"673.3128 / 7.32  MAcO-H-",0.00049402,-10.983
"539.2446 / 7.76",0.00049457,-10.982
"733.3512 / 12.35",0.0004951,-10.98
"621.8214 / 12.99",0.00049511,-10.98
"754.4099 / 15.61",0.00049546,-10.979
"612.3098 / 13.86",0.00049587,-10.978
"975.5360 / 18.49",0.00049567,-10.978
"413.5694 / 10.02  M3H3",0.00049656,-10.976
"636.3216 / 14.06",0.00049635,-10.976
"413.8720 / 3.14",0.00049674,-10.975
"530.3074 / 14.60",0.00049734,-10.973
"467.1769 / 5.95",0.0004978,-10.972
"639.3448 / 16.47",0.00049801,-10.972
"472.6919 / 18.12",0.00049805,-10.971
"387.2234 / 6.92",0.00049867,-10.97
"559.3350 / 16.47  M-H-",0.00049854,-10.97
"466.5472 / 11.12",0.000499,-10.969
"916.4855 / 10.64",0.00049937,-10.968
"401.6627 / 5.25",0.00050039,-10.965
"408.2079 / 14.08  M2H2",0.00050075,-10.964
"460.6861 / 14.98",0.00050074,-10.964
"468.8881 / 12.85",0.00050089,-10.963
"329.6877 / 9.52",0.00050145,-10.962
"858.3975 / 14.59",0.00050117,-10.962
"695.4487 / 13.98",0.00050144,-10.962
"578.2805 / 12.89",0.00050163,-10.961
"683.3731 / 11.24",0.00050174,-10.961
"569.6476 / 16.09  M3H3",0.00050234,-10.959
"663.3564 / 10.12",0.00050265,-10.958
"345.1423 / 6.27",0.0005028,-10.958
"486.2558 / 5.04  M-H-",0.00050318,-10.957
"460.7352 / 18.49",0.00050358,-10.956
"523.7583 / 18.40",0.0005045,-10.953
"641.7913 / 15.17",0.00050455,-10.953
"375.5323 / 11.05  M3H3",0.00050479,-10.952
"413.1919 / 12.81  MH",0.00050466,-10.952
"519.5391 / 13.82",0.00050466,-10.952
"440.2972 / 8.76",0.00050708,-10.946
"487.2434 / 7.19",0.00050729,-10.945
"391.1951 / 6.47",0.00050721,-10.945
"563.7772 / 10.36",0.00050738,-10.945
"648.2982 / 11.06",0.0005074,-10.945
"767.3480 / 15.97",0.00050717,-10.945
"777.3080 / 10.96",0.00050778,-10.944
"391.7048 / 6.30",0.00050798,-10.943
"408.1817 / 8.28",0.00050822,-10.942
"738.3874 / 8.40",0.00050862,-10.941
"406.1821 / 9.26",0.00050931,-10.939
"439.2312 / 6.24",0.00051011,-10.937
"598.3082 / 14.73  M-2H2-",0.00051032,-10.936
"697.3866 / 17.23  M-H-",0.00051028,-10.936
"546.3095 / 15.65  M-2H2-",0.00051066,-10.935
"392.1849 / 6.03",0.00051173,-10.932
"827.4298 / 13.65  MNa-2H-",0.00051189,-10.932
"243.1711 / 5.70",0.00051232,-10.931
"517.1897 / 13.02",0.00051205,-10.931
"493.2277 / 14.18",0.00051255,-10.93
"892.4486 / 18.63  M-2H2-",0.00051285,-10.929
"908.5578 / 19.11",0.00051316,-10.928
"499.7635 / 14.94  MHK2",0.00051358,-10.927
"839.4036 / 12.80",0.00051363,-10.927
"672.0103 / 14.83  M3H3",0.00051383,-10.926
"759.3898 / 10.50  MH",0.00051387,-10.926
"816.4599 / 19.76  MH",0.00051438,-10.925
"587.2858 / 16.02  M2H2",0.00051455,-10.924
"417.2377 / 8.49",0.0005152,-10.923
"614.3056 / 11.37",0.0005152,-10.923
"423.1865 / 8.82",0.00051539,-10.922
"616.3026 / 10.30  M2H2",0.00051537,-10.922
"437.2021 / 9.36  MNa-2H-",0.00051543,-10.922
"558.2874 / 6.73",0.00051528,-10.922
"405.1978 / 5.29",0.00051576,-10.921
"472.2051 / 11.02",0.00051584,-10.921
"346.1609 / 3.20",0.00051577,-10.921
"657.2810 / 18.72  M-2H2-",0.00051564,-10.921
"765.3210 / 17.68",0.00051561,-10.921
"654.2617 / 10.33",0.00051669,-10.918
"454.2651 / 9.92  M-H-",0.00051685,-10.918
"401.2370 / 4.27",0.00051703,-10.917
"537.2300 / 6.15",0.00051731,-10.917
"577.3082 / 5.61",0.00051731,-10.917
"386.8796 / 12.26",0.00051795,-10.915
"728.3935 / 12.05",0.00051799,-10.915
"618.3807 / 11.87",0.00051811,-10.914
"490.2625 / 7.77",0.00051884,-10.912
"505.2753 / 12.97  MH",0.00051914,-10.912
"738.3232 / 12.00",0.00052008,-10.909
"917.4780 / 10.62",0.00052083,-10.907
"506.2215 / 4.82  MNa-2H-",0.00052124,-10.906
"641.8145 / 14.63  M-2H2-",0.00052126,-10.906
"445.7038 / 11.29  MHK2",0.00052194,-10.904
"455.7022 / 18.12",0.00052195,-10.904
"644.2695 / 17.13",0.00052188,-10.904
"643.3416 / 12.67  M-H-",0.00052232,-10.903
"369.2131 / 8.11  M-H2O-H-",0.00052353,-10.899
"857.3948 / 11.06  2MNa-2H-",0.00052429,-10.897
"537.2297 / 7.76",0.00052487,-10.896
"787.3834 / 15.77",0.00052494,-10.896
"656.2601 / 18.95  MNa-2H-",0.00052584,-10.893
"567.2764 / 12.86",0.0005261,-10.892
"489.9826 / 15.34  M4H4",0.00052647,-10.891
"263.9940 / 21.34",0.0005268,-10.89
"526.2286 / 15.74",0.00052682,-10.89
"481.7525 / 11.65",0.00052738,-10.889
"697.3539 / 9.27",0.00052778,-10.888
"795.4262 / 17.18",0.00052771,-10.888
"439.7230 / 9.04",0.00052794,-10.887
"430.2283 / 6.63",0.00052803,-10.887
"460.7522 / 8.57",0.00052839,-10.886
"201.0265 / 13.10",0.00052825,-10.886
"537.7825 / 20.89  M-2H2-",0.00052833,-10.886
"685.3669 / 13.90",0.00052968,-10.883
"230.1595 / 3.39",0.00052946,-10.883
"490.2759 / 10.39",0.00052954,-10.883
"726.8163 / 17.38",0.00052952,-10.883
"512.7301 / 13.29  M2H2",0.00053034,-10.881
"604.6611 / 10.28",0.00053029,-10.881
"648.2647 / 14.43",0.00053032,-10.881
"586.8038 / 16.78",0.00053015,-10.881
"496.2046 / 16.09  M-2H2-",0.00053049,-10.88
"394.5574 / 13.83",0.00053125,-10.878
"517.2391 / 8.54",0.00053138,-10.878
"725.2649 / 13.30",0.0005314,-10.878
"626.2762 / 7.32",0.00053253,-10.875
"463.2196 / 16.03",0.00053315,-10.873
"597.7525 / 10.34  M-2H2-",0.00053383,-10.871
"489.9388 / 14.67  M3H3",0.00053441,-10.87
"445.2282 / 14.91",0.00053416,-10.87
"653.2960 / 8.09  M-2H2-",0.00053425,-10.87
"329.6264 / 20.60",0.00053526,-10.867
"540.1708 / 14.33  MNa-2H-",0.00053563,-10.866
"637.2431 / 10.96  MNa-2H-",0.00053567,-10.866
"800.4265 / 11.45",0.00053589,-10.866
"479.7829 / 11.64",0.00053673,-10.864
"417.2350 / 9.33  MH",0.00053709,-10.863
"371.4970 / 5.57",0.00053809,-10.86
"149.0240 / 13.06",0.00053858,-10.859
"612.7365 / 19.73  M-2H2-",0.00053896,-10.858
"602.2656 / 13.64",0.00053929,-10.857
"211.1308 / 17.75",1853,10.856
"628.7830 / 16.48",0.00053959,-10.856
"571.7720 / 19.86  MHNa2",0.00053999,-10.855
"601.2282 / 15.96",0.0005399,-10.855
"729.3345 / 3.80",0.00054075,-10.853
"571.2535 / 14.51  M3H3",0.00054122,-10.851
"502.2646 / 17.51  M-H2O-H-",0.00054225,-10.849
"721.3396 / 17.34  MH",0.00054248,-10.848
"390.6973 / 4.76",0.00054307,-10.847
"415.2334 / 16.88",0.00054279,-10.847
"451.1827 / 6.87",0.0005428,-10.847
"894.4352 / 19.85  MNa-2H-",0.00054279,-10.847
"627.3109 / 12.12",0.00054324,-10.846
"413.8823 / 13.33",0.00054405,-10.844
"292.1772 / 7.07",0.00054433,-10.843
"556.2724 / 4.72",0.00054455,-10.843
"946.4737 / 10.84  MNa-2H-",0.0005446,-10.843
"518.2822 / 15.69  MNH4",0.00054466,-10.842
"595.7758 / 15.31",0.0005451,-10.841
"610.2373 / 17.96",0.00054505,-10.841
"565.2957 / 13.59  MNa-2H-",0.00054564,-10.84
"642.3452 / 15.87  M-H-",0.00054543,-10.84
"424.6924 / 16.85",0.00054583,-10.839
"736.8780 / 11.33",0.00054686,-10.837
"387.2222 / 11.24",0.00054676,-10.837
"461.2412 / 16.60",0.00054675,-10.837
"666.3576 / 9.66",0.00054678,-10.837
"990.3985 / 9.69",0.00054664,-10.837
"629.3240 / 12.16",0.00054709,-10.836
"636.2628 / 10.20  M-H-",0.00054721,-10.836
"839.3769 / 15.84  MNa-2H-",0.00054724,-10.836
"503.7338 / 17.08  M2H2",0.000548,-10.834
"708.3925 / 9.26",0.00054842,-10.832
"925.4141 / 16.59  2MH",0.00054895,-10.831
"357.1909 / 10.10",0.00054926,-10.83
"839.3543 / 12.71  MNa-2H-",0.00054984,-10.829
"431.1917 / 9.55  MNa",0.00054995,-10.828
"334.1920 / 10.35",0.00055065,-10.827
"477.5902 / 17.44  M3H3",0.0005504,-10.827
"427.7117 / 12.22",0.00055101,-10.826
"755.8476 / 18.66",0.00055087,-10.826
"529.2287 / 12.64",0.00055123,-10.825
"921.4547 / 19.44",0.00055176,-10.824
"425.7343 / 19.23",0.00055253,-10.822
"335.1351 / 3.70  M-H-",0.00055234,-10.822
"302.6870 / 4.99",0.00055262,-10.821
"543.2031 / 3.50",0.00055272,-10.821
"293.1503 / 5.13",0.00055303,-10.82
"949.4650 / 18.85  M-2H2-",0.00055325,-10.82
"574.7299 / 18.69",0.00055341,-10.819
"373.2083 / 7.54",0.00055353,-10.819
"751.3441 / 16.82",0.0005535,-10.819
"606.3156 / 16.42",0.00055407,-10.818
"632.3793 / 14.46",0.00055388,-10.818
"617.3404 / 12.47",0.00055481,-10.816
"321.0050 / 15.21",0.00055568,-10.813
"504.0158 / 12.84",0.00055622,-10.812
"861.3688 / 11.11  MNa-2H-",0.00055641,-10.812
"449.7467 / 18.49  M2H2",0.0005571,-10.81
"588.2981 / 3.61",0.00055698,-10.81
"650.7888 / 14.67",0.00055755,-10.809
"754.3884 / 14.28",0.00055734,-10.809
"457.5515 / 11.63  M3H3",0.00055796,-10.808
"581.2950 / 9.83",0.00055765,-10.808
"824.5010 / 9.38",0.00055848,-10.806
"641.2907 / 16.69  MNa-2H-",0.00055908,-10.805
"761.6869 / 19.44  M3H3",0.00055939,-10.804
"546.2857 / 4.61",0.00055953,-10.803
"660.3547 / 10.67",0.0005596,-10.803
"719.3233 / 17.35",0.00055991,-10.803
"325.6888 / 10.28",0.00056023,-10.802
"887.7566 / 19.73",0.00056029,-10.802
"546.3436 / 2.73",0.00056048,-10.801
"663.3452 / 8.60  MNa",0.00056033,-10.801
"547.2510 / 12.03",0.00056105,-10.8
"633.2608 / 3.61  MNa-2H-",0.00056177,-10.798
"610.3040 / 14.03  M-H-",0.00056193,-10.797
"519.2476 / 14.35  MHNa2",0.00056321,-10.794
"200.9879 / 4.56",1772.7,10.792
"779.3444 / 15.67  M-2H2-",0.00056455,-10.791
"325.2234 / 3.61",0.00056473,-10.79
"701.2729 / 12.17  MNa-2H-",0.00056544,-10.788
"449.7179 / 12.50",0.00056613,-10.787
"558.7841 / 10.00  M2H2",0.00056581,-10.787
"527.2695 / 15.00",0.00056594,-10.787
"413.1551 / 3.34",0.00056619,-10.786
"548.2634 / 14.63  M2H2",0.00056726,-10.784
"705.2813 / 7.70  MNa",0.00056698,-10.784
"384.1955 / 14.24",0.00056806,-10.782
"497.7058 / 11.10",0.00056836,-10.781
"421.2078 / 10.54",0.00056876,-10.78
"732.3855 / 7.30  M-2H2-",0.00056869,-10.78
"881.9050 / 18.66",0.0005699,-10.777
"480.7131 / 8.73",0.0005706,-10.775
"515.2104 / 12.11  MNa-2H-",0.00057066,-10.775
"700.3525 / 14.03",0.00057066,-10.775
"201.0252 / 5.69",0.00057109,-10.774
"521.2241 / 15.39",0.00057107,-10.774
"739.3498 / 13.31",0.00057129,-10.773
"364.1867 / 14.88",0.00057149,-10.773
"693.8381 / 15.99  M-2H2-",0.00057158,-10.773
"422.7360 / 14.69  M2H2",0.00057184,-10.772
"444.8902 / 16.61",0.00057231,-10.771
"817.3735 / 8.86  MNa-2H-",0.0005722,-10.771
"867.3949 / 9.60  MNa-2H-",0.00057211,-10.771
"919.4165 / 15.42  M-2H2-",0.00057236,-10.771
"732.3352 / 17.38",0.00057282,-10.77
"394.1607 / 7.52",0.00057297,-10.769
"558.3242 / 12.39",0.00057361,-10.768
"536.7382 / 17.70",0.00057389,-10.767
"424.7166 / 18.31",0.00057437,-10.766
"657.3832 / 18.51",0.00057431,-10.766
"789.4350 / 7.13",0.00057486,-10.765
"682.4133 / 18.85",0.0005753,-10.763
"859.4892 / 6.71",0.00057657,-10.76
"651.2979 / 4.79",0.00057707,-10.759
"781.8342 / 16.72",0.00057739,-10.758
"629.3321 / 9.92",0.00057776,-10.757
"892.4583 / 19.42",0.00057786,-10.757
"375.6898 / 9.55",0.00057867,-10.755
"662.8139 / 18.18",0.00057866,-10.755
"373.2274 / 14.16",0.00057902,-10.754
"489.2786 / 14.56  MHK2",0.00057895,-10.754
"816.4812 / 9.41",0.00057893,-10.754
"860.4457 / 9.41",0.00057951,-10.753
"603.3123 / 15.01",0.0005803,-10.751
"393.2127 / 13.10",0.00058125,-10.749
"673.8531 / 12.47  M-2H2-",0.00058125,-10.749
"828.9379 / 11.33",0.00058217,-10.746
"674.3315 / 17.33",0.00058229,-10.746
"974.4346 / 11.10  M-H-",0.00058221,-10.746
"413.2034 / 2.58  MH",0.00058285,-10.745
"437.2034 / 7.70",0.00058307,-10.744
"440.8731 / 11.64  M3H3",0.00058396,-10.742
"570.2874 / 2.74  MCH3OHH",0.00058467,-10.74
"684.3378 / 17.58",0.00058487,-10.74
"605.2703 / 7.72  MNa",0.00058527,-10.739
"625.6145 / 17.63  M3H3",0.0005855,-10.738
"419.1779 / 2.65  MAcO-H-",0.00058539,-10.738
"882.5043 / 15.01",0.00058596,-10.737
"684.8442 / 12.47  M-2H2-",0.00058688,-10.735
"922.4625 / 12.41",0.00058663,-10.735
"444.2831 / 9.81",0.00058727,-10.734
"642.3108 / 10.53",0.00058768,-10.733
"871.4067 / 21.09  M-H-",0.00058756,-10.733
"277.6467 / 3.60",0.00058777,-10.732
"666.3456 / 10.54  MNa-2H-",0.00058842,-10.731
"683.3516 / 13.94",0.00058975,-10.728
"540.0384 / 18.76",0.00059,-10.727
"159.0918 / 5.10",0.00059041,-10.726
"412.6955 / 7.15",0.00059098,-10.725
"477.6019 / 17.45",0.00059146,-10.723
"754.4208 / 8.58",0.00059225,-10.722
"802.3941 / 15.77",0.00059254,-10.721
"401.2864 / 8.62",0.00059303,-10.72
"658.7886 / 11.65  M-2H2-",0.0005927,-10.72
"412.7115 / 19.97",0.00059334,-10.719
"694.4231 / 8.36",0.00059403,-10.717
"757.2987 / 18.94",0.00059466,-10.716
"283.1150 / 16.32",1680.3,10.714
"476.2318 / 10.81",0.00059528,-10.714
"716.8455 / 19.59",0.00059578,-10.713
"791.3921 / 18.07",0.00059624,-10.712
"484.3495 / 11.02",0.00059674,-10.711
"538.2242 / 19.08  MHNa2",0.00059732,-10.709
"622.8054 / 17.36  M2H2",0.00059756,-10.709
"579.8049 / 14.41",0.00059797,-10.708
"400.6830 / 10.84",0.0005978,-10.708
"903.4404 / 17.40",0.00059984,-10.703
"534.2566 / 12.12",0.00060001,-10.703
"575.2661 / 9.82",0.00059988,-10.703
"471.8860 / 14.04  M3H3",0.00060073,-10.701
"396.4712 / 10.09",0.00060219,-10.697
"460.7359 / 12.33",0.00060258,-10.697
"400.6744 / 6.84",0.00060316,-10.695
"416.1809 / 11.47  MNa-2H-",0.00060338,-10.695
"582.2741 / 8.27",0.0006036,-10.694
"742.3020 / 14.92  MNa-2H-",0.0006038,-10.694
"597.2925 / 18.56  M-2H2-",0.00060426,-10.693
"779.3210 / 12.79",0.00060406,-10.693
"780.3612 / 8.37",0.00060423,-10.693
"473.1991 / 12.29",0.00060453,-10.692
"294.6717 / 3.63",0.00060478,-10.691
"502.2494 / 9.35",0.00060472,-10.691
"702.3658 / 17.04",0.00060474,-10.691
"590.2555 / 3.70",0.00060528,-10.69
"557.3124 / 13.07",0.00060536,-10.69
"777.8838 / 18.67  M-2H2-",0.00060518,-10.69
"560.2772 / 14.81  MH",0.00060563,-10.689
"901.4220 / 17.42",0.00060577,-10.689
"574.2916 / 16.57",0.00060667,-10.687
"693.3463 / 13.55  M-2H2-",0.00060653,-10.687
"473.2002 / 6.81",0.00060695,-10.686
