"","Fold Change","log2(FC)"
"809.4409 / 19.07  M-H-",8.0288e-05,-13.604
"323.1721 / 3.76  MNH4",8.0358e-05,-13.603
"485.2721 / 12.86  M-H-",8.0693e-05,-13.597
"472.7398 / 10.98  M2H2",8.0828e-05,-13.595
"528.3017 / 14.03  M-H-",8.0795e-05,-13.595
"846.3700 / 12.23  MH",8.0887e-05,-13.594
"752.3938 / 19.86  MNa-2H-",8.0932e-05,-13.593
"428.7079 / 15.05",8.098e-05,-13.592
"448.7038 / 15.05",8.1145e-05,-13.589
"322.1877 / 10.04",8.122e-05,-13.588
"367.7266 / 14.59  M2H2",8.1228e-05,-13.588
"463.9136 / 13.53  M3H3",8.1268e-05,-13.587
"364.1868 / 14.15",8.1298e-05,-13.586
"501.2664 / 9.02",8.1631e-05,-13.581
"318.2032 / 6.13",8.1696e-05,-13.579
"680.3626 / 6.84",8.1979e-05,-13.574
"544.8031 / 17.84  MHNa2",8.2194e-05,-13.571
"600.3704 / 8.01",8.2178e-05,-13.571
"395.2157 / 9.41",8.2281e-05,-13.569
"606.6544 / 18.52  M3H3",8.2395e-05,-13.567
"316.1869 / 3.66",8.249e-05,-13.565
"805.3403 / 10.59",8.26e-05,-13.564
"527.2201 / 11.68",8.2638e-05,-13.563
"529.7426 / 4.15  M2H2",8.2731e-05,-13.561
"493.7771 / 9.71",8.2897e-05,-13.558
"320.1715 / 8.12  MNH4",8.3018e-05,-13.556
"896.4697 / 19.20  M-H-",8.3157e-05,-13.554
"439.7604 / 15.12",8.3254e-05,-13.552
"387.7109 / 7.49  M2H2",8.3371e-05,-13.55
"622.3115 / 11.14",8.3379e-05,-13.55
"359.1338 / 3.72  MNa",8.3481e-05,-13.548
"367.7075 / 7.26  M4H4",8.401e-05,-13.539
"470.2608 / 19.07",8.3995e-05,-13.539
"494.2704 / 3.92",8.4025e-05,-13.539
"844.3514 / 12.27  M-H-",8.4627e-05,-13.529
"630.2625 / 15.74",8.4646e-05,-13.528
"558.3129 / 2.19",8.4909e-05,-13.524
"425.8972 / 14.01  M3H3",8.5129e-05,-13.52
"340.2246 / 13.15",8.5383e-05,-13.516
"449.6923 / 8.66  M2H2",8.5806e-05,-13.509
"497.2362 / 3.86",8.5841e-05,-13.508
"516.2651 / 15.71  M-H-",8.5877e-05,-13.507
"535.2878 / 2.10",8.5923e-05,-13.507
"415.2203 / 13.02",8.6122e-05,-13.503
"588.3190 / 18.53  M2H2",8.68e-05,-13.492
"436.2214 / 9.02  M2H2",8.6845e-05,-13.491
"479.2495 / 12.55",8.6959e-05,-13.489
"601.7981 / 15.86",8.7187e-05,-13.486
"491.2498 / 17.55  M-H-",8.7907e-05,-13.474
"661.3414 / 10.10  MAcO-H-",8.813e-05,-13.47
"407.1917 / 2.29",8.819e-05,-13.469
"385.2543 / 9.92",8.83e-05,-13.467
"416.2343 / 10.19",8.8367e-05,-13.466
"510.2740 / 11.42  M2H2",8.8564e-05,-13.463
"514.2873 / 15.52  M-H-",8.8551e-05,-13.463
"442.2299 / 15.30",8.8767e-05,-13.46
"542.3662 / 3.99",8.883e-05,-13.459
"446.7551 / 10.22  M2H2",8.8921e-05,-13.457
"470.7358 / 11.78  M2NH42",8.9015e-05,-13.456
"753.4136 / 7.51  M-H-",8.9124e-05,-13.454
"485.2395 / 15.33",8.9219e-05,-13.452
"661.3566 / 18.15",8.9301e-05,-13.451
"590.2911 / 16.30  M2",8.9706e-05,-13.444
"515.7816 / 3.27  M2H2",9.0072e-05,-13.439
"724.3259 / 18.94  M-2H2-",9.0284e-05,-13.435
"652.8084 / 14.66  M2H2",9.0487e-05,-13.432
"487.2881 / 11.19",9.0596e-05,-13.43
"550.2987 / 7.89",9.0662e-05,-13.429
"588.3190 / 16.76  M2H2",9.0669e-05,-13.429
"227.1376 / 5.94",9.0688e-05,-13.429
"491.7716 / 12.23  M2H2",9.0878e-05,-13.426
"789.3818 / 14.63  M-H-",9.0828e-05,-13.426
"393.2140 / 12.28",9.1026e-05,-13.423
"408.7358 / 19.76  M2H2",9.1356e-05,-13.418
"424.2201 / 9.60  M2H2",9.1367e-05,-13.418
"479.7838 / 10.83  M2H2",9.1578e-05,-13.415
"743.4640 / 13.11  2M-H-",9.154e-05,-13.415
"543.6431 / 17.68  M3H3",9.1673e-05,-13.413
"330.7150 / 9.93",9.1801e-05,-13.411
"302.1705 / 2.60  M-H-",9.1816e-05,-13.411
"330.2027 / 10.08",9.1916e-05,-13.409
"451.2294 / 6.89",9.2022e-05,-13.408
"372.2198 / 10.26",9.2091e-05,-13.407
"403.2512 / 6.74",9.2138e-05,-13.406
"358.7017 / 8.33",9.2251e-05,-13.404
"345.2137 / 3.57",9.2318e-05,-13.403
"817.4190 / 18.20  MNa-2H-",9.231e-05,-13.403
"469.1914 / 12.24  M2H2",9.2396e-05,-13.402
"659.3249 / 12.13  MH",9.2417e-05,-13.401
"622.2975 / 11.06",9.2489e-05,-13.4
"583.3586 / 9.96",9.2629e-05,-13.398
"300.1922 / 8.15",9.2896e-05,-13.394
"309.1428 / 4.99",9.2904e-05,-13.394
"371.2656 / 3.67",9.3025e-05,-13.392
"380.1816 / 8.58",9.3012e-05,-13.392
"446.2611 / 8.34",9.3212e-05,-13.389
"461.7569 / 12.72  M2H2",9.323e-05,-13.389
"490.2330 / 9.44",9.3411e-05,-13.386
"423.6887 / 12.26",9.3475e-05,-13.385
"514.7950 / 16.19  M2H2",9.3544e-05,-13.384
"475.9931 / 14.40  M4H4",9.3909e-05,-13.378
"490.1937 / 10.46  M-H-",9.4027e-05,-13.377
"440.2411 / 16.30  M2H2",9.4055e-05,-13.376
"788.3206 / 13.49  M-H-",9.4079e-05,-13.376
"502.3261 / 13.17",9.414e-05,-13.375
"505.6034 / 15.86  M3H3",9.4141e-05,-13.375
"872.3864 / 18.76",9.4141e-05,-13.375
"411.2234 / 17.89  M-H-",9.4133e-05,-13.375
"420.2332 / 12.46",9.4411e-05,-13.371
"490.2508 / 11.07",9.438e-05,-13.371
"589.3189 / 12.20",9.4707e-05,-13.366
"489.2570 / 13.82  M",9.5406e-05,-13.356
"690.3213 / 19.36  M-2H2-",9.5395e-05,-13.356
"354.1215 / 14.14  MNa",9.5453e-05,-13.355
"201.0266 / 21.35",9.5525e-05,-13.354
"435.2657 / 6.36  M2H2",9.5866e-05,-13.349
"373.1723 / 9.41  M-H-",9.5833e-05,-13.349
"336.7072 / 10.20",9.599e-05,-13.347
"520.2759 / 16.72",9.6149e-05,-13.344
"533.2566 / 1.94",9.6169e-05,-13.344
"745.3927 / 9.66",9.6307e-05,-13.342
"546.8065 / 3.81",9.6493e-05,-13.339
"666.3289 / 17.26  M-",9.6666e-05,-13.337
"523.7169 / 17.64  M-2H2-",9.694e-05,-13.333
"558.2584 / 14.82  M-H-",9.6999e-05,-13.332
"402.1951 / 15.50",9.7177e-05,-13.329
"772.4386 / 14.56",9.7157e-05,-13.329
"545.2924 / 13.42",9.7507e-05,-13.324
"486.2670 / 8.06",9.7561e-05,-13.323
"515.2818 / 11.15",9.7731e-05,-13.321
"459.2363 / 12.44",9.7872e-05,-13.319
"516.7916 / 15.89  M2H2",9.7914e-05,-13.318
"784.4554 / 20.00",9.797e-05,-13.317
"699.3477 / 11.04",9.8384e-05,-13.311
"541.3458 / 15.56",9.8555e-05,-13.309
"552.3143 / 7.10  MH",9.8588e-05,-13.308
"657.3100 / 12.14  MK-2H-",9.9004e-05,-13.302
"496.7629 / 17.86  M-2H2-",9.9095e-05,-13.301
"417.2354 / 6.26",9.9163e-05,-13.3
"338.1822 / 4.54",9.9212e-05,-13.299
"866.3332 / 12.27  MNa-2H-",9.925e-05,-13.299
"443.1889 / 3.63",9.9269e-05,-13.298
"421.2419 / 12.52  MNa",9.9432e-05,-13.296
"460.2401 / 7.93",9.9409e-05,-13.296
